Day,x_max,alpha,t_Clicks_OptCost,t_Clicks_ActCost,tm1_Clicks_OptCost,Actual_Clicks,Opt_Cost,Act_Cost,N_Opt,N_Obs,Eval_CV_MSE,Eval_Train_MSE,Eval_Train_R2,Eval_Best_Params,Hist_MSE,Hist_R2,Hist_Bias
2025-12-01,,0.0,436.43155,221.91217,407.9354000337386,322,348.01999999999936,355.41,29,31,6.746827125549316,5.400618076324463,0.9210497140884399,"{'model__learning_rate': 0.3, 'model__max_depth': 4, 'model__n_estimators': 20}",,,
2025-12-01,,0.5,438.66214,221.91217,408.4961696547321,322,347.8901354698224,355.41,28,31,6.746827125549316,5.400618076324463,0.9210497140884399,"{'model__learning_rate': 0.3, 'model__max_depth': 4, 'model__n_estimators': 20}",,,
2025-12-01,,1.0,438.66214,221.91217,408.49616961401335,322,348.0199966260776,355.41,29,31,6.746827125549316,5.400618076324463,0.9210497140884399,"{'model__learning_rate': 0.3, 'model__max_depth': 4, 'model__n_estimators': 20}",,,
2025-12-01,30.0,0.0,428.81726,221.91217,406.98444423086266,322,348.01999999999856,355.41,35,31,6.746827125549316,5.400618076324463,0.9210497140884399,"{'model__learning_rate': 0.3, 'model__max_depth': 4, 'model__n_estimators': 20}",,,
2025-12-01,30.0,0.5,432.62427,221.91217,407.8764338150992,322,348.0199951697053,355.41,35,31,6.746827125549316,5.400618076324463,0.9210497140884399,"{'model__learning_rate': 0.3, 'model__max_depth': 4, 'model__n_estimators': 20}",,,
2025-12-01,30.0,1.0,432.62427,221.91217,407.8764282898604,322,348.0199887932427,355.41,35,31,6.746827125549316,5.400618076324463,0.9210497140884399,"{'model__learning_rate': 0.3, 'model__max_depth': 4, 'model__n_estimators': 20}",,,
2025-12-01,60.0,0.0,428.81726,221.91217,406.98444414261655,322,348.01999999999833,355.41,35,31,6.746827125549316,5.400618076324463,0.9210497140884399,"{'model__learning_rate': 0.3, 'model__max_depth': 4, 'model__n_estimators': 20}",,,
2025-12-01,60.0,0.5,432.62427,221.91217,407.87643338351245,322,348.0199999999988,355.41,35,31,6.746827125549316,5.400618076324463,0.9210497140884399,"{'model__learning_rate': 0.3, 'model__max_depth': 4, 'model__n_estimators': 20}",,,
2025-12-01,60.0,1.0,432.6243,221.91217,407.87643341464735,322,348.0199999999998,355.41,35,31,6.746827125549316,5.400618076324463,0.9210497140884399,"{'model__learning_rate': 0.3, 'model__max_depth': 4, 'model__n_estimators': 20}",,,
2025-12-01,90.0,0.0,435.62823,221.91217,407.9353996116464,322,348.01999999999947,355.41,29,31,6.746827125549316,5.400618076324463,0.9210497140884399,"{'model__learning_rate': 0.3, 'model__max_depth': 4, 'model__n_estimators': 20}",,,
2025-12-01,90.0,0.5,438.66214,221.91217,408.4961696547321,322,347.8901354698224,355.41,28,31,6.746827125549316,5.400618076324463,0.9210497140884399,"{'model__learning_rate': 0.3, 'model__max_depth': 4, 'model__n_estimators': 20}",,,
2025-12-01,90.0,1.0,438.66214,221.91217,408.4961696547321,322,347.89013546982227,355.41,28,31,6.746827125549316,5.400618076324463,0.9210497140884399,"{'model__learning_rate': 0.3, 'model__max_depth': 4, 'model__n_estimators': 20}",,,
2025-12-02,,0.0,377.82242,200.57773,580.4085880011853,292,348.0199999999984,350.34000000000003,61,32,6.746827125549316,5.400618076324463,0.9210497140884399,"{'model__learning_rate': 0.3, 'model__max_depth': 4, 'model__n_estimators': 20}",,,
2025-12-02,,0.5,380.89194,200.57773,586.6248573634962,292,348.0199999999776,350.34000000000003,65,32,6.746827125549316,5.400618076324463,0.9210497140884399,"{'model__learning_rate': 0.3, 'model__max_depth': 4, 'model__n_estimators': 20}",,,
2025-12-02,,1.0,380.89194,200.57773,586.6248578513112,292,347.94830087807867,350.34000000000003,64,32,6.746827125549316,5.400618076324463,0.9210497140884399,"{'model__learning_rate': 0.3, 'model__max_depth': 4, 'model__n_estimators': 20}",,,
2025-12-02,30.0,0.0,377.82242,200.57773,580.4085880011851,292,348.01999999999884,350.34000000000003,61,32,6.746827125549316,5.400618076324463,0.9210497140884399,"{'model__learning_rate': 0.3, 'model__max_depth': 4, 'model__n_estimators': 20}",,,
2025-12-02,30.0,0.5,380.89194,200.57773,586.6248578513112,292,348.0199999999983,350.34000000000003,64,32,6.746827125549316,5.400618076324463,0.9210497140884399,"{'model__learning_rate': 0.3, 'model__max_depth': 4, 'model__n_estimators': 20}",,,
2025-12-02,30.0,1.0,379.70038,200.57773,586.6248576537068,292,348.01999999999896,350.34000000000003,65,32,6.746827125549316,5.400618076324463,0.9210497140884399,"{'model__learning_rate': 0.3, 'model__max_depth': 4, 'model__n_estimators': 20}",,,
2025-12-02,60.0,0.0,377.82242,200.57773,580.408588001185,292,347.9658808233464,350.34000000000003,61,32,6.746827125549316,5.400618076324463,0.9210497140884399,"{'model__learning_rate': 0.3, 'model__max_depth': 4, 'model__n_estimators': 20}",,,
2025-12-02,60.0,0.5,378.09854,200.57773,586.6248579589261,292,347.9483008780814,350.34000000000003,64,32,6.746827125549316,5.400618076324463,0.9210497140884399,"{'model__learning_rate': 0.3, 'model__max_depth': 4, 'model__n_estimators': 20}",,,
