Location,Region,Click_prop,Conv_rate,Purch_rate
Afghanistan,B,0.0005262998087102619,0.028846153846153848,8.050071444384069e-06
"Alabama, United States",USA,0.002637688636656778,0.02471882640586797,0.0009049392053057187
"Alaska, United States",USA,2.579646588417387e-05,0.0,0.0009049392053057187
Albania,B,0.00013157495217756547,0.0,8.050071444384069e-06
Algeria,B,0.00020748357843385323,0.024390243902439025,8.050071444384069e-06
Andorra,A,1.2963359065601079e-05,0.0,0.00014586198991288398
Angola,B,5.56663259212777e-05,0.09090909090909091,8.050071444384069e-06
Anguilla,B,0.0,,8.050071444384069e-06
Antigua and Barbuda,B,0.0,,8.050071444384069e-06
Argentina,B,0.003188162302764086,0.033650793650793646,8.050071444384069e-06
"Arizona, United States",USA,0.004811040887398426,0.021447721179624665,0.0009049392053057187
"Arkansas, United States",USA,0.0009480201212433896,0.02040816326530612,0.0009049392053057187
Armenia,B,0.000546542109045272,0.037037037037037035,8.050071444384069e-06
Aruba,B,2.024230033501007e-05,0.25,8.050071444384069e-06
Australia,A,0.042513336055638735,0.024241500228693397,0.00014586198991288398
Austria,A,0.0076159734510406335,0.02553191489361702,0.00014586198991288398
Austria,B,0.00010627207675880287,0.09523809523809523,8.050071444384069e-06
Azerbaijan,B,0.00017712012793133812,0.02857142857142857,8.050071444384069e-06
Bahrain,B,0.00038966428144894386,0.012987012987012988,8.050071444384069e-06
Bangladesh,B,0.05435057639950204,0.033214152700186225,8.050071444384069e-06
Barbados,B,0.00018724127809884315,0.05405405405405406,8.050071444384069e-06
Belarus,B,3.542402558626762e-05,0.14285714285714285,8.050071444384069e-06
Belgium,A,0.01033179717528406,0.04015056461731493,0.00014586198991288398
Belize,B,2.530287541876259e-05,0.0,8.050071444384069e-06
Benin,B,3.0363450502515105e-05,0.0,8.050071444384069e-06
Bermuda,A,1.9445038598401616e-05,0.0,0.00014586198991288398
Bhutan,B,0.00010121150167505036,0.0,8.050071444384069e-06
Bolivia,B,0.0008248737386516604,0.01834355828220859,8.050071444384069e-06
Bosnia and Herzegovina,B,5.56663259212777e-05,0.0,8.050071444384069e-06
Botswana,B,0.0003694219811139338,0.0273972602739726,8.050071444384069e-06
Brazil,B,0.05764501077902493,0.02264946010007901,8.050071444384069e-06
Brazil,C,0.3587465747370282,0.02353086115559936,0.0
Brunei,B,6.072690100503021e-05,0.0,8.050071444384069e-06
Bulgaria,B,0.0003491796807789237,0.07246376811594203,8.050071444384069e-06
Burundi,B,4.048460067002014e-05,0.0,8.050071444384069e-06
Cabo Verde,B,0.0,,8.050071444384069e-06
"California, United States",USA,0.0695408229072617,0.03219141240842066,0.0009049392053057187
Cambodia,B,0.0005667844093802819,0.017857142857142856,8.050071444384069e-06
Cameroon,B,0.0003390585306114187,0.04477611940298507,8.050071444384069e-06
Canada,A,0.053655343172522865,0.027785697028267695,0.00014586198991288398
Canada,USA,0.0005094802012124338,0.13772151898734178,0.0009049392053057187
Central African Republic,B,1.0121150167505035e-05,0.0,8.050071444384069e-06
Chad,B,1.0121150167505035e-05,0.0,8.050071444384069e-06
Chile,B,0.01358764409987551,0.02719553072625698,8.050071444384069e-06
China,B,0.012256712852848599,0.01486374896779521,8.050071444384069e-06
Colombia,B,0.0012853860712731394,0.01968503937007874,8.050071444384069e-06
"Colorado, United States",USA,0.009570488843028505,0.028975741239892182,0.0009049392053057187
Comoros,B,5.0605750837525174e-06,0.0,8.050071444384069e-06
"Connecticut, United States",USA,0.003953308396749645,0.03099510603588907,0.0009049392053057187
Costa Rica,B,7.590862625628776e-05,0.06666666666666667,8.050071444384069e-06
Cote d'Ivoire,B,0.0008704189144054331,0.023255813953488372,8.050071444384069e-06
Croatia,B,0.0003441191056951712,0.07352941176470588,8.050071444384069e-06
Curacao,B,2.024230033501007e-05,0.0,8.050071444384069e-06
Cyprus,A,0.00020741374504961726,0.0,0.00014586198991288398
Czechia,A,0.00013611527018881131,0.0,0.00014586198991288398
Czechia,B,0.0001163932269263079,0.08695652173913043,8.050071444384069e-06
"Delaware, United States",USA,0.0006062169482780859,0.02127659574468085,0.0009049392053057187
Democratic Republic of the Congo,B,0.00012651437709381295,0.0,8.050071444384069e-06
Denmark,A,0.010992928487629715,0.031839622641509434,0.00014586198991288398
Djibouti,B,2.530287541876259e-05,0.0,8.050071444384069e-06
Dominica,B,5.0605750837525174e-06,0.0,8.050071444384069e-06
Dominican Republic,B,4.048460067002014e-05,0.125,8.050071444384069e-06
Ecuador,B,4.048460067002014e-05,0.25,8.050071444384069e-06
Egypt,B,0.021897108387397144,0.02772359602495956,8.050071444384069e-06
El Salvador,B,1.5181725251257552e-05,0.0,8.050071444384069e-06
Equatorial Guinea,B,2.024230033501007e-05,0.0,8.050071444384069e-06
Eritrea,B,1.5181725251257552e-05,0.0,8.050071444384069e-06
Estonia,A,0.00011667023159040971,0.0,0.00014586198991288398
Estonia,B,0.00010121150167505036,0.001,8.050071444384069e-06
Eswatini,B,7.084805117253524e-05,0.0,8.050071444384069e-06
Ethiopia,B,0.03195753165389715,0.04133174980205859,8.050071444384069e-06
Faroe Islands,A,0.0,,0.00014586198991288398
Fiji,B,0.00013157495217756547,0.0,8.050071444384069e-06
Finland,A,0.004977929881190814,0.016940104166666668,0.00014586198991288398
Finland,B,0.00015687782759632804,0.03225806451612903,8.050071444384069e-06
"Florida, United States",USA,0.013427060492712499,0.02881844380403458,0.0009049392053057187
France,A,0.026976750215515845,0.024560307544449784,0.00014586198991288398
Gabon,B,0.0,,8.050071444384069e-06
Georgia,B,0.0005111180834590043,0.0297029702970297,8.050071444384069e-06
"Georgia, United States",USA,0.012169482780859022,0.026497085320614733,0.0009049392053057187
Germany,A,0.04526156817754617,0.02821709866819419,0.00014586198991288398
Ghana,B,0.006224507353015597,0.03414634146341464,8.050071444384069e-06
Greece,A,0.0002463038222464205,0.05263157894736842,0.00014586198991288398
Greece,B,0.00023784702893636832,0.0425531914893617,8.050071444384069e-06
Grenada,B,3.542402558626762e-05,0.0,8.050071444384069e-06
Guatemala,B,2.530287541876259e-05,0.0,8.050071444384069e-06
Guernsey,A,1.2963359065601079e-05,0.0,0.00014586198991288398
Guinea,B,2.530287541876259e-05,0.0,8.050071444384069e-06
Guinea-Bissau,B,0.0,,8.050071444384069e-06
Guyana,B,0.00015181725251257552,0.0,8.050071444384069e-06
Haiti,B,7.590862625628776e-05,0.0,8.050071444384069e-06
"Hawaii, United States",USA,0.00014188056236295627,0.045454545454545456,0.0009049392053057187
Honduras,B,4.048460067002014e-05,0.125,8.050071444384069e-06
Hong Kong,A,0.031086135039311385,0.01730817347789825,0.00014586198991288398
Hong Kong,B,0.000587026709715292,0.02586206896551724,8.050071444384069e-06
Hungary,B,0.00030869508010890356,0.04918032786885246,8.050071444384069e-06
Iceland,A,0.0012833725474945068,0.020202020202020204,0.00014586198991288398
Iceland,B,8.096920134004028e-05,0.0,8.050071444384069e-06
"Idaho, United States",USA,0.0010576551012511286,0.012195121951219513,0.0009049392053057187
"Illinois, United States",USA,0.013814007480975107,0.025210084033613446,0.0009049392053057187
India,B,0.01147738428995071,0.013668430335097001,8.050071444384069e-06
India,C,0.6412534252629718,0.018333448204562685,0.0
"Indiana, United States",USA,0.0028118147813749514,0.027522935779816515,0.0009049392053057187
Indonesia,B,0.008167768185176564,0.019386617100371747,8.050071444384069e-06
"Iowa, United States",USA,0.0020379208048497354,0.00949367088607595,0.0009049392053057187
Iraq,B,0.0006376324605528172,0.0,8.050071444384069e-06
Ireland,A,0.013961537713652362,0.027859795728876507,0.00014586198991288398
Israel,A,0.002476001581529806,0.02617801047120419,0.00014586198991288398
Israel,B,0.00014169610234507048,0.03571428571428571,8.050071444384069e-06
Italy,A,0.02800085558169833,0.02754861111111111,0.00014586198991288398
Jamaica,B,0.00026821047943888346,0.0,8.050071444384069e-06
Japan,A,0.030256480059112918,0.019815766923736076,0.00014586198991288398
Japan,B,3.542402558626762e-05,0.0,8.050071444384069e-06
Jordan,B,0.0012398408955193669,0.036734693877551024,8.050071444384069e-06
"Kansas, United States",USA,0.0013027215271507804,0.019801980198019802,0.0009049392053057187
Kazakhstan,B,8.60297764237928e-05,0.058823529411764705,8.050071444384069e-06
"Kentucky, United States",USA,0.001573584418934606,0.036885245901639344,0.0009049392053057187
Kenya,B,0.031324959768428084,0.04993376413570275,8.050071444384069e-06
Kiribati,B,0.0,,8.050071444384069e-06
Kosovo,B,9.109035150754532e-05,0.0,8.050071444384069e-06
Kuwait,B,0.00040990658178395394,0.04938271604938271,8.050071444384069e-06
Kyrgyzstan,B,2.530287541876259e-05,0.0,8.050071444384069e-06
Laos,B,6.578747608878274e-05,0.0,8.050071444384069e-06
Latvia,B,3.542402558626762e-05,0.0,8.050071444384069e-06
Lebanon,B,0.00041496715686770646,0.024390243902439025,8.050071444384069e-06
Lesotho,B,0.00013157495217756547,0.038461538461538464,8.050071444384069e-06
Liberia,B,0.002494863516289991,0.04259634888438134,8.050071444384069e-06
Libya,B,8.60297764237928e-05,0.0,8.050071444384069e-06
Liechtenstein,A,0.0,,0.00014586198991288398
Lithuania,B,0.00026821047943888346,0.03773584905660377,8.050071444384069e-06
"Louisiana, United States",USA,0.001476847671868954,0.039301310043668124,0.0009049392053057187
Luxembourg,A,5.1853436262404314e-05,0.0,0.00014586198991288398
Luxembourg,B,2.530287541876259e-05,0.2,8.050071444384069e-06
Madagascar,B,2.530287541876259e-05,0.0,8.050071444384069e-06
"Maine, United States",USA,0.000980265703598607,0.006578947368421052,0.0009049392053057187
Malawi,B,0.0002277258787688633,0.022222222222222223,8.050071444384069e-06
Malaysia,B,0.030803720534801574,0.022178413011335635,8.050071444384069e-06
Maldives,B,0.00024290760402012084,0.0,8.050071444384069e-06
Mali,B,4.048460067002014e-05,0.0,8.050071444384069e-06
Malta,A,0.0002787122199104232,0.0,0.00014586198991288398
Malta,B,5.56663259212777e-05,0.0,8.050071444384069e-06
Marshall Islands,B,5.0605750837525174e-06,0.0,8.050071444384069e-06
"Maryland, United States",USA,0.010492712498387721,0.03133374308543331,0.0009049392053057187
"Massachusetts, United States",USA,0.07264929704630466,0.04216600088770528,0.0009049392053057187
Mauritania,B,1.5181725251257552e-05,0.0,8.050071444384069e-06
Mauritius,B,0.0002985739299413985,0.01694915254237288,8.050071444384069e-06
Mexico,A,0.06478438693034139,0.013625812906453226,0.00014586198991288398
Mexico,B,0.03636529255184559,0.026582243250765376,8.050071444384069e-06
"Michigan, United States",USA,0.009944537598349026,0.019455252918287938,0.0009049392053057187
Micronesia,B,0.0,,8.050071444384069e-06
"Minnesota, United States",USA,0.005830001289823294,0.023230088495575223,0.0009049392053057187
"Mississippi, United States",USA,0.0008512833741777376,0.007575757575757576,0.0009049392053057187
