Day,k_policy,Budget,t_Clicks_OptCost,t_Clicks_ActCost,tm1_Clicks_OptCost,Actual_Clicks,Opt_Cost,Act_Cost,Opt_Purch,Act_Purch,N_Opt,N_Obs,Avg_Cost_Change,Pct_New_Keywords,Oracle_k,Hist_MSE,Hist_R2,Hist_Bias,Opt_Cost_Region_B,Act_Cost_Region_B,Opt_Clicks_Region_B,Act_Clicks_Region_B,Opt_Purch_Region_B,Act_Purch_Region_B,Opt_Cost_Region_USA,Act_Cost_Region_USA,Opt_Clicks_Region_USA,Act_Clicks_Region_USA,Opt_Purch_Region_USA,Act_Purch_Region_USA,Opt_Cost_Region_A,Act_Cost_Region_A,Opt_Clicks_Region_A,Act_Clicks_Region_A,Opt_Purch_Region_A,Act_Purch_Region_A,Opt_Cost_Origin_new,Act_Cost_Origin_new,Opt_Clicks_Origin_new,Act_Clicks_Origin_new,Opt_Purch_Origin_new,Act_Purch_Origin_new,Opt_Cost_Origin_existing,Act_Cost_Origin_existing,Opt_Clicks_Origin_existing,Act_Clicks_Origin_existing,Opt_Purch_Origin_existing,Act_Purch_Origin_existing,Opt_Cost_Origin_existing searches,Act_Cost_Origin_existing searches,Opt_Clicks_Origin_existing searches,Act_Clicks_Origin_existing searches,Opt_Purch_Origin_existing searches,Act_Purch_Origin_existing searches,Opt_Cost_Match_Exact match,Act_Cost_Match_Exact match,Opt_Clicks_Match_Exact match,Act_Clicks_Match_Exact match,Opt_Purch_Match_Exact match,Act_Purch_Match_Exact match,Opt_Cost_Match_Phrase match,Act_Cost_Match_Phrase match,Opt_Clicks_Match_Phrase match,Act_Clicks_Match_Phrase match,Opt_Purch_Match_Phrase match,Act_Purch_Match_Phrase match,Opt_Cost_Match_Broad match,Act_Cost_Match_Broad match,Opt_Clicks_Match_Broad match,Act_Clicks_Match_Broad match,Opt_Purch_Match_Broad match,Act_Purch_Match_Broad match
2025-12-01,50,357,111.319466,121.51521,255.1930400245843,177,357.059994107369,339.51,0.2557126152325879,0.2505823907136645,127,30,,,384,1.5037167072296145,0.8987752199172974,-6.269170714218417e-06,19.06999943990321,34.620000000000005,39.673347,59.762314,0.03079556867796061,0.04638918965798812,169.73999619000293,225.70999999999998,14.124882,36.2883,0.04920165771394717,0.1264042082836549,168.24999847746284,79.17999999999999,57.521236,25.464582,0.17571538884068016,0.07778899277202146,4.259999879885985,0.0,0.144328,0.0,0.0005027423869863745,0.0,95.23999796505028,339.51,59.229443,121.51521,0.09193960014625949,0.2505823907136645,257.5599962624328,0.0,51.945698,0.0,0.1632702722840965,0.0,50.69999918630464,37.26,48.74612,2.3527331,0.058623136156859004,0.008190270044289513,29.409999293740167,32.980000000000004,7.391591,3.6587002,0.022839359868037794,0.010132582531740349,276.94999562732414,269.27,55.18176,115.50377,0.17425011379638455,0.23225953877225575
2025-12-02,50,357,217.95265,122.04857,369.68939099649106,170,357.14000000078306,333.08,0.3505795302079458,0.2469178168457311,19,36,7.645872153875365,0.7368421052631579,384,1.5161514282226562,0.8983268737792969,4.667876104994248e-05,69.4499977206656,32.49,142.62201,61.369457,0.11070721684532087,0.04763669959014578,144.07999909971699,214.60999999999999,22.758408,32.480145,0.07927509107073187,0.1131391385177354,143.61000318040044,85.97999999999999,52.572243,28.19897,0.16059722229189308,0.08614197873784991,0.0,0.0,0.0,0.0,0.0,0.0,84.97999832360917,333.08,147.1881,122.04857,0.12465564769526809,0.24691781684573108,272.1600016771739,0.0,70.764565,0.0,0.22592388542595382,0.0,59.8499990039828,60.849999999999994,55.61534,3.8626914,0.07961987835420614,0.013207651258575488,93.2199983513392,14.99,75.33524,1.2607783,0.11256882990187639,0.0031231070334765704,204.07000264546107,257.24,87.002075,116.9251,0.1583908242900703,0.23058705815771052
2025-12-03,50,357,208.44547,141.56406,458.47359491295083,204,357.139999999999,349.52000000000004,0.24854598443801196,0.2876419864924984,182,37,0.1879588084496366,0.9835164835164835,384,1.534436821937561,0.8974809646606445,-9.250654110481808e-05,113.7099991952938,42.29,170.80444,70.78841,0.13258321520600322,0.05494795294271875,121.71500040235345,221.39,2.2804823,38.477478,0.007943677773226812,0.13402984448700955,121.71500040235178,85.84,35.360546,32.298176,0.10801909145878193,0.09866418906277005,0.0,0.0,0.0,0.0,0.0,0.0,82.34766922595128,349.52000000000004,145.41196,141.56406,0.11922992590572483,0.2876419864924984,274.79233077404774,0.0,63.033516,0.0,0.12931606295000053,0.0,94.65000033018919,54.01,59.71589,4.683168,0.06738207171009007,0.015431621483076856,118.0100022230081,31.819999999999997,66.61401,5.6345735,0.08295954909713357,0.016184925664611174,144.47999744680178,263.68999999999994,82.11558,131.24632,0.09820436659186368,0.25602544049801346
2025-12-04,50,357,203.50046,125.12811,391.16280450534714,174,357.0799999951849,321.47999999999996,0.34274796578448263,0.2554859992892494,49,38,0.5198736886540913,0.9591836734693877,384,1.490715742111206,0.9008919596672058,-8.422499727044338e-05,118.72999831043744,35.419999999999995,126.059586,63.314716,0.0978509975142309,0.04914666739786266,119.1499981594876,227.20999999999998,19.441,40.86502,0.06771946442994822,0.14234644932940796,119.20000352525982,58.85000000000001,57.99987,20.948364,0.17717750384030348,0.06399288256197881,0.5099999976575198,0.0,0.0,0.0,0.0,0.0,57.78000176187619,321.47999999999996,61.465134,125.12811,0.09539710609436046,0.2554859992892494,298.7899982356511,0.0,142.03532,0.0,0.24735085969012216,0.0,21.130000578702944,24.28,9.908065,1.6803377,0.030267071073506742,0.005651826636477324,101.74999986777006,22.91,68.97026,2.208253,0.10079702974790167,0.006296995656590016,234.1999995487119,274.28999999999996,124.62213,121.23952,0.21168386038881581,0.24353717405138806
2025-12-05,50,357,157.25691,115.263336,392.4264511165695,170,356.530003235506,295.81000000000006,0.2439728366149047,0.2322823510223897,24,35,9.459119443217627,0.9166666666666666,384,1.5318913459777832,0.8985797166824341,2.118774579863237e-05,88.63999945221445,37.559999999999995,106.3649,59.161552,0.08256342736120427,0.04592286174393154,133.84000351982013,202.65000000000003,13.872559,34.95644,0.048322732317225045,0.12176489867467213,134.05000026347145,55.59999999999999,37.019444,21.145338,0.11308667693647537,0.06459459060378601,0.0,0.0,0.0,0.0,0.0,0.0,95.62000194861517,295.81000000000006,91.34442,115.263336,0.09564126049812949,0.2322823510223897,260.9100012868908,0.0,65.912476,0.0,0.14833157026632338,0.0,33.350000027042576,28.76,9.245123,2.2807705,0.028241921772053896,0.007657511835268297,103.42999980782687,19.919999999999998,70.22354,3.4881833,0.09149495562096883,0.009988950569952837,219.75000340063656,247.12999999999997,77.78824,109.494385,0.12423595339532979,0.21463588729662625
2025-12-06,50,357,271.52533,124.62697,441.0911096178561,194,356.71999951038777,374.28999999999996,0.3536281292661261,0.2792103125664919,88,40,0.7065434507691114,0.9431818181818182,384,1.4640718698501587,0.9033538103103638,-4.3095615879379376e-05,117.70000290218107,34.74000000000001,210.87125,51.255962,0.16368420696298852,0.039786320285804415,119.29999805929633,228.70999999999998,10.870205,35.681217,0.03786453661740267,0.12428953862743676,119.7199985489103,110.83999999999999,49.783886,37.689793,0.15207938568573487,0.11513445365325074,0.959999980836366,0.0,0.01185751,0.0,4.130364698822485e-05,0.0,140.60999912985253,374.28999999999996,159.74402,124.62697,0.1888995003898184,0.2792103125664919,215.1500003996987,0.0,111.769485,0.0,0.16468731940276726,0.0,39.00000076095343,23.740000000000002,51.15663,1.5604012,0.04152233368715375,0.005346479276064595,115.52999904461552,28.730000000000004,121.68498,2.4486217,0.10562598465437617,0.006413169741947226,202.1899997048187,321.82,98.683754,120.61796,0.20647981482161332,0.2674506700752059
2025-12-07,50,357,210.57599,137.0641,449.87127272696154,188,354.3800070206874,394.08000000000004,0.3105912469573553,0.28857863637309356,116,41,0.6285251668137889,0.9396551724137931,384,1.4889060258865356,0.9021670818328856,-0.0002056598824508,117.78000234775986,35.36000000000001,148.71957,63.895744,0.11544031814286228,0.049597674708009507,119.63000108565141,241.95,14.450174,36.09195,0.05033475991089908,0.12572026892172755,116.97000358727618,116.77000000000001,47.40624,37.07641,0.14481616890359394,0.11326069274335648,0.0,0.0,0.0,0.0,0.0,0.0,34.1900005498313,394.08000000000004,52.16972,137.0641,0.042587922413605414,0.28857863637309356,320.1900064708561,0.0,158.40627,0.0,0.2680033302549993,0.0,0.0,50.349999999999994,0.0,3.2197294,0.0,0.011091254590670195,85.22000213720662,26.36,65.374016,3.8712568,0.08629898822951634,0.011825881989272239,269.16000488348084,317.37000000000006,145.20198,129.97311,0.22429226756326578,0.26566150551753115
2025-12-10,50,357,234.19633,95.10571,420.55674458987045,147,356.9700034562195,252.56,0.31087302874774725,0.19281806786137082,89,33,,,384,1.4975316524505615,0.9029531478881836,-6.033697959884058e-05,118.30000003863604,27.93,179.30147,48.42554,0.1391788447489331,0.037589267512758706,119.60999988519946,170.95,9.338231,29.47358,0.03252816256431532,0.10266627302219178,119.06000353238397,53.67999999999999,45.556637,17.206587,0.13916602143449883,0.052562527326420326,0.959999968490312,0.0,0.01185751,0.0,4.130364698822485e-05,0.0,83.7499999836742,252.56,114.73192,95.10571,0.11828486708051096,0.19281806786137082,272.260003504055,0.0,119.45256,0.0,0.19254685697557708,0.0,30.289999617489876,38.12,51.264076,4.9385004,0.041891540087246194,0.015857404679914353,150.97000068320244,16.889999999999997,131.99951,1.2306061,0.1378507000718727,0.003907255991481945,175.71000315552718,197.55000000000004,50.932743,88.9366,0.1311307878928803,0.1730534097836201
2025-12-11,50,357,224.78183,109.06214,396.36075295489945,205,357.1399999999933,424.93,0.3190435837147781,0.2771060657032659,110,46,1.238465082244103,0.7818181818181819,384,1.4939595460891724,0.9034923315048218,-0.0001072502330145,117.24000161547136,22.14,163.05612,32.203568,0.1265687500017197,0.02499731527427258,122.54000014142105,283.78000000000003,9.137173,40.42053,0.03182780605328146,0.14079813477575373,117.35999824310083,119.01,52.588547,36.438046,0.16064702765977695,0.1113106156532396,0.7599999618801664,0.0,0.01185751,0.0,4.130364698822485e-05,0.0,81.82999930701739,424.93,91.66491,109.06214,0.12039502928500016,0.2771060657032659,274.5500007310958,0.0,133.10506,0.0,0.19860724569113014,0.0,19.000110248389888,38.89,29.518377,2.7812161,0.023294877859227063,0.009321461626302202,161.55989137672623,43.74,144.92162,6.416861,0.15847977105054167,0.019973099222098206,176.57999837487714,342.29999999999995,50.341843,99.86407,0.13726892033003207,0.2478115168301937
2025-12-12,50,357,197.44966,147.72673,376.34799354324235,184,357.0999973491961,328.5400000000001,0.29365962432611736,0.2783776396809091,114,35,0.3020237079752463,0.631578947368421,384,1.5178325176239014,0.9023258686065674,-6.222256421929238e-05,113.45000048924506,46.629999999999995,137.75928,82.88014,0.10693262748593126,0.06433389855125934,126.64999735495635,217.01,10.233292,37.22159,0.0356459559081591,0.12965517586678052,116.99999950499463,64.9,49.457077,27.624985,0.15108104093202698,0.08438856526286927,1.919999957612728,0.0,0.02371502,0.0,8.26072939764497e-05,0.0,88.91999949963945,328.5400000000001,105.75659,147.72673,0.13811699218716295,0.2783776396809091,266.2599978919439,0.0,91.669334,0.0,0.15546002818005664,0.0,6.590000053399148,21.919999999999998,0.35000002,1.466968,0.0011397929675740358,0.005053734938080169,106.63999916851144,28.659999999999997,73.59335,2.2454872,0.08741968461393003,0.006470763112160817,243.86999812728547,277.96,123.50629,144.01425,0.20510014721421518,0.26685313429486807
