Keyword,Region,Match type,Cost,Clicks,t_Clicks_ActCost
mit professional development,USA,Broad match,85.8,65,61.213665
generative ai course,USA,Broad match,12.24,8,5.9313884
generative ai courses,USA,Broad match,0.58,1,0.0
online ai and ml courses,USA,Phrase match,44.0,25,21.593857
mit xpro ai,USA,Broad match,65.27000000000001,61,58.310608
mit artificial intelligence course,USA,Phrase match,25.8,15,12.796393
generative ai certificate course,USA,Broad match,1.03,1,0.0
generative ai online course,USA,Broad match,7.8,4,3.112865
generative ai online program,USA,Broad match,6.5,5,1.0367126
generative ai certificate program,USA,Broad match,3.96,4,1.5748692
generative ai foundations course,USA,Broad match,31.32,18,15.74141
mit generative ai certificate,USA,Broad match,4.65,5,1.8459263
online course generative ai,USA,Broad match,4.41,3,1.5148859
online generative ai course,USA,Phrase match,4.76,2,1.2780002
mit professional development,A,Broad match,1.36,2,0.0
generative ai course,A,Broad match,1.44,3,0.68365526
online ai and ml courses,A,Phrase match,3.4,4,0.79626155
mit xpro ai,A,Broad match,3.88,4,1.6154706
generative ai fundamentals course,A,Broad match,2.1,2,0.10428667
generative ai online course,A,Broad match,3.0,3,2.0668955
generative ai online program,A,Broad match,8.399999999999999,12,7.0644827
generative ai foundations course,A,Broad match,4.56,4,1.7843039
online course generative ai,A,Broad match,1.82,2,0.21629548
professional certificate in ai,A,Phrase match,0.86,1,0.0
mit professional development,B,Broad match,2.6,10,4.849889
generative ai course,B,Broad match,0.8,2,0.0
generative ai courses,B,Broad match,0.7,2,0.0
generative ai online course,B,Broad match,0.61,1,0.0
online ai and ml courses,B,Phrase match,1.32,4,0.05449462
generative ai online program,B,Broad match,3.24,12,4.568266
mit generative ai certificate,B,Broad match,1.02,3,0.0
generative ai certification online,B,Broad match,0.63,3,0.0
online course generative ai,B,Broad match,5.64,12,6.8028016
mit ai course,USA,Phrase match,8.4,5,3.600473
stanford ai professional program,USA,Phrase match,1.1,2,0.0
