Day,Budget,t_Clicks_OptCost,t_Clicks_ActCost,tm1_Clicks_OptCost,Actual_Clicks,Opt_Cost,Act_Cost,Opt_Conv,Act_Conv,N_Opt,N_Obs,Eval_CV_MSE,Eval_Train_MSE,Eval_Train_R2,Eval_Best_Params,Hist_MSE,Hist_R2,Hist_Bias,Opt_Cost_Region_A,Act_Cost_Region_A,Opt_Clicks_Region_A,Act_Clicks_Region_A,Opt_Conv_Region_A,Act_Conv_Region_A,Opt_Cost_Region_USA,Act_Cost_Region_USA,Opt_Clicks_Region_USA,Act_Clicks_Region_USA,Opt_Conv_Region_USA,Act_Conv_Region_USA,Opt_Cost_Region_B,Act_Cost_Region_B,Opt_Clicks_Region_B,Act_Clicks_Region_B,Opt_Conv_Region_B,Act_Conv_Region_B,Opt_Cost_Origin_new,Act_Cost_Origin_new,Opt_Clicks_Origin_new,Act_Clicks_Origin_new,Opt_Conv_Origin_new,Act_Conv_Origin_new,Opt_Cost_Origin_existing,Act_Cost_Origin_existing,Opt_Clicks_Origin_existing,Act_Clicks_Origin_existing,Opt_Conv_Origin_existing,Act_Conv_Origin_existing,Opt_Cost_Origin_existing searches,Act_Cost_Origin_existing searches,Opt_Clicks_Origin_existing searches,Act_Clicks_Origin_existing searches,Opt_Conv_Origin_existing searches,Act_Conv_Origin_existing searches
2025-12-01,300,275.93454,221.91217,446.19597345618087,322,299.9999999999136,355.41,10.852837795842767,10.05185752151154,230,31,6.746827125549316,5.400618076324463,0.9210497140884399,"{'model__learning_rate': 0.3, 'model__max_depth': 4, 'model__n_estimators': 20}",,,,100.03571410009552,35.54,43.530796,16.881475,1.345627128563573,0.5218413492032963,100.03571410011592,300.35,29.06028,169.43639,1.3908346690819813,8.109282385373684,99.92857179970221,19.52,203.34346,35.594322,8.116375998197212,1.4207337869345602,173.42429172571156,0.0,133.98654,0.0,5.3492763671094625,0.0,45.48571773368705,355.41,54.158886,221.91217,2.0149447769946307,10.05185752151154,81.08999054051503,0.0,87.789116,0.0,3.488616681218721,0.0
2025-12-01,350,339.24734,221.91217,513.2314045336395,322,349.99999999991684,355.41,13.387571179073696,10.05185752151154,243,31,6.746827125549316,5.400618076324463,0.9210497140884399,"{'model__learning_rate': 0.3, 'model__max_depth': 4, 'model__n_estimators': 20}",,,,116.88001483686207,35.54,57.666153,16.881475,1.7825801513938548,0.5218413492032963,116.98858908102224,300.35,46.035454,169.43639,2.20327247341872,8.109282385373684,116.1313960820326,19.52,235.54575,35.594322,9.401718554261121,1.4207337869345602,193.85713419050143,0.0,166.92345,0.0,6.657326990762658,0.0,57.908574550397695,355.41,70.27702,221.91217,2.7925896074849326,10.05185752151154,98.23429125901778,0.0,102.04691,0.0,3.9376545057028864,0.0
2025-12-01,400,389.52374,221.91217,579.1206439722265,322,399.2457480148428,355.41,15.380482031742238,10.05185752151154,250,31,6.746827125549316,5.400618076324463,0.9210497140884399,"{'model__learning_rate': 0.3, 'model__max_depth': 4, 'model__n_estimators': 20}",,,,132.98858667146942,35.54,70.773636,16.881475,2.1877591077386844,0.5218413492032963,133.09716091562686,300.35,59.142918,169.43639,2.8306002805290884,8.109282385373684,133.16000042774647,19.52,259.6072,35.594322,10.362122643474464,1.4207337869345602,191.55145273202743,0.0,160.04233,0.0,6.384745453915878,0.0,65.55714654143614,355.41,74.97383,221.91217,2.976754034065369,10.05185752151154,142.13714874137926,0.0,154.50763,0.0,6.018983651207973,0.0
2025-12-01,450,470.09158,221.91217,648.6341437564357,322,449.99999999992883,355.41,18.664685190142045,10.05185752151154,243,31,6.746827125549316,5.400618076324463,0.9210497140884399,"{'model__learning_rate': 0.3, 'model__max_depth': 4, 'model__n_estimators': 20}",,,,149.83430150967502,35.54,86.08195,16.881475,2.6609711735057155,0.5218413492032963,150.40858757162994,300.35,85.09176,169.43639,4.0725198062433305,8.109282385373684,149.75711091862382,19.52,298.9179,35.594322,11.931194210393,1.4207337869345602,226.25145254519447,0.0,230.07944,0.0,9.172208378564587,0.0,58.64571755397931,355.41,70.39946,221.91217,2.7901491838316135,10.05185752151154,165.10282990075498,0.0,169.6127,0.0,6.702326718204219,0.0
2025-12-01,500,533.02637,221.91217,714.7157098263309,322,499.90574799608845,355.41,21.16659830791989,10.05185752151154,257,31,6.746827125549316,5.400618076324463,0.9210497140884399,"{'model__learning_rate': 0.3, 'model__max_depth': 4, 'model__n_estimators': 20}",,,,167.69144543167104,35.54,100.51548,16.881475,3.1071413099537906,0.5218413492032963,168.15430235503166,300.35,100.173294,169.43639,4.794327886660086,8.109282385373684,164.06000020938572,19.52,332.3376,35.594322,13.265129111306015,1.4207337869345602,230.3743105849421,0.0,237.3758,0.0,9.469406135673541,0.0,60.85714656472128,355.41,70.76677,221.91217,2.8056533560337473,10.05185752151154,208.67429084642504,0.0,224.88383,0.0,8.891538310936669,0.0
2025-12-01,550,577.8797,221.91217,763.9455118571423,322,549.9999999997776,355.41,22.935199341759503,10.05185752151154,277,31,6.746827125549316,5.400618076324463,0.9210497140884399,"{'model__learning_rate': 0.3, 'model__max_depth': 4, 'model__n_estimators': 20}",,,,183.52573118606648,35.54,115.94623,16.881475,3.584137906252133,0.5218413492032963,183.5257311860677,300.35,114.92544,169.43639,5.500369719580936,8.109282385373684,182.94853762764347,19.52,347.008,35.594322,13.850691715926434,1.4207337869345602,243.6342757470067,0.0,248.11923,0.0,9.893817104967763,0.0,62.03143259014712,355.41,70.88919,221.91217,2.809438063445342,10.05185752151154,244.33429166262383,0.0,258.87125,0.0,10.231944494864354,0.0
2025-12-02,300,314.112,200.57773,391.9064296732669,292,300.0000000000015,350.34000000000003,12.459162896062445,9.166778511639807,100,32,6.746827125549316,5.400618076324463,0.9210497140884399,"{'model__learning_rate': 0.3, 'model__max_depth': 4, 'model__n_estimators': 20}",,,,100.27386818811763,37.61,69.5955,14.646555,2.1513406367070163,0.45275533041753513,100.273868188118,297.8,68.972855,162.68533,3.301063637922472,7.786174726688883,99.45226362376584,14.93,175.54366,23.24583,7.006758621432957,0.9278484545333883,48.13232991868598,0.0,82.30928,0.0,3.2853438198193228,0.0,54.63126674737738,350.34000000000003,70.36006,200.57773,2.7911022289226053,9.166778511639807,197.2364033339381,0.0,161.44266,0.0,6.382716577138142,0.0
2025-12-02,350,351.96304,200.57773,451.3079216043939,292,349.9730357309637,350.34000000000003,13.95489653281972,9.166778511639807,114,32,6.746827125549316,5.400618076324463,0.9210497140884399,"{'model__learning_rate': 0.3, 'model__max_depth': 4, 'model__n_estimators': 20}",,,,116.90813534288442,37.61,83.30185,14.646555,2.5750318834522523,0.45275533041753513,116.93509961191957,297.8,82.60467,162.68533,3.9534860617162466,7.786174726688883,116.12980077615975,14.93,186.05661,23.24583,7.426378587651222,0.9278484545333883,49.39280036707519,0.0,83.32433,0.0,3.3258592647735075,0.0,82.42553410134198,350.34000000000003,95.26126,200.57773,3.771865921093965,9.166778511639807,218.15470126254655,0.0,173.37746,0.0,6.857171194690062,0.0
2025-12-02,400,380.058,200.57773,507.07994011283057,292,399.99999999999983,350.34000000000003,15.09079625151782,9.166778511639807,125,32,6.746827125549316,5.400618076324463,0.9210497140884399,"{'model__learning_rate': 0.3, 'model__max_depth': 4, 'model__n_estimators': 20}",,,,133.36813612261494,37.61,93.619156,14.646555,2.893961655488111,0.45275533041753513,134.14072983052202,297.8,96.119354,162.68533,4.60030423411887,7.786174726688883,132.49113404686275,14.93,190.31952,23.24583,7.59653036191084,0.9278484545333883,19.671399675104865,0.0,33.1557,0.0,1.3233971395751636,0.0,108.07266882034581,350.34000000000003,127.832825,200.57773,5.071946999932989,9.166778511639807,272.2559315045491,0.0,219.06947,0.0,8.695451811516786,0.0
2025-12-02,450,456.85852,200.57773,561.7128458407362,292,449.8664046494308,350.34000000000003,18.080153607460627,9.166778511639807,135,32,6.746827125549316,5.400618076324463,0.9210497140884399,"{'model__learning_rate': 0.3, 'model__max_depth': 4, 'model__n_estimators': 20}",,,,149.1880694961134,37.61,112.373955,14.646555,3.4737110740040773,0.45275533041753513,151.3566703066371,297.8,107.79047,162.68533,5.158887579904856,7.786174726688883,149.32166484668033,14.93,236.6941,23.24583,9.447554953551695,0.9278484545333883,50.482799708956065,0.0,91.24734,0.0,3.64307535638039,0.0,128.3726693134223,350.34000000000003,152.66443,200.57773,6.260749577687895,9.166778511639807,271.0109356270525,0.0,212.94673,0.0,8.176328349858636,0.0
2025-12-02,500,493.9245,200.57773,619.4705710742035,292,499.84147541148536,350.34000000000003,19.707620946406408,9.166778511639807,146,32,6.746827125549316,5.400618076324463,0.9210497140884399,"{'model__learning_rate': 0.3, 'model__max_depth': 4, 'model__n_estimators': 20}",,,,166.30226947972386,37.61,107.4156,14.646555,3.320438177086889,0.45275533041753513,167.60807073176755,297.8,120.79805,162.68533,5.781434538470504,7.786174726688883,165.93113519999395,14.93,265.7109,23.24583,10.605748230849015,0.9278484545333883,62.45993406382621,0.0,112.622375,0.0,4.494176503835751,0.0,163.16406994495856,350.34000000000003,176.95256,200.57773,7.222561437648441,9.166778511639807,274.2174714027006,0.0,204.3496,0.0,7.990883639419516,0.0
