Keyword,Region,Match type,Cost,Clicks,t_Clicks_ActCost
mit professional development,USA,Broad match,85.8,65,220.15817
generative ai course,USA,Broad match,12.24,8,220.15817
generative ai courses,USA,Broad match,0.58,1,220.15817
online ai and ml courses,USA,Phrase match,44.0,25,220.15817
mit xpro ai,USA,Broad match,65.27000000000001,61,220.15817
mit artificial intelligence course,USA,Phrase match,25.8,15,220.15817
generative ai certificate course,USA,Broad match,1.03,1,220.15817
generative ai online course,USA,Broad match,7.8,4,220.15817
generative ai online program,USA,Broad match,6.5,5,220.15817
generative ai certificate program,USA,Broad match,3.96,4,220.15817
generative ai foundations course,USA,Broad match,31.32,18,220.15817
mit generative ai certificate,USA,Broad match,4.65,5,220.15817
online course generative ai,USA,Broad match,4.41,3,220.15817
online generative ai course,USA,Phrase match,4.76,2,220.15817
mit professional development,A,Broad match,1.36,2,220.15817
generative ai course,A,Broad match,1.44,3,220.15817
online ai and ml courses,A,Phrase match,3.4,4,220.15817
mit xpro ai,A,Broad match,3.88,4,220.15817
generative ai fundamentals course,A,Broad match,2.1,2,220.15817
generative ai online course,A,Broad match,3.0,3,220.15817
generative ai online program,A,Broad match,8.399999999999999,12,220.15817
generative ai foundations course,A,Broad match,4.56,4,220.15817
online course generative ai,A,Broad match,1.82,2,220.15817
professional certificate in ai,A,Phrase match,0.86,1,220.15817
mit professional development,B,Broad match,2.6,10,220.15817
generative ai course,B,Broad match,0.8,2,220.15817
generative ai courses,B,Broad match,0.7,2,220.15817
generative ai online course,B,Broad match,0.61,1,220.15817
online ai and ml courses,B,Phrase match,1.32,4,220.15817
generative ai online program,B,Broad match,3.24,12,220.15817
mit generative ai certificate,B,Broad match,1.02,3,220.15817
generative ai certification online,B,Broad match,0.63,3,220.15817
online course generative ai,B,Broad match,5.64,12,220.15817
mit ai course,USA,Phrase match,8.4,5,220.15817
stanford ai professional program,USA,Phrase match,1.1,2,220.15817
