Day,Hist_MSE,Hist_R2,Hist_Bias,CV_Score,best_params
2025-07-02,1.225740909576416,0.9080442190170288,-0.0003310337872456491,1.7764304161071778,"{'model__learning_rate': 0.3, 'model__max_depth': 4, 'model__n_estimators': 20}"
2025-07-01,1.2297251224517822,0.9075252413749695,-0.00016561605634781793,1.6854690790176392,"{'model__learning_rate': 0.3, 'model__max_depth': 4, 'model__n_estimators': 20}"
2025-07-03,1.2503727674484253,0.9062002897262573,5.730663194585529e-06,1.7272202014923095,"{'model__learning_rate': 0.3, 'model__max_depth': 4, 'model__n_estimators': 20}"
2025-07-04,1.2684431076049805,0.9049569964408875,-0.0003063084003202546,1.7038341283798217,"{'model__learning_rate': 0.3, 'model__max_depth': 4, 'model__n_estimators': 20}"
2025-07-05,1.239557147026062,0.907539427280426,-7.89449853063293e-05,1.7672343730926514,"{'model__learning_rate': 0.3, 'model__max_depth': 4, 'model__n_estimators': 20}"
2025-07-06,1.2663254737854004,0.9058564901351929,-0.00016242424824117682,1.796831202507019,"{'model__learning_rate': 0.3, 'model__max_depth': 4, 'model__n_estimators': 20}"
2025-07-07,1.2441868782043457,0.9085034728050232,-0.00030952538989617535,1.8126017332077027,"{'model__learning_rate': 0.3, 'model__max_depth': 4, 'model__n_estimators': 20}"
2025-07-08,1.2584818601608276,0.9085464477539062,-0.00020375295111431198,1.692757773399353,"{'model__learning_rate': 0.3, 'model__max_depth': 4, 'model__n_estimators': 20}"
2025-07-09,1.2573786973953247,0.9092403650283813,7.408021727792406e-06,1.7500083208084107,"{'model__learning_rate': 0.3, 'model__max_depth': 4, 'model__n_estimators': 20}"
2025-07-10,1.2567341327667236,0.9096389412879944,-0.00015724366202231704,1.732353186607361,"{'model__learning_rate': 0.3, 'model__max_depth': 4, 'model__n_estimators': 20}"
2025-07-11,1.304166555404663,0.9064561724662781,-0.00023545560586179127,1.8399756669998169,"{'model__learning_rate': 0.3, 'model__max_depth': 4, 'model__n_estimators': 20}"
2025-07-12,1.2860051393508911,0.9077584147453308,-0.00015949142613218886,1.829278254508972,"{'model__learning_rate': 0.3, 'model__max_depth': 4, 'model__n_estimators': 20}"
2025-07-13,1.3181490898132324,0.9057050347328186,-0.0001559465277814232,1.8589057922363281,"{'model__learning_rate': 0.3, 'model__max_depth': 4, 'model__n_estimators': 20}"
2025-07-14,1.3223882913589478,0.906031608581543,-0.0004914493124218247,1.8186832666397095,"{'model__learning_rate': 0.3, 'model__max_depth': 4, 'model__n_estimators': 20}"
2025-07-15,1.2997889518737793,0.9085834622383118,-0.000312984230919049,1.9139170408248902,"{'model__learning_rate': 0.3, 'model__max_depth': 4, 'model__n_estimators': 20}"
2025-07-16,1.3472659587860107,0.9058338403701782,-0.00046754871794104535,1.8659563064575195,"{'model__learning_rate': 0.3, 'model__max_depth': 4, 'model__n_estimators': 20}"
2025-07-17,1.3267439603805542,0.9075189828872681,-4.844164026013535e-05,1.9020377159118653,"{'model__learning_rate': 0.3, 'model__max_depth': 4, 'model__n_estimators': 20}"
2025-07-18,1.3755645751953125,0.9045287370681763,-0.00024015989372903293,1.896715474128723,"{'model__learning_rate': 0.3, 'model__max_depth': 4, 'model__n_estimators': 20}"
2025-07-19,1.3356777429580688,0.9078062176704407,-2.7495770967512267e-05,1.883676791191101,"{'model__learning_rate': 0.3, 'model__max_depth': 4, 'model__n_estimators': 20}"
2025-07-20,1.3125499486923218,0.9102170467376709,-4.102105869209234e-05,1.8747435092926026,"{'model__learning_rate': 0.3, 'model__max_depth': 4, 'model__n_estimators': 20}"
2025-07-21,1.3532261848449707,0.9084272384643555,-0.0002693716583585818,1.9162358045578003,"{'model__learning_rate': 0.3, 'model__max_depth': 4, 'model__n_estimators': 20}"
2025-07-22,1.3666878938674927,0.9084230661392212,-0.00022123181838548694,1.8778496742248536,"{'model__learning_rate': 0.3, 'model__max_depth': 4, 'model__n_estimators': 20}"
2025-07-23,1.3412387371063232,0.9107459187507629,-0.00015569201537540982,1.8790615320205688,"{'model__learning_rate': 0.3, 'model__max_depth': 4, 'model__n_estimators': 20}"
2025-07-24,1.441999912261963,0.9054688215255737,-0.0002233830708489568,1.8785818099975586,"{'model__learning_rate': 0.3, 'model__max_depth': 4, 'model__n_estimators': 20}"
2025-07-25,1.4139128923416138,0.9082868099212646,5.4759092129429006e-05,1.9758210182189941,"{'model__learning_rate': 0.3, 'model__max_depth': 4, 'model__n_estimators': 20}"
2025-07-26,1.4220329523086548,0.9080913662910461,0.0001867710328712077,1.8454164505004882,"{'model__learning_rate': 0.3, 'model__max_depth': 4, 'model__n_estimators': 20}"
2025-07-27,1.408889889717102,0.9094650149345398,-0.00019968770045539807,1.9236423969268799,"{'model__learning_rate': 0.3, 'model__max_depth': 4, 'model__n_estimators': 20}"
2025-07-28,1.4367655515670776,0.9083478450775146,0.00018006410256353884,2.0610032796859743,"{'model__learning_rate': 0.3, 'model__max_depth': 4, 'model__n_estimators': 20}"
2025-07-29,1.4174742698669434,0.9111799001693726,7.55162450429336e-05,1.878565788269043,"{'model__learning_rate': 0.3, 'model__max_depth': 4, 'model__n_estimators': 20}"
2025-07-30,1.4239548444747925,0.9123086333274841,-0.0005555354444150115,2.0564458847045897,"{'model__learning_rate': 0.3, 'model__max_depth': 4, 'model__n_estimators': 20}"
2025-07-31,1.4675540924072266,0.9102617502212524,-0.0003747973909101835,2.2773742198944094,"{'model__learning_rate': 0.3, 'model__max_depth': 4, 'model__n_estimators': 20}"
