keyword,region,match,bid,bid_lb,bid_ub,predicted_clicks,predicted_epc,is_new_keyword,conv_value,cost,profit,combo_key,obs_clicks,obs_cost,obs_conv_value,obs_cpc,obs_epc,replay_ratio,replay_clicks,replay_revenue,replay_cost,replay_profit
generative ai certificate course,USA,Broad match,0.0,0.69,23.82,0.0,0.0,False,0.0,0.0,0.0,generative ai certificate course||Broad match||USA,3.0,4.62,0.0,1.54,0.0,0.0,0.0,0.0,0.0,0.0
generative ai fundamentals course,USA,Broad match,0.0,0.54,28.59,0.0,0.0,False,0.0,0.0,0.0,generative ai fundamentals course||Broad match||USA,10.0,10.4,0.0,1.04,0.0,0.0,0.0,0.0,0.0,0.0
generative ai online course,USA,Broad match,0.0,0.43,34.1,0.0,0.0,False,0.0,0.0,0.0,generative ai online course||Broad match||USA,6.0,11.1,0.0,1.8499999999999999,0.0,0.0,0.0,0.0,0.0,0.0
generative ai online program,USA,Broad match,0.0,0.3771142722417229,29.906038798704074,0.0,0.0,True,0.0,0.0,0.0,generative ai online program||Broad match||USA,8.0,7.92,0.0,0.99,0.0,0.0,0.0,0.0,0.0,0.0
generative ai certificate program,USA,Broad match,0.0,0.28,29.69,0.0,0.0,False,0.0,0.0,0.0,generative ai certificate program||Broad match||USA,4.0,5.8,0.0,1.45,0.0,0.0,0.0,0.0,0.0,0.0
generative ai foundations course,USA,Broad match,0.0,0.65,14.98,0.0,0.0,False,0.0,0.0,0.0,generative ai foundations course||Broad match||USA,13.0,13.65,200.0,1.05,15.384615384615385,0.0,0.0,0.0,0.0,0.0
mit generative ai certificate,USA,Broad match,0.0,0.67,2.61,0.0,0.0,False,0.0,0.0,0.0,mit generative ai certificate||Broad match||USA,9.0,5.8500000000000005,0.0,0.65,0.0,0.0,0.0,0.0,0.0,0.0
generative ai certification online,USA,Broad match,0.0,0.24,4.63,0.0,0.0,False,0.0,0.0,0.0,generative ai certification online||Broad match||USA,1.0,2.98,0.0,2.98,0.0,0.0,0.0,0.0,0.0,0.0
online course generative ai,USA,Broad match,0.0,0.56,3.61,0.0,0.0,False,0.0,0.0,0.0,online course generative ai||Broad match||USA,2.0,3.5,0.0,1.75,0.0,0.0,0.0,0.0,0.0,0.0
professional ai certificate,USA,Phrase match,0.0,0.41,4.43,0.0,0.0,False,0.0,0.0,0.0,professional ai certificate||Phrase match||USA,0.0,0.0,0.0,,,0.0,0.0,,0.0,
mit professional development,A,Broad match,0.33999999999999986,0.34,4.86,10.29082607090139,29.32552965917784,False,301.78392515965925,3.4988808641064715,298.2850442955528,mit professional development||Broad match||A,2.0,2.28,0.0,1.14,0.0,0.29824561403508765,0.5964912280701753,0.0,0.20280701754385952,-0.20280701754385952
generative ai course,A,Broad match,0.31999999999999995,0.32,2.92,11.044782863901219,31.01069086586632,False,342.50634707305835,3.5343305164483896,338.97201655660996,generative ai course||Broad match||A,3.0,2.52,0.0,0.84,0.0,0.38095238095238093,1.1428571428571428,0.0,0.36571428571428566,-0.36571428571428566
generative ai courses,A,Broad match,0.25,0.25,4.33,11.04478286390139,48.96725054923057,False,540.8326497585077,2.7611957159753473,538.0714540425324,generative ai courses||Broad match||A,2.0,2.04,0.0,1.02,0.0,0.24509803921568626,0.49019607843137253,0.0,0.12254901960784313,-0.12254901960784313
online ai and ml courses,A,Phrase match,0.0,0.39,17.29,0.0,0.0,False,0.0,0.0,0.0,online ai and ml courses||Phrase match||A,4.0,4.24,200.0,1.06,50.0,0.0,0.0,0.0,0.0,0.0
generative ai certificate course,A,Broad match,0.30999999999999994,0.31,15.2,11.044782863901787,23.790819523589487,False,262.76443579232125,3.423882687809553,259.3405531045117,generative ai certificate course||Broad match||A,0.0,0.0,0.0,,,2.0,0.0,,0.0,
