Keyword,Region,Match type,Cost,Clicks,t_Clicks_ActCost
mit professional development,USA,Broad match,89.68,59,52.818787
generative ai course,USA,Broad match,16.200000000000003,10,6.4333153
generative ai courses,USA,Broad match,2.49,1,0.70181763
online ai and ml courses,USA,Phrase match,70.28999999999999,33,31.88969
mit xpro ai,USA,Broad match,83.21000000000001,53,52.231506
mit artificial intelligence course,USA,Phrase match,8.94,6,5.346232
generative ai certificate course,USA,Broad match,3.81,3,1.8081263
generative ai fundamentals course,USA,Broad match,7.979999999999999,7,5.9343343
generative ai online course,USA,Broad match,9.68,8,4.948911
generative ai online program,USA,Broad match,17.290000000000003,7,3.3291354
generative ai certificate program,USA,Broad match,7.38,3,2.2707047
generative ai foundations course,USA,Broad match,24.48,16,14.83465
mit generative ai certificate,USA,Broad match,9.18,9,7.6613727
generative ai certification online,USA,Broad match,3.56,2,1.8739116
online course generative ai,USA,Broad match,2.04,2,0.63603246
professional certificate in ai,USA,Phrase match,1.82,1,0.63603216
online generative ai course,USA,Phrase match,0.59,1,0.56959534
generative ai course,A,Broad match,7.8,4,-0.02214384
online ai and ml courses,A,Phrase match,3.24,4,2.1369624
mit xpro ai,A,Broad match,3.24,2,1.8739117
generative ai fundamentals course,A,Broad match,13.6,5,4.3442755
generative ai online program,A,Broad match,16.95,15,9.925423
generative ai foundations course,A,Broad match,9.9,9,7.4701934
professional certificate in ai,A,Phrase match,1.8,2,0.6360322
mit professional development,B,Broad match,4.2,10,4.5868196
generative ai course,B,Broad match,0.8999999999999999,5,0.81744194
generative ai online course,B,Broad match,4.199999999999999,6,2.8410795
online ai and ml courses,B,Phrase match,0.2,1,0.0
mit xpro ai,B,Broad match,1.5,2,0.88322747
generative ai online program,B,Broad match,2.52,7,2.4716916
mit generative ai certificate,B,Broad match,0.58,2,0.50455344
generative ai certification online,B,Broad match,0.82,2,0.88322747
online course generative ai,B,Broad match,2.7,6,3.0863404
mit ai course,USA,Phrase match,7.28,4,2.5886364
stanford ai professional program,USA,Phrase match,1.81,1,0.70181763
mit generative ai course,USA,Exact match,1.14,1,0.70181763
