Location,Region,Opt_Conversions,Act_Conversions,Opt_Clicks,Act_Clicks,Opt_Spend,Act_Spend
"Alberta, Canada",USA,0.0,0.0,0.008382276840558032,0.011006846104662139,0.009159061592452174,0.0202962011967262
Australia,A,0.09543599702177773,0.008099282002722481,3.2720913264609504,0.2776896686647708,3.495779020163163,0.6742545057345712
Austria,B,0.0,0.0,0.25324374614681033,0.015282243837206052,0.12933347377918727,0.018880983182406212
Belgium,A,0.19087199404355543,0.016198564005444963,4.13101529965695,0.3505832066892731,4.413421012955993,0.8512463134898962
Brazil,C,0.0,0.0,0.0,0.0,0.0,0.0
"British Columbia, Canada",USA,0.0,0.0,0.03911729192260415,0.05136528182175665,0.042742287431443475,0.09471560558472226
Canada,A,0.2045057079038094,0.017355604291548175,4.8945032758311715,0.41537746271105297,5.229102784327398,1.0085723648279628
Chile,B,0.15194624768808618,0.00916934630232363,3.5116466132357695,0.21191378120925725,1.7934241697380635,0.26181630012936613
China,B,0.20259499691744826,0.012225795069764843,8.593404452581764,0.5185774742091921,4.388715876907089,0.6406946959896508
Colombia,B,0.3376583281957471,0.020376325116274734,8.28951195720559,0.5002387816045447,4.233515708372063,0.6180375161707633
Denmark,A,0.013633713860253959,0.0011570402861032115,2.985783335395617,0.2533918226566033,3.1898983558988863,0.6152572364827963
Egypt,B,7.824387610115949,0.4721703937568763,168.30579368917012,10.156579254207141,85.95502667364785,12.548301423027166
France,A,0.4090114158076188,0.03471120858309635,13.688248715694975,1.1616684472476244,14.624008901015898,2.820631348989623
Germany,A,0.47717998510888865,0.040496410013612406,14.165428700803865,1.202164857261237,15.133810008123026,2.918960131075915
Hong Kong,B,0.06753166563914942,0.004075265023254947,2.667500792746402,0.16097296841857042,1.362312590474106,0.1988796895213454
Hungary,B,0.0,0.0,2.059715801994057,0.12429558320927589,1.0519122534040564,0.15356532988357052
India,C,0.0,0.0,0.0,0.0,0.0,0.0
Ireland,A,0.0,0.0,0.6407845514319361,0.05438089344685095,0.6845900581152862,0.1320415073730202
Israel,A,0.7498542623139678,0.06363721573567664,15.25612580962418,1.2947280801494938,16.299069681510748,3.143711632987438
Italy,A,0.09543599702177771,0.008099282002722481,2.1541267899201255,0.18281236520430744,2.301387854940749,0.44388421627525937
Japan,A,0.1636045663230475,0.013884483433238538,4.185550155097966,0.35521136783368595,4.471683996625379,0.8624838885854723
"Manitoba, Canada",USA,0.0,0.0,0.005588184560372022,0.007337897403108092,0.006106041061634782,0.013530800797817466
Mexico,A,0.8861914009165075,0.07520761859670877,40.06948503528639,3.4005414008573394,42.80872725108141,8.256808301474605
Netherlands,A,0.08180228316152376,0.006942241716619269,1.2270342474228564,0.10413362574928904,1.3109171325611861,0.2528454396504642
Norway,A,0.0,0.0,0.4090114158076188,0.03471120858309635,0.43697237752039536,0.0842818132168214
"Ontario, Canada",USA,0.011176369120744043,0.014675794806216185,0.16764553681116065,0.2201369220932428,0.18318123184904347,0.405924023934524
Poland,B,0.016882916409787355,0.0010188162558137368,1.1311553994557528,0.06826068913952037,0.5776895162137032,0.08433505821474775
Portugal,B,0.01688291640978735,0.0010188162558137368,0.8947945697187297,0.05399726155812805,0.456978274019795,0.06671280724450195
"Quebec, Canada",USA,0.0,0.0,0.061470030164092235,0.08071687143418901,0.0671664516779826,0.14883880877599212
Romania,B,0.13506333127829884,0.008150530046509894,3.714241610153218,0.22413957627902212,1.8968909487614134,0.2769210866752911
Saudi Arabia,B,0.08441458204893677,0.005094081279068684,5.588245331639614,0.3372281806743469,2.853958654727399,0.41664036222509704
Singapore,B,0.21947791332723562,0.01324461132557858,2.61685204351704,0.1579165196511292,1.3364458957182686,0.19510349288486417
South Africa,B,0.6753166563914941,0.04075265023254947,18.23354972257034,1.1003215562788358,9.312010112101484,1.359430789133247
Spain,A,0.46354627124863457,0.03933936972750919,15.106154957161387,1.2820006370023584,16.138846476419936,3.1128083014746037
Sweden,A,0.0,0.0,0.42264512966787277,0.035868248869199565,0.4515381234377419,0.08709120699071546
Switzerland,A,0.027267427720507918,0.002314080572206423,0.9134588286370152,0.07752169916891517,0.9759049764622163,0.18822938285090113
Taiwan,B,0.016882916409787355,0.0010188162558137368,2.29607663173108,0.1385590107906682,1.1726234955979646,0.1711875808538163
Turkiye,B,0.5508895624513613,0.033243974427202234,28.852904144326587,1.7411569811856762,14.735393779242068,2.1511733505821473
United Arab Emirates,B,0.1181804148685115,0.0071317137906961574,4.001251189119603,0.24145945262785562,2.043468885711159,0.29831953428201813
United Kingdom,A,0.0,0.0,1.295202816724126,0.1099188271798051,1.3837458621479186,0.26689240851993445
United States,USA,5.821826556841176,7.644694893532041,121.59330784913482,159.66530959422897,132.86134746011123,294.41669455971027
