Keyword,Region,Match type,Cost,Clicks,t_Clicks_ActCost
mit professional development,USA,Broad match,75.89999999999999,55,52.285187
generative ai course,USA,Broad match,4.24,2,0.47922218
mit generative ai course,USA,Broad match,0.41,1,0.0
generative ai online course,USA,Broad match,1.81,1,0.042309523
online ai and ml courses,USA,Phrase match,35.52,32,26.020664
mit xpro ai,USA,Broad match,71.28,66,62.353584
mit artificial intelligence course,USA,Phrase match,19.8,15,13.210917
generative ai certificate course,USA,Broad match,7.92,6,4.8875923
generative ai fundamentals course,USA,Broad match,4.2,5,1.8485546
generative ai online course,USA,Broad match,9.28,8,6.9225583
generative ai online program,USA,Broad match,7.700000000000001,7,2.948409
generative ai foundations course,USA,Broad match,22.61,17,14.073177
mit generative ai certificate,USA,Broad match,7.9,5,4.206256
online course generative ai,USA,Broad match,3.84,2,0.6457287
mit xpro ai course,USA,Phrase match,2.76,1,0.18789911
prompt engineering course,USA,Phrase match,1.0,1,0.042309523
online generative ai course,USA,Phrase match,0.33,1,0.0
professional ai certificate,USA,Phrase match,1.13,1,0.042309523
mit professional development,A,Broad match,3.81,3,0.67514205
generative ai course,A,Broad match,1.98,3,0.18789911
generative ai online course,A,Broad match,0.38,1,0.0
online ai and ml courses,A,Phrase match,4.45,5,-0.565289
mit xpro ai,A,Broad match,4.050000000000001,3,1.0962342
generative ai fundamentals course,A,Broad match,2.94,3,0.18789911
generative ai online course,A,Broad match,0.91,1,0.0
generative ai online program,A,Broad match,4.64,8,2.948409
generative ai foundations course,A,Broad match,4.0,4,0.9499867
online course generative ai,A,Broad match,0.96,1,0.0
mit professional development,B,Broad match,4.32,12,8.553434
generative ai courses,B,Broad match,0.13,1,0.0
generative ai online course,B,Broad match,0.48,2,0.0
online ai and ml courses,B,Phrase match,3.2,8,1.4723787
mit artificial intelligence course,B,Phrase match,0.9,2,0.0
generative ai online course,B,Broad match,0.49,1,0.0
generative ai online program,B,Broad match,2.4,5,0.15278196
mit generative ai certificate,B,Broad match,0.18,1,0.0
online course generative ai,B,Broad match,0.81,3,0.0
professional certificate in ai,B,Phrase match,0.3,1,0.0
mit ai course,USA,Phrase match,10.56,8,6.817464
