Keyword,Region,Match type,Cost,Clicks,t_Clicks_ActCost
mit professional development,USA,Broad match,107.03,77,71.89931
generative ai course,USA,Broad match,8.040000000000001,6,4.2051334
online ai and ml courses,USA,Phrase match,26.7,15,13.451235
mit xpro ai,USA,Broad match,73.16,59,56.066483
mit artificial intelligence course,USA,Phrase match,14.4,12,10.337553
generative ai fundamentals course,USA,Broad match,4.08,3,1.5471078
generative ai online course,USA,Broad match,11.69,7,6.4150357
generative ai online program,USA,Broad match,3.45,3,1.5365449
generative ai certificate program,USA,Broad match,4.18,2,1.4115652
generative ai foundations course,USA,Broad match,27.14,23,20.513245
mit generative ai certificate,USA,Broad match,6.5,5,3.2487855
online course generative ai,USA,Broad match,5.56,4,1.9510465
professional certificate in ai,USA,Phrase match,0.82,1,0.06562185
mit xpro ai course,USA,Phrase match,0.81,1,0.06562185
prompt engineering course,USA,Phrase match,1.14,1,0.06562185
mit professional development,A,Broad match,2.0,2,1.4620196
generative ai course,A,Broad match,2.28,3,1.5823619
generative ai courses,A,Broad match,0.78,1,0.06562185
online ai and ml courses,A,Phrase match,0.94,1,0.06562185
mit xpro ai,A,Broad match,11.68,16,12.927542
generative ai fundamentals course,A,Broad match,0.37,1,0.06562185
generative ai online course,A,Broad match,2.24,2,1.5365455
generative ai online program,A,Broad match,11.83,13,11.962293
generative ai certificate program,A,Broad match,1.34,2,0.85202587
generative ai foundations course,A,Broad match,2.08,4,1.6028705
mit professional development,B,Broad match,1.47,7,3.359401
generative ai online course,B,Broad match,0.31,1,0.0
online ai and ml courses,B,Phrase match,0.7,2,0.22288835
generative ai online program,B,Broad match,0.24,1,0.0
online course generative ai,B,Broad match,16.8,42,38.715645
mit ai course,USA,Phrase match,5.65,5,3.5040536
