Day,Budget,t_Clicks_OptCost,t_Clicks_ActCost,tm1_Clicks_OptCost,Actual_Clicks,Opt_Cost,Act_Cost,Opt_Conv,Act_Conv,Opt_Purch,Act_Purch,N_Opt,N_Obs,Avg_Cost_Change,Pct_New_Keywords,Eval_CV_MSE,Eval_Train_MSE,Eval_Train_R2,Eval_Best_Params,Hist_MSE,Hist_R2,Hist_Bias,Opt_Cost_Region_B,Act_Cost_Region_B,Opt_Clicks_Region_B,Act_Clicks_Region_B,Opt_Conv_Region_B,Act_Conv_Region_B,Opt_Purch_Region_B,Act_Purch_Region_B,Opt_Cost_Region_A,Act_Cost_Region_A,Opt_Clicks_Region_A,Act_Clicks_Region_A,Opt_Conv_Region_A,Act_Conv_Region_A,Opt_Purch_Region_A,Act_Purch_Region_A,Opt_Cost_Region_USA,Act_Cost_Region_USA,Opt_Clicks_Region_USA,Act_Clicks_Region_USA,Opt_Conv_Region_USA,Act_Conv_Region_USA,Opt_Purch_Region_USA,Act_Purch_Region_USA,Opt_Cost_Origin_new,Act_Cost_Origin_new,Opt_Clicks_Origin_new,Act_Clicks_Origin_new,Opt_Conv_Origin_new,Act_Conv_Origin_new,Opt_Purch_Origin_new,Act_Purch_Origin_new,Opt_Cost_Origin_existing,Act_Cost_Origin_existing,Opt_Clicks_Origin_existing,Act_Clicks_Origin_existing,Opt_Conv_Origin_existing,Act_Conv_Origin_existing,Opt_Purch_Origin_existing,Act_Purch_Origin_existing,Opt_Cost_Origin_existing searches,Act_Cost_Origin_existing searches,Opt_Clicks_Origin_existing searches,Act_Clicks_Origin_existing searches,Opt_Conv_Origin_existing searches,Act_Conv_Origin_existing searches,Opt_Purch_Origin_existing searches,Act_Purch_Origin_existing searches,Opt_Cost_Match_Exact match,Act_Cost_Match_Exact match,Opt_Clicks_Match_Exact match,Act_Clicks_Match_Exact match,Opt_Conv_Match_Exact match,Act_Conv_Match_Exact match,Opt_Purch_Match_Exact match,Act_Purch_Match_Exact match,Opt_Cost_Match_Phrase match,Act_Cost_Match_Phrase match,Opt_Clicks_Match_Phrase match,Act_Clicks_Match_Phrase match,Opt_Conv_Match_Phrase match,Act_Conv_Match_Phrase match,Opt_Purch_Match_Phrase match,Act_Purch_Match_Phrase match,Opt_Cost_Match_Broad match,Act_Cost_Match_Broad match,Opt_Clicks_Match_Broad match,Act_Clicks_Match_Broad match,Opt_Conv_Match_Broad match,Act_Conv_Match_Broad match,Opt_Purch_Match_Broad match,Act_Purch_Match_Broad match
2025-12-01,357,29.529642,120.95368,100.61114570472776,177,356.9400036172314,339.51,0.8105035490597907,3.402796113938539,0.026722530859553787,0.03801505410336778,141,30,,,1.808143949508667,1.6075465679168701,0.9134912490844727,"{'model__learning_rate': 0.3, 'model__max_depth': 4, 'model__n_estimators': 20}",1.488994836807251,0.8997662663459778,-9.917821041557907e-06,0.0,34.620000000000005,0.0,56.438164,0.0,1.636859725052826,0.0,0.00045433121972772206,0.0,79.17999999999999,0.0,27.430548,0.0,0.7480606992004526,0.0,0.0040010739957887275,356.9400036172314,225.70999999999998,29.529642,37.08498,0.8105035490597906,1.0178756896852603,0.02672253085955378,0.03355964888785132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.110000115963885,339.51,5.3771725,120.95368,0.14758787014508085,3.402796113938539,0.004866013750368904,0.03801505410336777,299.83000350126747,0.0,24.152472,0.0,0.6629156658269044,0.0,0.02185651667767624,0.0,41.920001301852615,37.26,-0.12711427,2.4892075,-0.003488920166719487,0.06830994875665856,-0.00011503068299927117,0.002202468261557391,54.08000099613399,32.980000000000004,0.6148374,4.7021823,0.016875514425755345,0.12990605507434239,0.0005563904754472892,0.0018394410861205385,260.9400013192447,269.27,29.041922,113.7623,0.7971169752504507,3.2045801770300963,0.026281171741338014,0.0339731460578929
2025-12-02,357,11.700165,122.33064,134.06354352318388,170,357.14000000000203,333.08,0.32113579491131017,3.444020978887643,0.010587937831462549,0.03435457142682368,358,36,0.28597696844926074,0.9413407821229051,1.808143949508667,1.6075465679168701,0.9134912490844727,"{'model__learning_rate': 0.3, 'model__max_depth': 4, 'model__n_estimators': 20}",1.5090065002441406,0.8988060355186462,-4.908635916489144e-05,0.0,32.49,0.0,59.028996,0.0,1.712000984179424,0.0,0.00047518763117725056,0.0,85.97999999999999,0.0,30.833172,0.0,0.8408539452375605,0.0,0.004497387522352446,357.14000000000203,214.60999999999999,11.700165,32.468475,0.3211357949113101,0.8911660494706591,0.01058793783146255,0.029381996273293985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.039999966435904,333.08,0.9630485,122.33064,0.026432905577985173,3.4440209788876435,0.0008715003602819171,0.03435457142682368,334.1000000335662,0.0,10.737116,0.0,0.29470290405710603,0.0,0.009716437956627851,0.0,66.16000001909039,60.849999999999994,1.458796,4.160643,0.04003974551602854,0.11402710130360504,0.001320121714953554,0.003029645083288827,105.48000032887757,14.99,2.842596,1.4913356,0.07802106717625203,0.04116855194569805,0.0025723766141817466,0.00048824435992071913,185.4999996520341,257.24,7.3987727,116.678665,0.2030749822190296,3.2888253621882573,0.0066954395023272485,0.030836682204046655
2025-12-03,357,34.410744,138.57133,93.70760923203449,204,357.13999999999993,349.52000000000004,0.9444757171866047,3.903014210811337,0.031139631069963862,0.0392770188626342,239,37,0.09169532329488175,0.5188284518828452,1.808143949508667,1.6075465679168701,0.9134912490844727,"{'model__learning_rate': 0.3, 'model__max_depth': 4, 'model__n_estimators': 20}",1.5165082216262815,0.8986787796020508,7.364833965912591e-08,0.0,42.29,0.0,67.81774,0.0,1.9668984538972176,0.0,0.0005459376634188088,0.0,85.84,0.0,33.32549,0.0,0.9088221871741378,0.0,0.004860922146805488,357.13999999999993,221.39,34.410744,37.428104,0.9444757171866047,1.0272935697399812,0.031139631069963862,0.0338701590524099,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.370000416979146,349.52000000000004,4.8238935,138.57133,0.1324019586753956,3.903014210811337,0.004365329961445508,0.03927701886263419,316.76999958302076,0.0,29.58685,0.0,0.812073719247793,0.0,0.02677429981399244,0.0,3.5699999683552646,54.01,0.0,4.775774,0.0,0.13071236264734404,0.0,0.002731194210395257,5.099999954793029,31.819999999999997,0.0,5.590218,0.0,0.15394165697065118,0.0,0.0018177984938230205,348.4700000768516,263.68999999999994,34.410744,128.20534,0.9444757171866048,3.618360205484197,0.03113963106996386,0.034728024927835076
2025-12-04,357,18.065746,125.45102,113.89600035781194,174,357.1399999999321,321.47999999999996,0.4958526046645422,3.5382496483127084,0.01634840038061433,0.040836847732616685,345,38,0.31635415214753604,0.7594202898550725,1.808143949508667,1.6075465679168701,0.9134912490844727,"{'model__learning_rate': 0.3, 'model__max_depth': 4, 'model__n_estimators': 20}",1.516337752342224,0.8991885185241699,-0.000131321720685,0.0,35.419999999999995,0.0,63.41482,0.0,1.8392018378078328,0.0,0.0005104938447121564,0.0,58.85000000000001,0.0,20.831392,0.0,0.5680946339946543,0.0,0.003038508331813926,357.1399999999321,227.20999999999998,18.065746,41.20481,0.4958526046645422,1.1309531765102219,0.016348400380614327,0.0372878455560906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.99999979038021,321.47999999999996,0.5942924,125.45102,0.016311613242810392,3.538249648312709,0.0005377984942271381,0.04083684773261668,341.14000020955194,0.0,17.471453,0.0,0.4795410110534398,0.0,0.015810602533650152,0.0,88.3800063802554,24.28,2.1575193,1.8198006,0.05921767975343637,0.04981641260954846,0.0019524236216831665,0.0010781860045460145,93.22999838161712,22.91,2.8216925,2.7490325,0.07744733050755803,0.07517191469941029,0.0025534603542193834,0.00052541455012628,175.52999523805963,274.28999999999996,13.086534,120.88219,0.3591876205791585,3.41326134114487,0.011842517267729058,0.039233247554087476
2025-12-05,357,35.15673,113.72007,116.4383473907673,170,357.1399999999928,295.81000000000006,0.9649511175550491,3.209291184323023,0.03181471080137552,0.03361594792690573,78,35,2.102152552304751,0.3717948717948718,1.808143949508667,1.6075465679168701,0.9134912490844727,"{'model__learning_rate': 0.3, 'model__max_depth': 4, 'model__n_estimators': 20}",1.4711387157440186,0.9026018381118774,5.7465995026512695e-05,0.0,37.559999999999995,0.0,59.01183,0.0,1.7115031196236563,0.0,0.00047504944254237927,0.0,55.59999999999999,0.0,21.561361,0.0,0.5880016280447282,0.0,0.003144982788115671,357.1399999999928,202.65000000000003,35.15673,33.146885,0.9649511175550494,0.9097864366546381,0.03181471080137552,0.02999591569624769,19.12000050283141,0.0,2.5068939,0.0,0.0688070100587398,0.0,0.0022685865494127054,0.0,50.54000027613061,295.81000000000006,5.1712675,113.72007,0.1419363856370966,3.2092911843230225,0.004679682710434422,0.03361594792690574,287.4799992210308,0.0,27.478577,0.0,0.7542077153153101,0.0,0.024866441325774067,0.0,29.10999991938099,28.76,1.9945434,2.1163793,0.0547444609169666,0.05796709963101139,0.001804940333623829,0.0013916473497870702,30.439991306091024,19.919999999999998,2.2226996,3.291933,0.061006697679233286,0.09027580362455927,0.0020114080478289384,0.0004402782903831041,297.59000877452087,247.12999999999997,30.939495,108.31175,0.8491998967917738,3.0610481347408856,0.02799836037025671,0.03178402196661663
2025-12-06,357,39.516834,122.18811,105.04727756453441,194,357.13999560605066,374.28999999999996,1.0846231830564448,3.426741688325255,0.03576033259056731,0.03714005720660378,146,40,0.4326648339620827,0.9315068493150684,1.808143949508667,1.6075465679168701,0.9134912490844727,"{'model__learning_rate': 0.3, 'model__max_depth': 4, 'model__n_estimators': 20}",1.5220571756362915,0.899526059627533,-1.687325713528725e-05,0.0,34.74000000000001,0.0,51.066185,0.0,1.4810578803343928,0.0,0.00041108643762248053,0.0,110.83999999999999,0.0,36.40215,0.0,0.9927262505908816,0.0,0.005309691032320465,357.13999560605066,228.70999999999998,39.516834,34.719772,1.0846231830564448,0.9529575573999804,0.03576033259056731,0.03141927973666084,25.589999933738135,0.0,2.953277,0.0,0.08105894312387464,0.0,0.002672536241924293,0.0,60.64999975628295,374.28999999999996,6.8006,122.18811,0.18665688004768016,3.426741688325255,0.006154130038058849,0.03714005720660378,270.8999959160296,0.0,29.76296,0.0,0.8169073598848902,0.0,0.026933666310584164,0.0,16.209999626140068,23.740000000000002,0.80773026,1.6589175,0.02216986708019174,0.045490346014721655,0.0007309467773335136,0.0013194421076531415,18.41999962714433,28.730000000000004,1.0558634,3.3113766,0.028980405997356625,0.0914483393199669,0.0009554921683996604,0.000806776241731416,322.5099963527663,321.82,37.65324,117.21782,1.0334728985270667,3.289802975837189,0.03407389326726407,0.035013840375815716
2025-12-07,357,35.042133,137.44832,110.81819131889648,188,357.13999999999953,394.08000000000004,0.9618055420568892,3.8647563581403968,0.0317110002890426,0.03816924129460106,114,41,12.799664117756853,0.8947368421052632,1.808143949508667,1.6075465679168701,0.9134912490844727,"{'model__learning_rate': 0.3, 'model__max_depth': 4, 'model__n_estimators': 20}",1.500883936882019,0.9013800024986268,-5.520980637918149e-05,0.0,35.36000000000001,0.0,63.614227,0.0,1.8449850324876271,0.0,0.0005120990438948227,0.0,116.77000000000001,0.0,38.412735,0.0,1.0475568949171838,0.0,0.005602957962959636,357.13999999999953,241.95,35.042133,35.42137,0.9618055420568891,0.9722144307355857,0.031711000289042605,0.0320541842877466,19.140000588057337,0.0,2.5068939,0.0,0.0688070100587398,0.0,0.0022685865494127054,0.0,48.8399964585611,394.08000000000004,6.0861125,137.44832,0.16704623024463344,3.8647563581403968,0.005507561376952148,0.03816924129460106,289.1600029533811,0.0,26.449127,0.0,0.7259522428583917,0.0,0.02393485042088887,0.0,27.839999086546054,50.349999999999994,-0.057231754,3.3403337,-0.0015708466639434017,0.09161359514586453,-5.179125804143521e-05,0.0027255624390665994,37.13999903073075,26.36,0.053924203,4.32102,0.001480063919857765,0.11783889973344644,4.879812533626992e-05,0.0006302725940819782,292.16000188272267,317.37000000000006,35.04544,129.78697,0.9618963190750599,3.6553039626032104,0.031713993232962735,0.034813406593258926
2025-12-08,357,42.619072,116.85583,108.525296468817,173,357.1400000000096,340.53,1.1697705602664326,3.2881309401373056,0.03856766565868704,0.035928727091534406,79,32,0.2536184548834862,0.8481012658227848,1.808143949508667,1.6075465679168701,0.9134912490844727,"{'model__learning_rate': 0.3, 'model__max_depth': 4, 'model__n_estimators': 20}",1.5065865516662598,0.9014207124710084,-0.0001047275567334,0.0,31.610000000000003,0.0,54.982536,0.0,1.5946425809088338,0.0,0.0004426133148279957,0.0,73.75000000000001,0.0,27.01367,0.0,0.7366919914545428,0.0,0.003940267378121873,357.1400000000096,235.17,42.619072,34.85963,1.1697705602664321,0.9567963677739292,0.03856766565868704,0.031545846398584536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.83000021454923,340.53,4.295543,116.85583,0.11790029075919742,3.2881309401373056,0.0038872058756779094,0.03592872709153441,324.3099997854604,0.0,38.323524,0.0,1.051870269507235,0.0,0.034680459783009134,0.0,19.00000022573178,31.619999999999997,2.105557,2.0491564,0.05779146888079865,0.05620857053183079,0.0019054010465192409,0.0017040222869823662,15.02000017044445,21.75,1.4432802,3.8459184,0.03961388141651023,0.10493331064810336,0.001306080855348984,0.0007806716913398165,323.1199996038333,287.15999999999997,39.070232,110.960754,1.0723651445300966,3.126989057184994,0.03535618159927562,0.03344403247109479
2025-12-09,357,30.678864,128.43353,100.78589236780584,192,357.13999999998765,329.9,0.8420463641228314,3.618675515095476,0.027762506378349597,0.036709947195974736,238,32,2.0906290159402174,0.8781512605042017,1.808143949508667,1.6075465679168701,0.9134912490844727,"{'model__learning_rate': 0.3, 'model__max_depth': 4, 'model__n_estimators': 20}",1.4779270887374878,0.903725564479828,2.601532509960216e-06,0.0,34.12,0.0,63.498474,0.0,1.8416280977429396,0.0,0.0005111672839927631,0.0,89.53999999999999,0.0,29.7249,0.0,0.810630256189152,0.0,0.004335733238899724,357.13999999998765,206.23999999999998,30.678864,35.210155,0.8420463641228312,0.966417161163385,0.02776250637834959,0.031863046673082256,0.9600000139140668,0.0,0.058624387,0.0,0.0016090704175667286,0.0,5.3051505990937996e-05,0.0,87.62999859222568,329.9,9.180818,128.43353,0.2519869510075453,3.618675515095476,0.008308080923662002,0.036709947195974736,268.5500013938479,0.0,21.439425,0.0,0.5884503983208922,0.0,0.019401375782608365,0.0,18.520000067885576,43.660000000000004,1.084143,4.054016,0.029756597927596724,0.11097618063072973,0.000981083435498785,0.0020220662245961176,131.2800000496032,28.439999999999998,5.9210777,5.3219366,0.16251651462425526,0.14520756458919218,0.0053582153739753875,0.001089304077012739,207.33999988249892,257.8,23.673645,119.05757,0.6497733104661035,3.3624918347758195,0.021423209510664294,0.03359857854183167
2025-12-10,357,43.32613,92.15973,96.04804316503464,147,357.13999999999845,252.56,1.1891774722030048,2.602379914636275,0.03920751702481036,0.029042349943529944,56,33,2.538720952535239,0.6071428571428571,1.808143949508667,1.6075465679168701,0.9134912490844727,"{'model__learning_rate': 0.3, 'model__max_depth': 4, 'model__n_estimators': 20}",1.503741979598999,0.9025506973266602,4.218823529648837e-05,0.0,27.93,0.0,48.46169,0.0,1.4055204316579721,0.0,0.0003901200587281799,0.0,53.67999999999999,0.0,14.348797,0.0,0.3913072077504354,0.0,0.002092943921487083,357.13999999999845,170.95,43.32613,29.34925,1.1891774722030048,0.805552275227867,0.03920751702481036,0.02655928596331469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128.2699960004384,252.56,17.986115,92.15973,0.4936670458671986,2.6023799146362747,0.01627634188996968,0.029042349943529944,228.87000399956005,0.0,25.340015,0.0,0.6955103739845849,0.0,0.022931173408806124,0.0,51.869996627463884,38.12,4.738727,4.8538065,0.13006438501847106,0.13264297165302263,0.004288259497958817,0.0018913010841329241,50.36999905693891,16.889999999999997,4.7889576,1.7156669,0.13144309370145324,0.04685053124394684,0.004333715912517477,0.0005194838499929609,254.90000431559562,197.55000000000004,33.798447,85.59026,0.9276699280440538,2.4228864346849344,0.030585539456790874,0.02663156594552229
