Budget,Spend New,Clicks New,Conv New,Purch New,Spend Existing,Clicks Existing,Conv Existing,Purch Existing,Spend Existing searches,Clicks Existing searches,Conv Existing searches,Purch Existing searches
Actual,0.0,0.0,0.0,0.0,1.0,1.0,0.9999999999999999,1.0,0.0,0.0,0.0,0.0
357,0.012706649211055803,0.014735552461369282,0.014735552284527921,0.014735552284527427,0.14234228919541614,0.1711780104401537,0.1711780030960777,0.1711780030960766,0.844951061593528,0.8140864645866922,0.814086445086567,0.8140864450865661
