Campaign,Conversion action,All conv.
Course - DAI - Run 1 - Search - Lead Gen - A,Purchase,2.00
Course - DAI - Run 1 - Search - Lead Gen - B,Purchase,1.00
Course - DAI - Run 1 - Search - Lead Gen - USA,Purchase,4.00
Course - DAI - Run 3 - Search - Prospecting - A,Purchase,3.00
Course - DAI - Run 3 - Search - Prospecting - B,Purchase,2.00
Course - DAI - Run 3 - Search - Prospecting - USA,Purchase,24.00
Market Test - Software Architecture - Search - Lead Gen - USA #2,Purchase,2.00
