Day,Budget,t_Clicks_OptCost,t_Clicks_ActCost,tm1_Clicks_OptCost,Actual_Clicks,Opt_Cost,Act_Cost,Opt_Conv,Act_Conv,Opt_Purch,Act_Purch,N_Opt,N_Obs,Avg_Cost_Change,Pct_New_Keywords,Eval_CV_MSE,Eval_Train_MSE,Eval_Train_R2,Eval_Best_Params,Hist_MSE,Hist_R2,Hist_Bias,Opt_Cost_Region_B,Act_Cost_Region_B,Opt_Clicks_Region_B,Act_Clicks_Region_B,Opt_Conv_Region_B,Act_Conv_Region_B,Opt_Purch_Region_B,Act_Purch_Region_B,Opt_Cost_Region_A,Act_Cost_Region_A,Opt_Clicks_Region_A,Act_Clicks_Region_A,Opt_Conv_Region_A,Act_Conv_Region_A,Opt_Purch_Region_A,Act_Purch_Region_A,Opt_Cost_Region_USA,Act_Cost_Region_USA,Opt_Clicks_Region_USA,Act_Clicks_Region_USA,Opt_Conv_Region_USA,Act_Conv_Region_USA,Opt_Purch_Region_USA,Act_Purch_Region_USA,Opt_Cost_Origin_new,Act_Cost_Origin_new,Opt_Clicks_Origin_new,Act_Clicks_Origin_new,Opt_Conv_Origin_new,Act_Conv_Origin_new,Opt_Purch_Origin_new,Act_Purch_Origin_new,Opt_Cost_Origin_existing,Act_Cost_Origin_existing,Opt_Clicks_Origin_existing,Act_Clicks_Origin_existing,Opt_Conv_Origin_existing,Act_Conv_Origin_existing,Opt_Purch_Origin_existing,Act_Purch_Origin_existing,Opt_Cost_Origin_existing searches,Act_Cost_Origin_existing searches,Opt_Clicks_Origin_existing searches,Act_Clicks_Origin_existing searches,Opt_Conv_Origin_existing searches,Act_Conv_Origin_existing searches,Opt_Purch_Origin_existing searches,Act_Purch_Origin_existing searches
2025-12-01,362,216.05353,221.91217,315.5148246621902,322,362.9100000000003,355.41,10.339193541801023,10.05185752151154,0.14659863913729618,0.1308954252357487,170,31,,,6.746827125549316,5.400618076324463,0.9210497140884399,"{'model__learning_rate': 0.3, 'model__max_depth': 4, 'model__n_estimators': 20}",3.9287314414978023,0.9282628893852234,-0.0002160526256905,2.399999925884279,19.52,0.1511563,35.594322,0.006033346278855594,1.4207337869345602,4.145243555924439e-05,0.009761229179923172,9.820003381356258,35.54,0.0,16.881475,0.0,0.5218413492032963,0.0,0.006118693529760203,350.6899966927598,300.35,215.90237,169.43639,10.333160195522169,8.109282385373684,0.14655718670173692,0.11501550252606534,50.62999815860951,0.0,2.3577847,0.0,0.11284437047574052,0.0,0.0016004932817377414,0.0,115.06000393906767,355.41,96.94301,221.91217,4.639724599748659,10.05185752151154,0.06580610109041708,0.1308954252357487,197.21999790232317,0.0,116.75275,0.0,5.586624411825517,0.0,0.07919204249936085,0.0
2025-12-02,362,307.74222,200.57773,337.25944563634357,292,362.91000000000207,350.34000000000003,14.72864598404036,9.166778511639807,0.20889920203523082,0.12211628460461386,67,32,2.15459597060652,0.8059701492537313,6.746827125549316,5.400618076324463,0.9210497140884399,"{'model__learning_rate': 0.3, 'model__max_depth': 4, 'model__n_estimators': 20}",4.101401329040527,0.9259041547775269,-0.0005341420579876,0.0,14.93,0.0,23.24583,0.0,0.9278484545333883,0.0,0.00637483354885196,0.0,37.61,0.0,14.646555,0.0,0.45275533041753513,0.0,0.005308646229394496,362.91000000000207,297.8,307.74222,162.68533,14.72864598404036,7.786174726688883,0.20889920203523082,0.11043280482636741,161.0900038014625,0.0,143.60553,0.0,6.873009650488116,0.0,0.09748120995800791,0.0,101.8800017058482,350.34000000000003,95.13518,200.57773,4.5532019398490595,9.166778511639807,0.06457893366236042,0.12211628460461386,99.9399944926914,0.0,69.00149,0.0,3.302434393703184,0.0,0.04683905841486251,0.0
2025-12-03,362,221.80228,202.77689,331.52376819570463,276,362.9099999999948,359.4600000000001,10.597249575153537,9.380009694552994,0.1498989507649891,0.1310056578805787,138,36,0.8112437098655452,0.6521739130434783,6.746827125549316,5.400618076324463,0.9210497140884399,"{'model__learning_rate': 0.3, 'model__max_depth': 4, 'model__n_estimators': 20}",4.15951681137085,0.9254366159439088,-0.0005859573914477,1.9300038712663912,5.359999999999999,1.2561802,2.2475817,0.05013995197766194,0.08971136662321595,0.0003444892821056303,0.0006163668505010757,4.319999843726606,38.870000000000005,0.4897349,18.11999,0.015138719096202007,0.5601263788995166,0.00017750449006045027,0.006567593111685974,356.65999628500174,315.23,220.05637,182.40932,10.531970904079673,8.730171949030261,0.14937695699282302,0.12382169791839163,51.01000298213026,0.0,45.754406,0.0,2.189821247672873,0.0,0.031058653438635273,0.0,47.199999569497635,359.4600000000001,39.724407,202.77689,1.9012234794609528,9.380009694552994,0.026965416113633015,0.1310056578805787,264.69999744836684,0.0,136.32346,0.0,6.506205213165098,0.0,0.09187488639164765,0.0
2025-12-04,362,302.2137,222.36336,295.33412580571417,308,362.91000000000105,370.06000000000006,14.45989814869845,10.273664951439457,0.20506889466561004,0.13780270243340947,34,35,0.21288942116961107,0.7647058823529411,6.746827125549316,5.400618076324463,0.9210497140884399,"{'model__learning_rate': 0.3, 'model__max_depth': 4, 'model__n_estimators': 20}",4.106502056121826,0.9269267916679382,-0.0002025281752805,0.0,26.36,0.0,24.41913,0.0,0.9746801917309286,0.0,0.006696593560391814,2.160000080393006,25.39,0.24486756,10.307358,0.007569363233106896,0.3186217645033665,8.875228823765157e-05,0.0037359035114483278,360.74999991960806,318.31000000000006,301.9688,187.63687,14.452328785465344,8.980362995205162,0.2049801423773724,0.12737020536156934,127.02000107346423,0.0,104.8833,0.0,5.01975002583629,0.0,0.07119607436758234,0.0,121.88999953885576,370.06000000000006,114.84244,222.36336,5.496397668067193,10.273664951439457,0.07795645900999298,0.13780270243340947,113.99999938768111,0.0,82.48794,0.0,3.9437504547949698,0.0,0.05591636128803476,0.0
2025-12-05,362,286.6728,192.39749,326.32441640236226,303,362.90999999999997,326.77000000000004,13.720256103090243,8.79043166921199,0.19459701555460399,0.11667471845293537,37,38,0.36514571859712164,0.4864864864864865,6.746827125549316,5.400618076324463,0.9210497140884399,"{'model__learning_rate': 0.3, 'model__max_depth': 4, 'model__n_estimators': 20}",4.132736206054688,0.9270790815353394,-0.0007608238610768,0.0,28.03,0.0,23.916004,0.0,0.954598179815966,0.0,0.006558618999289237,0.0,35.6,0.0,13.437788,0.0,0.4153898423516249,0.0,0.0048705284558331115,362.90999999999997,263.14,286.6728,155.0437,13.720256103090243,7.420443647044399,0.19459701555460399,0.10524557099781301,197.8799951981342,0.0,166.30563,0.0,7.959443515464586,0.0,0.11289030918570066,0.0,43.37999932021533,326.77000000000004,32.792927,192.39749,1.5694804975321224,8.79043166921199,0.022260241973334337,0.11667471845293537,121.65000548165038,0.0,87.57421,0.0,4.191331542375456,0.0,0.05944645662717877,0.0
2025-12-06,362,293.04422,220.87614,319.6567027620543,309,362.90999999999855,443.0,14.025193397054789,10.118279448051393,0.19892199949739148,0.138754128058525,58,36,0.09907107253816973,0.7758620689655172,6.746827125549316,5.400618076324463,0.9210497140884399,"{'model__learning_rate': 0.3, 'model__max_depth': 4, 'model__n_estimators': 20}",4.099801540374756,0.928015947341919,-0.0002305011715813,0.0,17.62,0.0,10.633077,0.0,0.42441519729347765,0.0,0.0029159678233335097,0.0,56.529999999999994,0.0,21.739067,0.0,0.6719995612202285,0.0,0.007879328407987211,362.90999999999855,368.84999999999997,293.04422,188.504,14.025193397054789,9.021864689537686,0.19892199949739148,0.12795883182720427,175.160006028637,0.0,147.62274,0.0,7.065274032557441,0.0,0.10020813244888721,0.0,96.04000229532909,443.0,90.53026,220.87614,4.332808582934971,10.118279448051393,0.061453052543138285,0.138754128058525,91.70999167603237,0.0,54.8912,0.0,2.6271113292804547,0.0,0.037260822273756246,0.0
2025-12-07,362,310.66705,189.07526,315.2155188788989,304,362.90999999999997,355.98,14.868629579969319,8.735060791833856,0.210884616140456,0.11990217385456696,36,34,0.009537942143191086,0.5833333333333334,6.746827125549316,5.400618076324463,0.9210497140884399,"{'model__learning_rate': 0.3, 'model__max_depth': 4, 'model__n_estimators': 20}",4.0827956199646,0.9286977648735046,-0.0007494673951546,0.0,14.9,0.0,10.069901,0.0,0.4019362740535168,0.0,0.002761525151890752,0.0,34.54,0.0,13.814517,0.0,0.427035315892268,0.0,0.005007073947509677,362.90999999999997,306.54,310.66705,165.19086,14.868629579969319,7.906089201888071,0.210884616140456,0.11213357475516653,194.17999470987584,0.0,164.38095,0.0,7.867327558535428,0.0,0.11158381095646328,0.0,101.83999819052721,355.98,94.60728,189.07526,4.52793606997941,8.735060791833856,0.064220582999291,0.11990217385456696,66.89000709959687,0.0,51.678833,0.0,2.4733661340271724,0.0,0.03508022477416511,0.0
2025-12-08,362,247.42535,193.11932,338.68470396909674,310,362.9100000000003,355.0,11.841860600326344,8.9422224282209,0.16795537299906046,0.12224838952964642,139,35,3.864435477697003,0.8489208633093526,6.746827125549316,5.400618076324463,0.9210497140884399,"{'model__learning_rate': 0.3, 'model__max_depth': 4, 'model__n_estimators': 20}",4.187910556793213,0.9274649024009703,-0.0004316672673219,0.0,16.560000000000002,0.0,12.61817,0.0,0.5036494314778514,0.0,0.003460350962442314,0.0,30.819999999999993,0.0,11.816747,0.0,0.365280070948119,0.0,0.004282981427349271,362.9100000000003,307.62,247.42535,168.68442,11.841860600326344,8.07329292579493,0.16795537299906046,0.11450505713985484,210.18999827827622,0.0,160.30725,0.0,7.672359640024866,0.0,0.10881854369133526,0.0,21.049999887088337,355.0,16.485445,193.11932,0.7889989394081647,8.9422224282209,0.011190522810284514,0.12224838952964642,131.67000183463574,0.0,70.63264,0.0,3.380501381888886,0.0,0.04794629743431875,0.0
2025-12-09,362,302.79712,207.37494,332.70600077827197,323,362.90999168993994,362.77,14.491971889780864,9.495582772425738,0.20554240810544305,0.1279590757110623,50,36,1.9051902401916427,0.56,6.746827125549316,5.400618076324463,0.9210497140884399,"{'model__learning_rate': 0.3, 'model__max_depth': 4, 'model__n_estimators': 20}",4.219644069671631,0.9274007081985474,-0.0003688551854496,0.0,22.08,0.0,18.704853,0.0,0.7465970714712206,0.0,0.00512953600928598,0.0,37.0,0.0,16.569756,0.0,0.5122055009959631,0.0,0.0060057112945081014,362.90999168993994,303.69,302.79712,172.10034,14.491971889780864,8.236780199958554,0.20554240810544305,0.11682382840726821,275.3999920122293,0.0,234.31961,0.0,11.214615316073312,0.0,0.15905903320633258,0.0,43.820000017481334,362.77,38.02735,207.37494,1.8200018177090627,9.495582772425738,0.02581343375582969,0.1279590757110623,43.68999966022928,0.0,30.450169,0.0,1.4573553037165707,0.0,0.020669948911671045,0.0
2025-12-10,362,79.53093,174.3934,489.2249118882012,285,362.69999436780313,347.52,3.8063770187162094,8.03741446911982,0.053986573016736455,0.10956146782748338,587,38,0.4492706066742378,0.979557069846678,6.746827125549316,5.400618076324463,0.9210497140884399,"{'model__learning_rate': 0.3, 'model__max_depth': 4, 'model__n_estimators': 20}",4.227361679077148,0.927716076374054,5.019315826346432e-05,0.0,18.4,0.0,11.897785,0.0,0.47489555517791304,0.0,0.003262795882837674,44.51999950874414,34.55,0.0,12.6606865,0.0,0.39136805542175523,0.0,0.004588868230008785,318.17999485905904,294.57,79.53093,149.83495,3.8063770187162094,7.171150858520152,0.053986573016736455,0.10170980371463692,33.41999962976596,0.0,0.9436315,0.0,0.045162519310988816,0.0,0.0006405486462359943,0.0,23.090000152260153,347.52,16.485445,174.3934,0.7889989394081647,8.03741446911982,0.011190522810284514,0.10956146782748338,306.189994585777,0.0,62.101852,0.0,2.9722155286173737,0.0,0.042155501115151914,0.0
