Keyword,Region,Match type,Cost,Clicks,t_Clicks_ActCost
mit professional development,USA,Broad match,107.03,77,270.7044
generative ai course,USA,Broad match,8.040000000000001,6,270.7044
online ai and ml courses,USA,Phrase match,26.7,15,270.7044
mit xpro ai,USA,Broad match,73.16,59,270.7044
mit artificial intelligence course,USA,Phrase match,14.4,12,270.7044
generative ai fundamentals course,USA,Broad match,4.08,3,270.7044
generative ai online course,USA,Broad match,11.69,7,270.7044
generative ai online program,USA,Broad match,3.45,3,270.7044
generative ai certificate program,USA,Broad match,4.18,2,270.7044
generative ai foundations course,USA,Broad match,27.14,23,270.7044
mit generative ai certificate,USA,Broad match,6.5,5,270.7044
online course generative ai,USA,Broad match,5.56,4,270.7044
professional certificate in ai,USA,Phrase match,0.82,1,270.7044
mit xpro ai course,USA,Phrase match,0.81,1,270.7044
prompt engineering course,USA,Phrase match,1.14,1,270.7044
mit professional development,A,Broad match,2.0,2,270.7044
generative ai course,A,Broad match,2.28,3,270.7044
generative ai courses,A,Broad match,0.78,1,270.7044
online ai and ml courses,A,Phrase match,0.94,1,270.7044
mit xpro ai,A,Broad match,11.68,16,270.7044
generative ai fundamentals course,A,Broad match,0.37,1,270.7044
generative ai online course,A,Broad match,2.24,2,270.7044
generative ai online program,A,Broad match,11.83,13,270.7044
generative ai certificate program,A,Broad match,1.34,2,270.7044
generative ai foundations course,A,Broad match,2.08,4,270.7044
mit professional development,B,Broad match,1.47,7,270.7044
generative ai online course,B,Broad match,0.31,1,270.7044
online ai and ml courses,B,Phrase match,0.7,2,270.7044
generative ai online program,B,Broad match,0.24,1,270.7044
online course generative ai,B,Broad match,16.8,42,270.7044
mit ai course,USA,Phrase match,5.65,5,270.7044
