Keyword,Region,Match type,Cost,Clicks,t_Clicks_ActCost
mit professional development,USA,Broad match,100.87,77,225.44159
generative ai course,USA,Broad match,23.28,12,225.44159
online ai and ml courses,USA,Phrase match,25.2,20,225.44159
mit xpro ai,USA,Broad match,73.75,59,225.44159
mit artificial intelligence course,USA,Phrase match,3.03,3,225.44159
generative ai certificate course,USA,Broad match,4.47,3,225.44159
generative ai fundamentals course,USA,Broad match,4.5,3,225.44159
generative ai online program,USA,Broad match,2.66,2,225.44159
generative ai certificate program,USA,Broad match,4.84,2,225.44159
generative ai foundations course,USA,Broad match,31.68,24,225.44159
mit generative ai certificate,USA,Broad match,11.4,12,225.44159
online course generative ai,USA,Broad match,2.1,2,225.44159
prompt engineering course,USA,Phrase match,1.44,1,225.44159
professional ai certificate,USA,Phrase match,0.8,1,225.44159
mit professional development,A,Broad match,5.75,5,225.44159
generative ai course,A,Broad match,1.46,2,225.44159
generative ai courses,A,Broad match,2.47,1,225.44159
online ai and ml courses,A,Phrase match,1.28,2,225.44159
mit xpro ai,A,Broad match,6.300000000000001,6,225.44159
generative ai fundamentals course,A,Broad match,1.84,2,225.44159
generative ai online program,A,Broad match,8.36,11,225.44159
generative ai foundations course,A,Broad match,6.35,5,225.44159
online course generative ai,A,Broad match,0.73,1,225.44159
mit professional development,B,Broad match,1.14,6,225.44159
generative ai course,B,Broad match,1.0499999999999998,3,225.44159
generative ai courses,B,Broad match,0.76,2,225.44159
generative ai online course,B,Broad match,1.06,2,225.44159
online ai and ml courses,B,Phrase match,0.82,2,225.44159
generative ai online program,B,Broad match,4.07,11,225.44159
mit generative ai certificate,B,Broad match,0.52,2,225.44159
generative ai certification online,B,Broad match,1.08,2,225.44159
online course generative ai,B,Broad match,4.4,8,225.44159
ai certification mit,USA,Exact match,6.51,3,225.44159
mit ai course,USA,Phrase match,10.01,7,225.44159
