lambda,profit_old,profit_new,profit_total,actual_profit,actual_cost,actual_revenue,actual_clicks,observed_clicks_total,replay_clicks_total,profit_improvement,cost_change,budget
0.0,350.2529073198232,361.806859629614,712.0597669494373,11345.45,1054.55,12400.0,967.0,967.0,48.83150701287202,-10633.390233050563,-1038.9214451906025,1054.55
10.0,352.3156627552146,392.8954535593908,745.2111163146054,11345.45,1054.55,12400.0,967.0,967.0,64.44023347223916,-10600.238883685393,-672.0727945296412,1054.55
100.0,353.7197652944276,4947.28459976981,5301.004365064237,11345.45,1054.55,12400.0,967.0,967.0,302.3269459817245,-6044.445634935762,807.9229657147607,1054.55
