Feature,Importance
Feature_68,0.1520098
Feature_65,0.108243406
Feature_67,0.08482678
Feature_11,0.07680517
Feature_38,0.049461935
Feature_4,0.046092357
Feature_16,0.04285891
Feature_44,0.042101678
Feature_6,0.03370763
Feature_39,0.033068843
Feature_30,0.021246638
Feature_22,0.019501437
Feature_63,0.019467805
Feature_61,0.018846719
Feature_21,0.018301966
Feature_2,0.017409628
Feature_83,0.016262857
Feature_66,0.015945178
Feature_13,0.014709016
Feature_62,0.013663058
Feature_18,0.013006302
Feature_52,0.012962786
Feature_15,0.012768213
Feature_33,0.011476016
Feature_5,0.011048289
Feature_74,0.009916655
Feature_9,0.009026837
Feature_59,0.0081176795
Feature_26,0.007063311
Feature_0,0.0068553006
Feature_3,0.006243262
Feature_57,0.0053769583
Feature_12,0.0049162367
Feature_86,0.0040769167
Feature_36,0.0040295254
Feature_42,0.0037037793
Feature_47,0.0036900244
Feature_32,0.0033753163
Feature_64,0.0030511268
Feature_58,0.002372379
Feature_19,0.0020992302
Feature_17,0.0019042764
Feature_43,0.0017748474
Feature_49,0.001347259
Feature_40,0.001272831
Feature_69,0.0012436301
Feature_56,0.0011176374
Feature_37,0.0011101875
Feature_7,0.00030541536
Feature_14,0.0002169799
Feature_10,0.0
Feature_70,0.0
Feature_71,0.0
Feature_85,0.0
Feature_72,0.0
Feature_8,0.0
Feature_73,0.0
Feature_82,0.0
Feature_75,0.0
Feature_76,0.0
Feature_77,0.0
Feature_79,0.0
Feature_84,0.0
Feature_80,0.0
Feature_81,0.0
Feature_78,0.0
Feature_34,0.0
Feature_20,0.0
Feature_23,0.0
Feature_31,0.0
Feature_41,0.0
Feature_1,0.0
Feature_29,0.0
Feature_45,0.0
Feature_46,0.0
Feature_48,0.0
Feature_50,0.0
Feature_51,0.0
Feature_28,0.0
Feature_53,0.0
Feature_54,0.0
Feature_55,0.0
Feature_27,0.0
Feature_25,0.0
Feature_35,0.0
Feature_24,0.0
Feature_60,0.0
