Budget,Spend New,Clicks New,Conv New,Purch New,Spend Existing,Clicks Existing,Conv Existing,Purch Existing,Spend Existing searches,Clicks Existing searches,Conv Existing searches,Purch Existing searches
Actual,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
362,0.16637246546015771,0.1488598242668878,0.15303081550626732,0.17678901489497764,0.21584266036502,0.2388157309006562,0.23447158146211472,0.27153644346234324,0.6177848741748223,0.6123244144834357,0.6124976080751612,0.5516745477337678
