Budget,Spend USA,Conv USA,Clicks USA,Purch USA,Spend A,Conv A,Clicks A,Purch A,Spend B,Conv B,Clicks B,Purch B
Actual,0.846740219546355,0.8824109836198327,0.8480791730860819,0.9229197472584828,0.10205299848636662,0.04889288755293894,0.07275432874138393,0.04227513229735293,0.05120678196727846,0.06869612882722795,0.07916651270398134,0.034805120444163555
300,0.4005351426496729,0.29699255566069255,0.24774230449760848,0.42719011930384604,0.30098415385531807,0.16852579125075084,0.21765499496562826,0.2003956387701296,0.2984807034950092,0.5344816530885568,0.5346027378984552,0.3724142419260234
350,0.382555066704902,0.2861189411951696,0.23810558941785667,0.4144909732800308,0.3095776590481242,0.1704914753770285,0.21967129205483554,0.20418197109657718,0.30786727424697347,0.5433895834278019,0.5422231393227208,0.3813270556233914
400,0.3773893748660142,0.28980640453804407,0.24132042498909687,0.4186760406464862,0.312769997440643,0.1705093864809858,0.21982750886880129,0.20364074470717478,0.3098406276933432,0.5396842089809704,0.5388520731027925,0.3776832146463384
450,0.3670643303574527,0.2879163027042271,0.23924517462639389,0.4152714840903226,0.31777971409891376,0.176638622532801,0.22725333104329964,0.21061911223198565,0.31515595554363357,0.5354450747629717,0.533501470264076,0.3741094036776913
500,0.3680775676553097,0.29182524874929894,0.2429602782962085,0.4205994490277929,0.31641498918129124,0.17224364984120952,0.222025720016575,0.2052273842848827,0.31550744316339896,0.5359311014094917,0.5350139690528071,0.37417316668732403
550,0.35973560578672575,0.2846259908607295,0.2363960966755844,0.4115733261156552,0.3214389323723475,0.17643918672832612,0.22688639240687358,0.21091815688357307,0.3188254618409267,0.5389348224109446,0.5367174805298888,0.37750851700077115
