Budget,Spend New,Clicks New,Conv New,Purch New,Spend Existing,Clicks Existing,Conv Existing,Purch Existing,Spend Existing searches,Clicks Existing searches,Conv Existing searches,Purch Existing searches
Actual,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
300,0.4553948540603158,0.5108162187763549,0.509384090964309,0.4842024316076779,0.25334300026803347,0.281451505972259,0.28469921822015126,0.30913705416908066,0.2912621456716508,0.2077323032768464,0.20591668244217676,0.20666050633228625
350,0.4727683203173,0.5385030964577516,0.5360286827521785,0.5018444971269319,0.24638274151752135,0.26112942109979925,0.26347110914438177,0.29316442848969543,0.2808489381651786,0.2003675153243117,0.2005002079432978,0.204991075168632
400,0.47123765494558706,0.5405573046088963,0.5342974051465401,0.49407486462699757,0.23182759522653637,0.24405602238293175,0.24892681425088498,0.2778554513918697,0.2969347498278771,0.21538669456340648,0.216775785249653,0.2280696893491018
450,0.4730912712383536,0.5401332345176397,0.5365993494575336,0.4957376296082307,0.23974277102625818,0.24663578334165784,0.25091320576205345,0.2848166329176408,0.2871659577353882,0.21323097509894823,0.21248745030450833,0.21944574296882075
500,0.47443639416142463,0.5404282794982255,0.5359866855320949,0.4932442645488175,0.23372214996317411,0.2377632732062397,0.24163387339686318,0.27540501855029587,0.29184145587540133,0.2218084331098625,0.2223794453290807,0.23135072183262242
550,0.5021700710654348,0.5708581376778398,0.5665215654759673,0.5239743249561223,0.22228380349937074,0.2233274870429292,0.2266662560598971,0.25968449661805404,0.27554612543519436,0.205814351123793,0.20681217706526842,0.21634117803004435
