Keyword,Region,Match type,Cost,Clicks,t_Clicks_ActCost
mit professional development,USA,Broad match,100.87,77,70.23483
generative ai course,USA,Broad match,23.28,12,10.131338
online ai and ml courses,USA,Phrase match,25.2,20,18.277882
mit xpro ai,USA,Broad match,73.75,59,55.51106
mit artificial intelligence course,USA,Phrase match,3.03,3,0.9809797
generative ai certificate course,USA,Broad match,4.47,3,1.5144467
generative ai fundamentals course,USA,Broad match,4.5,3,1.4516937
generative ai online program,USA,Broad match,2.66,2,0.19246507
generative ai certificate program,USA,Broad match,4.84,2,1.2437918
generative ai foundations course,USA,Broad match,31.68,24,21.197792
mit generative ai certificate,USA,Broad match,11.4,12,10.514216
online course generative ai,USA,Broad match,2.1,2,0.19246483
prompt engineering course,USA,Phrase match,1.44,1,0.0
professional ai certificate,USA,Phrase match,0.8,1,0.0
mit professional development,A,Broad match,5.75,5,0.84697247
generative ai course,A,Broad match,1.46,2,0.19246507
generative ai courses,A,Broad match,2.47,1,0.025322795
online ai and ml courses,A,Phrase match,1.28,2,0.19246471
mit xpro ai,A,Broad match,6.300000000000001,6,3.1180286
generative ai fundamentals course,A,Broad match,1.84,2,0.10351288
generative ai online program,A,Broad match,8.36,11,8.722124
generative ai foundations course,A,Broad match,6.35,5,2.598673
online course generative ai,A,Broad match,0.73,1,0.0
mit professional development,B,Broad match,1.14,6,0.19246435
generative ai course,B,Broad match,1.0499999999999998,3,0.15916276
generative ai courses,B,Broad match,0.76,2,0.0
generative ai online course,B,Broad match,1.06,2,0.15916324
online ai and ml courses,B,Phrase match,0.82,2,0.0
generative ai online program,B,Broad match,4.07,11,5.517918
mit generative ai certificate,B,Broad match,0.52,2,0.0
generative ai certification online,B,Broad match,1.08,2,0.15916324
online course generative ai,B,Broad match,4.4,8,5.149924
ai certification mit,USA,Exact match,6.51,3,1.7281183
mit ai course,USA,Phrase match,10.01,7,5.133162
