Keyword,bert_0,bert_1,bert_2,bert_3,bert_4,bert_5,bert_6,bert_7,bert_8,bert_9,bert_10,bert_11,bert_12,bert_13,bert_14,bert_15,bert_16,bert_17,bert_18,bert_19,bert_20,bert_21,bert_22,bert_23,bert_24,bert_25,bert_26,bert_27,bert_28,bert_29,bert_30,bert_31,bert_32,bert_33,bert_34,bert_35,bert_36,bert_37,bert_38,bert_39,bert_40,bert_41,bert_42,bert_43,bert_44,bert_45,bert_46,bert_47,bert_48,bert_49
ai classes,0.7264276,-0.0135916,0.37298343,-0.21945202,0.018788368,-0.15092926,-0.021784296,-0.07523839,-0.081968985,0.06971412,0.08545768,-0.12950718,-0.15305132,-0.048875682,-0.117786385,-0.05645082,-0.060943373,-0.036140505,0.019642333,-0.17940384,0.043292314,0.023880204,-0.009785538,0.030756554,0.028198319,-0.13229787,-0.007090437,-0.099196,0.0328495,0.16206399,-0.100433275,-0.037045013,-0.23178153,0.0070173945,0.039399024,-0.028696813,-0.072970144,-0.0037600643,-0.022402931,0.042137433,0.044777706,0.014617592,0.006434366,0.030128844,-0.007911651,-0.043604717,-0.0013193933,0.006926542,-0.0015651267,-0.005424997
ai machine learning courses,0.8629199,-0.024153735,0.25166413,-0.20467806,0.23277256,-0.028670771,-0.12227807,-0.052373193,-0.14077592,-0.02104282,0.0033744427,-0.10493245,-0.019414702,0.0505075,-0.018505702,-0.0044325776,-0.028361036,0.021234488,-0.04558324,0.015589937,0.062087856,0.04457956,0.045837224,0.039361663,0.027711896,0.0006389836,0.00402932,-0.055309597,-0.06864312,-0.0072686854,0.018664315,-0.016457766,0.05284455,0.025121203,0.0051743644,0.033916168,0.031071428,-0.044977773,0.01316488,-0.01721559,0.02263513,-0.06092256,0.051363192,-0.05037391,0.028119681,-0.0042839698,0.03164056,0.01436778,-0.008719617,-0.02091216
ai certification online,0.7816717,-0.40547046,0.10702648,-0.16198799,-0.01894017,0.027193801,0.17902812,-0.08328762,0.24180675,-0.056576386,0.022736615,0.20369044,-0.064246856,0.013413282,0.04048558,-0.001096433,-0.086783774,0.043163866,0.00782205,0.025898952,-0.047611527,0.019775774,0.031684782,-0.012246526,-0.005410555,-0.025257459,0.005045749,0.057732712,0.01109387,-0.01934184,0.013853877,0.058759574,-0.0070794183,-0.040629856,-0.015028621,0.046819877,0.0013283461,0.051997665,-0.0038046823,-0.02108016,0.0055130147,0.023701763,0.01879569,-0.00021476983,-0.022358574,-0.02522226,0.031509902,-0.011702109,-0.06482527,-0.0193217
ai learning courses,0.78089476,-0.18181364,0.45660627,-0.17645423,0.12551245,-0.06586126,-0.08106725,-0.03107936,-0.107079715,0.009337644,0.0670051,-0.13042238,-0.058201898,0.051041678,-0.033954494,-0.08240089,0.0069766506,-0.01655841,0.031796873,-0.002358716,0.043010224,0.041255794,0.03471444,0.068263315,-0.0133702215,-0.021254871,-0.07641502,-0.008079165,-0.0072558383,-0.044727918,0.071300246,0.016003013,0.08696965,0.004591663,0.03679446,-0.028253641,0.005898454,-0.054349717,-0.009918582,-0.009939819,-0.0006544605,-0.004940983,-0.00827814,-0.03170053,0.05178874,-0.0043025785,-0.004643662,-0.009326379,-0.020425258,0.03118666
ai learning,0.6404581,0.1342403,0.26061583,-0.36620793,-0.050594922,-0.3386163,0.03149558,-0.015069297,0.021678494,0.0031942795,0.10357041,-0.18203911,-0.09740887,-0.055468354,0.022775076,-0.18784316,0.023591358,-0.005216024,0.10507655,-0.19457161,-0.12828234,0.008173164,-0.020124257,-0.07732889,0.013039509,-0.05396021,-0.06864104,0.039377537,-0.06635087,-0.06786123,-0.02850923,0.074902125,0.13482091,-0.07535515,-0.102364585,-0.13816582,-0.011888601,-0.00435508,0.0139362365,0.031024938,-0.048721187,0.0023107387,0.020881662,0.03637631,-0.033434797,-0.010780653,0.02785616,0.012067146,-0.0033496707,-0.019969773
data science and machine learning course,0.74974185,0.09677687,-0.10571289,0.15396109,0.40526807,0.21848817,-0.2129568,-0.18093835,-0.15253419,-0.010501925,0.010598973,-0.10618333,0.05205009,0.09211056,0.015498968,0.027276134,-0.052402493,0.02357607,-0.005439959,-0.036094405,-0.008180307,-0.012792348,-0.023569638,-0.03859683,0.04767866,0.04650566,0.044141546,-9.3564784e-05,0.0058777817,0.05182756,0.03377255,0.034491062,-0.03148851,-0.02282879,-0.067905396,0.013017237,0.071592845,0.062800825,-0.020745061,0.0014350844,0.016238347,0.020125533,-0.027835961,0.07701491,-0.003037546,0.021636968,-0.066048086,-0.028664397,-0.092631675,-0.029566303
machine learning for scientific research,0.45564032,0.39967892,-0.23868324,-0.19192688,0.05959275,-0.106073976,0.05540392,-0.06572329,0.3868865,0.08367836,0.19078028,-0.26051453,0.22957659,0.098811224,-0.07064229,-0.004070669,0.00015801289,-0.21944284,0.16543877,0.18152589,0.058137543,-0.03043836,0.011398113,0.058252525,-0.10481276,-0.07640702,0.13110569,-0.018937696,0.019612635,0.0025842318,0.03418247,0.14051212,-0.002679584,-0.010392278,0.09279552,-0.015460011,-0.046811324,0.041860666,0.041148983,0.014861507,0.016729666,-0.024367845,0.0037200092,-0.002757076,0.012245361,-0.0021982817,-0.002249363,-0.013229208,0.006255763,-0.012403593
masters in machine learning,0.74693394,0.25923496,-0.15448385,-0.08720215,0.14729057,-0.15128838,-0.12944312,0.028439915,-0.08479233,0.038817637,-0.011423648,0.10578199,0.22979328,-0.037012354,0.088024914,-0.05364662,0.18654816,-0.059623033,-0.22733164,-0.039291866,0.03390609,0.01181357,0.035972737,-0.12131135,0.029959843,-0.07221889,-0.046648115,-0.020270877,0.06620884,0.024647038,-0.10603688,0.09257676,0.06590973,0.025586074,-0.09624413,0.12857799,-0.122665405,0.0001738722,0.018181525,-0.0054852194,0.043324716,0.029599084,0.043893598,-0.020468306,-0.002350877,-0.012344543,0.0021683266,-0.04830144,0.0048968717,0.015772656
artificial intelligence and machine learning course,0.8365767,-0.038786538,0.18586183,-0.011212881,0.25982225,0.08853314,-0.09715955,-0.031373683,-0.1092983,-0.014320161,-0.06394728,-0.14846282,0.05100665,0.16479571,0.017758172,0.1272905,-0.01053651,0.021937456,-0.05365897,-0.023875013,0.06920234,-0.106378116,-0.11928303,-0.038601793,-0.0023928308,0.09840188,0.15101974,0.053964328,-0.0011650429,0.022762345,0.012632179,-0.0047192136,0.040201586,-0.024352169,-0.017314479,-0.03707631,-0.009920342,-0.012454292,-0.06323445,0.05641904,0.0030684548,0.019099431,0.0069758063,0.065991685,0.0042140703,-0.0072163353,0.038847823,0.0028119935,0.06213921,0.010780194
mit ai certification,0.7886428,-0.37646943,-0.004806405,0.05708499,-0.28191397,-0.299642,0.04124835,-0.049766365,-0.008560897,-0.040784545,-0.0022719125,0.11592763,0.0438383,0.012588556,0.051369604,0.023119872,-0.043144986,-0.00578408,-0.040292427,0.101992905,-0.04832503,-0.02946403,0.036626562,-0.03148899,0.01783663,0.038381007,0.037071083,-0.02733547,-0.028879566,-0.033560183,-0.018022044,0.025319083,-0.047466993,-0.03962096,0.024764288,-0.022397526,-0.007983892,-0.040252984,-0.016006438,-0.0130074425,-0.025749326,-0.005556963,0.029940967,0.029869044,-0.03322422,0.0065932325,-0.033224758,-0.026557507,-0.0114757735,0.015603727
post graduate program in ai and machine learning,0.7122701,0.041788574,0.050906744,-0.05401594,0.1556323,-0.07532183,-0.18698454,0.09402002,0.14001462,0.21614614,-0.29096538,0.18792102,0.044250146,0.031124102,-0.065291524,-0.04779518,0.18377997,-0.19342811,0.15068671,-0.07883055,0.06858241,0.079444885,-0.08435885,-0.0069493623,0.08654882,0.090667695,-0.011998662,0.2076673,-0.08033946,-0.049146097,-0.07854653,0.029904906,-0.0792764,-0.031071074,0.020537898,0.0020678162,0.03320622,-0.07430131,0.005097833,-0.026124462,0.046689272,0.001682875,-0.065859176,-0.023344345,-0.011705637,-0.007845538,-0.0070096673,0.012389739,-0.004695077,-0.015633518
