Match type,Region,day_of_week,is_weekend,month,is_public_holiday,days_to_next_course_start,last_month_searches,three_month_avg,six_month_avg,mom_change,search_trend,Competition (indexed value),Top of page bid (low range),Top of page bid (high range),Cost,bert_0,bert_1,bert_2,bert_3,bert_4,bert_5,bert_6,bert_7,bert_8,bert_9,bert_10,bert_11,bert_12,bert_13,bert_14,bert_15,bert_16,bert_17,bert_18,bert_19,bert_20,bert_21,bert_22,bert_23,bert_24,bert_25,bert_26,bert_27,bert_28,bert_29,bert_30,bert_31,bert_32,bert_33,bert_34,bert_35,bert_36,bert_37,bert_38,bert_39,bert_40,bert_41,bert_42,bert_43,bert_44,bert_45,bert_46,bert_47,bert_48,bert_49,Clicks
Exact,A,Friday,0,May,0,150,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.86,0.60373133,-0.3726669,0.13083036,0.187328,-0.12544148,0.23073094,0.012411239,0.3349638,-0.02435225,0.21431361,-0.008569167,-0.30664018,0.055097528,-0.13634449,0.054681875,0.03224071,-0.17242272,0.11576641,0.021688234,0.10167139,-0.040556412,-0.006331975,-0.028811267,-0.060523324,-0.0029232427,-0.060065527,-0.008367168,0.033943325,-0.026746416,0.011219578,-0.0075965035,0.050395995,0.025008533,-0.010474839,-0.07120909,0.070753016,-0.03261279,-0.042412095,0.00040345927,-0.015656302,0.07298773,-0.044289738,-0.033336524,0.010496922,-0.021717543,0.015022121,-0.019480716,0.008703173,0.044947937,-0.053058583,1
Exact,A,Wednesday,0,Apr,0,12,2.3978952727983707,3.3402901693903906,3.6050342580648373,0.0,-0.3326208348943271,71.0,1.38366,8.469013,3.13,0.675168,0.30787954,-0.1581939,0.0023223392,-0.014245064,-0.27464607,0.039646838,0.12923248,-0.0038568834,-0.054266993,0.09473315,-0.055885315,-0.016149858,-0.26644215,0.084779486,0.20319648,0.037681013,0.042132143,-0.07858452,0.07915231,-0.024031373,0.018903714,0.045473848,0.21523829,0.3047037,-0.019113697,0.0123038115,0.07636929,-0.094642386,0.03171086,-0.03337186,-0.0017632239,0.045931965,-0.0028870923,0.038113892,-0.03641703,-0.0049956506,0.11488957,-0.024932802,0.029682407,0.010827621,0.0020325745,-0.015976436,-0.00907214,0.008890867,-0.0065207263,0.0023591393,-0.0103979735,-0.0029228807,-0.0083503425,1
Exact,A,Wednesday,0,Dec,0,40,7.550135342488429,7.2400535566739075,7.205471017593207,0.0,0.005928435270977045,27.0,0.484526,4.99073,1.19,0.8320953,0.22437687,-0.017916473,0.017022246,0.075130224,0.20862164,-0.22506513,0.059234034,-0.1914208,-0.12680003,-0.053076044,-0.024630364,-0.020783437,0.11436642,0.008576636,0.09145575,0.03662697,0.04952877,0.0051194285,-0.0042249924,-0.010266514,-0.03637437,0.061794076,-0.05572988,-0.012760206,0.015874678,0.0695967,-0.07803809,-0.004570795,-0.0043526394,-0.018990545,0.06916375,-0.046935238,-0.014261288,-0.051813018,-0.05344236,0.031486016,0.07068955,0.14182177,-0.0071549546,-0.0045835576,-0.02115143,-0.054898266,-0.045807656,-0.04517893,-0.0023572813,0.05505372,0.022813456,-0.03325666,0.011374816,1
Exact,USA,Thursday,0,Jan,0,25,3.044522437723423,2.3978952727983707,2.505666466952546,0.0,-0.09237530927500735,81.0,0.57729,10.508915,10.45,0.7461148,0.25028026,-0.2036595,0.2251805,-0.015222955,-0.30898026,0.092600614,0.17089154,-0.09575483,0.010154505,-0.07175877,0.07331163,-0.13532872,-0.017734008,-0.045667715,0.035140373,-0.02413025,0.0656023,0.05902936,0.05879307,0.07989824,-0.13956274,0.0022284146,0.08634803,0.007214065,0.06341345,0.0969431,-0.105443105,0.037836093,-0.057237588,-0.015987433,-0.011811383,-0.0049779513,0.01315778,-0.063374884,-0.093050756,-0.03115902,-0.086773954,0.0045863544,-0.0938379,0.054610107,0.024628459,-0.013778408,0.03324157,-0.00898593,-0.006113764,0.031115754,-0.043119278,0.018799467,0.0063757715,2
Exact,USA,Tuesday,0,Nov,0,83,7.550135342488429,7.157817667157551,7.361214601099165,-0.12769715337904053,-0.13774171052152154,27.0,0.484526,4.99073,23.73,0.8320953,0.22437687,-0.017916473,0.017022246,0.075130224,0.20862164,-0.22506513,0.059234034,-0.1914208,-0.12680003,-0.053076044,-0.024630364,-0.020783437,0.11436642,0.008576636,0.09145575,0.03662697,0.04952877,0.0051194285,-0.0042249924,-0.010266514,-0.03637437,0.061794076,-0.05572988,-0.012760206,0.015874678,0.0695967,-0.07803809,-0.004570795,-0.0043526394,-0.018990545,0.06916375,-0.046935238,-0.014261288,-0.051813018,-0.05344236,0.031486016,0.07068955,0.14182177,-0.0071549546,-0.0045835576,-0.02115143,-0.054898266,-0.045807656,-0.04517893,-0.0023572813,0.05505372,0.022813456,-0.03325666,0.011374816,1
Broad,B,Tuesday,0,Dec,0,41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27,0.5841614,0.53950286,-0.040710274,-0.14749026,-0.14757903,0.050823566,0.31352976,-0.18366724,-0.1379111,0.029977156,-0.25445473,-0.011532914,-0.1012621,0.08489995,-0.02063421,0.0066058445,-0.104342684,-0.030722218,-0.0073396913,0.12732649,-0.038638107,0.013000726,-0.07729628,-0.07596272,0.035125032,-0.030157845,-0.123769365,0.0026222742,0.007521298,-0.031716168,0.023220658,-0.03690986,-0.045894194,0.01997323,-0.0042061587,-0.019791797,0.00010514416,0.018719457,0.05355275,0.019486036,0.008428759,-0.0100106485,0.020704549,-0.0072787614,0.07880991,0.055880003,0.015778767,-0.04024762,-0.011781926,-0.06863284,1
Broad,B,Sunday,1,Jan,0,61,8.38958706681109,8.661218410958185,8.627778905775537,0.0,0.0057324866027387905,3.0,0.67,7.036381,2.81,0.5084635,0.3491036,0.17529514,0.16180158,-0.2585832,0.08840799,-0.18029824,-0.04569661,0.29411688,0.12890832,-0.020216858,-0.06411578,-0.041147273,0.15203618,-0.15160462,0.18148002,0.27220303,0.3213019,-0.10351721,-0.13320175,-0.09672115,-0.09374302,0.041920453,-0.07947014,0.015400539,-0.007557779,-0.06354566,-0.041018583,-0.022141354,-0.054250978,0.048646294,0.025516296,-0.010211929,0.011288991,0.11917046,-0.021349423,-0.030634768,-0.011044611,-0.006958171,-0.006486927,0.004957687,-0.044016644,-0.008814551,-0.005726534,-0.008377918,-0.01882916,-0.035447102,-0.01769128,0.007931026,-0.019970462,1
Exact,USA,Tuesday,0,Sep,0,13,2.3978952727983707,3.4339872044851467,3.350763092601099,0.0,0.004569564455745143,71.0,1.38366,8.469013,18.2,0.675168,0.30787954,-0.1581939,0.0023223392,-0.014245064,-0.27464607,0.039646838,0.12923248,-0.0038568834,-0.054266993,0.09473315,-0.055885315,-0.016149858,-0.26644215,0.084779486,0.20319648,0.037681013,0.042132143,-0.07858452,0.07915231,-0.024031373,0.018903714,0.045473848,0.21523829,0.3047037,-0.019113697,0.0123038115,0.07636929,-0.094642386,0.03171086,-0.03337186,-0.0017632239,0.045931965,-0.0028870923,0.038113892,-0.03641703,-0.0049956506,0.11488957,-0.024932802,0.029682407,0.010827621,0.0020325745,-0.015976436,-0.00907214,0.008890867,-0.0065207263,0.0023591393,-0.0103979735,-0.0029228807,-0.0083503425,2
Broad,A,Tuesday,0,Nov,0,90,11.010415172807951,11.010415172807951,11.010415172807951,0.0,-2.4694939242420226e-16,56.0,0.480678,5.268923,5.11,0.6404581,0.1342403,0.26061583,-0.36620793,-0.050594922,-0.3386163,0.03149558,-0.015069297,0.021678494,0.0031942795,0.10357041,-0.18203911,-0.09740887,-0.055468354,0.022775076,-0.18784316,0.023591358,-0.005216024,0.10507655,-0.19457161,-0.12828234,0.008173164,-0.020124257,-0.07732889,0.013039509,-0.05396021,-0.06864104,0.039377537,-0.06635087,-0.06786123,-0.02850923,0.074902125,0.13482091,-0.07535515,-0.102364585,-0.13816582,-0.011888601,-0.00435508,0.0139362365,0.031024938,-0.048721187,0.0023107387,0.020881662,0.03637631,-0.033434797,-0.010780653,0.02785616,0.012067146,-0.0033496707,-0.019969773,5
Phrase,B,Saturday,1,Apr,0,16,10.809748150372926,10.541461898383748,10.20710349066171,0.0,0.17212793590675943,66.0,0.527687,5.498622,2.42,0.7557319,-0.15936254,0.3859555,0.053041577,0.3125912,0.014231652,0.15231602,0.028169086,0.1370806,-0.12119023,0.02616198,-0.043045,-0.050391898,0.07776287,-0.015263765,0.10850171,-0.017088184,0.04905531,-0.011303119,-0.034591135,-0.040281165,-0.006206679,-0.05037119,-0.037611604,-0.04952378,0.02371219,0.08423765,0.12937942,0.03356076,0.05556525,-0.040388267,-0.048092317,0.029394913,0.036997885,-0.020720506,0.0037327695,-0.06857226,0.019874485,0.003577804,0.052809533,-0.07598825,0.04757842,-0.018029328,-0.048942327,0.06968591,0.025683705,-0.03661839,0.0002540525,0.01791037,0.0051530376,2
