Day,Keyword,Match type,Region,Cost,Clicks,day_of_week,is_weekend,month,is_public_holiday,days_to_next_course_start,Competition,Competition (indexed value),Top of page bid (low range),Top of page bid (high range),last_month_searches,three_month_avg,six_month_avg,mom_change,search_trend,bert_0,bert_1,bert_2,bert_3,bert_4,bert_5,bert_6,bert_7,bert_8,bert_9,bert_10,bert_11,bert_12,bert_13,bert_14,bert_15,bert_16,bert_17,bert_18,bert_19,bert_20,bert_21,bert_22,bert_23,bert_24,bert_25,bert_26,bert_27,bert_28,bert_29,bert_30,bert_31,bert_32,bert_33,bert_34,bert_35,bert_36,bert_37,bert_38,bert_39,bert_40,bert_41,bert_42,bert_43,bert_44,bert_45,bert_46,bert_47,bert_48,bert_49
2022-03-01,study machine learning,Broad match,A,4.3,6,Tuesday,0,Mar,0,42,Medium,62.0,2.83,8.47,3.044522437723423,3.573779635594727,3.573779635594727,-0.2795848622191617,-0.2795848622191621,-0.7765914,0.30665517,-0.006389209,0.1260416,-0.088500746,-0.15667363,-0.026364876,0.05931689,0.19258304,0.01126145,0.068200625,-0.13820617,-0.069713935,-0.053109117,0.108033806,0.059202157,0.1029093,-0.019784382,0.074018836,-0.026313545,0.042091135,-0.19190018,-0.03319228,-0.1789266,-0.034112554,-0.10488879,-0.011093472,0.00862037,0.06377198,-0.098188594,-0.05568245,0.079486266,0.054311603,-0.040408026,0.016197246,0.09399927,-0.029692497,-0.024388807,-0.041549876,0.026525846,0.009865328,-0.088070504,-0.017672997,0.02829034,0.022253973,-0.0034557085,-0.04895347,-0.06979001,0.036462706,-0.08069071
2022-03-01,machine learning course,Broad match,A,10.24,5,Tuesday,0,Mar,0,42,Medium,62.0,3.92,11.29,5.14166355650266,5.045211723440414,5.045211723440414,-0.19290366612449183,-0.19290366612449406,-0.89017254,0.047574047,0.18781307,0.2671367,0.04418126,-0.11064017,0.04420379,0.036123935,-0.046035174,0.046776965,-0.062471397,0.11496996,-0.11431158,0.029969,0.03878039,0.004243727,-0.0046815807,0.065737486,0.09684052,0.025231896,0.02852183,0.06239156,0.026451575,-0.048718974,0.014534269,-0.022889776,-0.028628318,0.018590894,-0.0012972223,-0.073406786,0.038337696,0.05011108,0.0029255908,0.055754323,-0.0030136965,0.022301948,0.037168536,-0.034383487,0.021280397,-0.034991056,0.0095304325,0.002508121,0.0074589546,-0.00090007717,0.00957085,-0.042822875,-0.02170797,-0.0038800335,-0.020208092,-0.0089047365
2022-03-01,data scientist machine learning,Broad match,A,0.38,1,Tuesday,0,Mar,0,42,Medium,47.0,3.62,10.92,5.771441123130016,6.680848381610565,6.680848381610565,-0.20041848865123058,-0.20041848865123058,-0.74939364,0.38627395,-0.0024973915,-0.0401725,-0.061862133,-0.11219939,0.03728133,-0.14325166,0.07393733,0.06290332,-0.21632072,-0.16258147,0.057656594,-0.15781565,0.06566864,0.09361743,-0.023030397,0.074501134,-0.08342851,-0.07785658,0.041496757,0.0007800762,0.06527997,-0.044606123,0.011693569,-0.033084672,0.13467087,-0.020289188,-0.067780256,0.07078225,-0.082525104,-0.06487662,-0.051376186,0.110449605,-0.027002497,0.07773204,0.038212765,0.07234546,-0.024097357,0.056713536,-0.02662652,-0.09023421,-0.050663814,-0.023226548,-0.01616208,-0.055477694,-0.012508874,-0.007211856,0.051117603,-0.08717094
2022-03-01,mit machine learning,Broad match,A,1.44,2,Tuesday,0,Mar,0,42,Low,12.0,3.38,7.59,3.044522437723423,2.9159412386417585,2.9159412386417585,-1.0360919316867756,-1.0360919316867756,-0.7634539,0.20176126,0.03101115,-0.09018777,-0.23263806,0.0337362,-0.2513075,-0.28433496,-0.10424403,-0.10452508,0.2915183,-0.020046428,-0.055687927,-0.020691253,0.0043821284,0.07539849,0.0520947,-0.068525456,-0.0065786582,-0.01937466,0.040037006,-0.017462818,0.0070947506,0.010916209,0.09111482,0.053504918,0.03706051,0.06385051,-0.011671342,-0.07452771,-0.003337839,0.10390931,-0.018196773,-0.0023679154,-0.024055397,0.059220206,-0.013208968,0.023111537,-0.019712606,0.0068167974,-0.023914127,0.016057018,-0.02064832,0.034082644,0.024670178,0.0022427358,0.00435589,-0.0021723441,0.004083791,-0.0025916132
2022-03-01,+study +machine +learning,Broad match,A,1.69,1,Tuesday,0,Mar,0,42,Medium,62.0,2.83,8.47,3.044522437723423,3.573779635594727,3.573779635594727,-0.2795848622191617,-0.2795848622191621,-0.66973823,0.04694508,0.034767188,0.15849794,-0.15835953,-0.2155021,0.00096871157,0.21472757,0.5555151,-0.031690676,0.09996733,0.01094105,0.11715794,0.013596617,-0.012585987,0.03760301,0.094417214,-0.04859677,-0.015749045,0.027978165,0.06447061,-0.07212677,-0.002172187,-0.09826112,-0.0010791131,0.033897128,0.04902442,0.023468787,-0.07293798,-0.06251003,0.023613753,0.05862444,0.025960146,-0.07150349,0.08151455,0.0033806742,-0.021011945,-0.0171722,-0.04819612,0.017811853,0.018041044,-0.03697222,0.005031764,0.040268566,-0.013237935,0.01763872,-0.03546384,0.0026741049,0.021810548,0.007316103
2022-03-01,+machine +learning +course,Broad match,A,0.98,1,Tuesday,0,Mar,0,42,Medium,62.0,3.92,11.29,5.14166355650266,5.045211723440414,5.045211723440414,-0.19290366612449183,-0.19290366612449406,-0.76950276,-0.08164468,0.13561,0.26495445,-0.027009003,-0.14109929,-0.04367231,0.22484668,0.3171399,-0.04625463,0.09414249,0.1485476,0.039699346,0.12923676,-0.026713224,0.0573528,-0.04907867,0.03404431,-0.04028691,0.0568684,0.10565738,0.16670883,0.018614518,-0.082554646,-0.000554315,0.023558334,0.067964554,0.033859126,-0.08949522,0.00094560406,0.049324438,0.0040831226,-0.040320475,-0.028342644,-0.007364746,-0.032235194,-0.04195767,-0.0042231632,0.007929659,-0.014195502,0.0019646145,0.020144986,0.027503148,0.01422536,-0.02932013,-0.0064697447,-0.030505141,-0.0058922865,-0.054402143,0.022289244
2022-03-01,''mit xpro machine learning'',Broad match,A,6.22,2,Tuesday,0,Mar,0,42,High,76.0,2.94,18.03,2.3978952727983707,3.239254821104285,3.239254821104285,-0.38946476676172326,-0.38946476676172326,-0.7285258,0.108673945,0.118280664,-0.08756735,-0.18463291,-0.111567385,-0.09649984,-0.115143314,-0.040295597,-0.13449402,0.285297,0.15050393,-0.01879248,-0.09242124,0.03666875,0.08595467,0.051132184,-0.10302764,-0.06541977,-0.08895997,-0.01267875,0.030765407,0.013929158,0.011921799,0.005713498,-0.0023459203,-0.080680706,0.15402474,-0.021647926,0.14495449,-0.004337793,-0.12969854,0.09573799,-0.10430125,-0.04008098,-0.07597372,0.06151274,-0.023197206,0.1800537,0.12936364,-0.0171282,0.03480681,-0.11291683,-0.12545063,0.0028523277,-0.09136349,0.024548013,-0.012338481,-0.06403483,-0.07568193
2022-03-01,learning online courses,Phrase match,A,8.5,8,Tuesday,0,Mar,0,42,Medium,36.0,2.44,16.48,6.90875477931522,6.90875477931522,6.90875477931522,0.0,-1.7763568394002505e-15,-0.44997442,-0.28197834,0.15501389,0.5577746,0.14633381,-0.0942768,-0.13062674,0.17982,0.057879105,-0.2007263,0.1296024,-0.26610073,-0.07881177,-0.0102444505,-0.012852897,-0.10267069,-0.02917744,-0.0575638,-0.17362352,-0.009980709,0.0335392,-0.06672053,-0.10785906,0.0056794737,0.08270165,-0.038756326,-0.10064148,0.03429988,0.09600147,0.08098363,-0.06610805,0.064285986,0.059588138,0.09241559,-0.0030623758,-0.053442817,-0.04622751,0.045302115,-0.009290471,-0.057451077,-0.07977251,0.045758173,-0.034555454,0.012382118,-0.054292254,0.050302945,0.07301343,-0.11781122,-0.030224044,0.037184004
2022-03-01,machine learning certification,Phrase match,A,1.79,1,Tuesday,0,Mar,0,42,High,80.0,3.48,11.2,4.51085950651685,4.2626798770413155,4.2626798770413155,0.0,-8.881784197001252e-16,-0.7960436,0.07376633,0.46080226,-0.22430944,0.11788255,0.07668464,0.11506923,0.13053112,-0.04412561,0.036272652,-0.064739354,-0.028022716,0.0029353276,0.0006902706,-0.037046444,0.01888279,-0.022248728,0.027306272,0.024644183,0.0042700274,0.009329829,-0.05206209,0.030135285,0.004097525,0.06587616,-0.02035686,-0.020611234,0.0154319815,0.01395641,-0.04450454,-0.027210813,0.051315702,-0.015830318,-0.0072143003,-0.11463834,0.011944038,0.021372858,0.0347806,-0.012343212,0.0149075175,-0.049794503,-0.015926205,0.022965452,-0.0034438318,0.032029208,-0.035158865,0.0007979167,0.00021992488,-0.021609232,0.0010392701
2022-03-01,+machine +learning +certificate,Broad match,A,0.6,1,Tuesday,0,Mar,0,42,High,80.0,3.48,11.2,4.51085950651685,4.2626798770413155,4.2626798770413155,0.0,-8.881784197001252e-16,-0.70247877,-0.06486986,0.42996386,-0.26983288,0.01568788,0.057031874,0.03773395,0.20942071,0.24125262,-0.15385494,0.1629747,0.009675028,0.0644454,0.052866414,-0.02772956,-0.028445387,-0.07767984,0.07948136,-0.016373152,0.06420785,-0.029618967,0.063550055,-0.0470362,-0.034458175,-0.064561605,0.013363983,0.110625505,-0.007553401,0.015169949,0.044771627,-0.044472083,-0.010856677,0.02350392,-0.002431045,0.14396149,-0.013242711,-0.032866385,0.0020153562,0.009971842,-0.07725916,-0.026803985,0.0125688575,0.016970973,-0.0030616126,-0.03210455,0.014101109,0.004931695,-0.033574108,-0.013941198,0.02029541
