Keyword,Region,Match type,Cost,Clicks,t_Clicks_ActCost
mit professional development,USA,Broad match,102.12,69,194.29182
generative ai course,USA,Broad match,5.6,4,194.29182
generative ai courses,USA,Broad match,0.6,1,194.29182
generative ai online course,USA,Broad match,4.89,3,194.29182
online ai and ml courses,USA,Phrase match,20.57,17,194.29182
mit xpro ai,USA,Broad match,103.66,71,194.29182
mit artificial intelligence course,USA,Phrase match,12.46,7,194.29182
generative ai certificate course,USA,Broad match,3.33,3,194.29182
generative ai fundamentals course,USA,Broad match,1.01,1,194.29182
generative ai online course,USA,Broad match,6.15,3,194.29182
generative ai online program,USA,Broad match,3.96,3,194.29182
generative ai certificate program,USA,Broad match,5.3100000000000005,3,194.29182
generative ai foundations course,USA,Broad match,11.48,7,194.29182
mit generative ai certificate,USA,Broad match,13.05,9,194.29182
online course generative ai,USA,Broad match,8.64,4,194.29182
professional certificate in ai,USA,Phrase match,2.62,1,194.29182
mit professional development,A,Broad match,1.12,2,194.29182
generative ai course,A,Broad match,6.44,7,194.29182
generative ai courses,A,Broad match,0.25,1,194.29182
online ai and ml courses,A,Phrase match,4.24,4,194.29182
mit xpro ai,A,Broad match,9.23,13,194.29182
generative ai fundamentals course,A,Broad match,1.59,3,194.29182
generative ai foundations course,A,Broad match,2.52,4,194.29182
mit professional development,B,Broad match,1.88,4,194.29182
generative ai course,B,Broad match,2.6,5,194.29182
generative ai online course,B,Broad match,2.46,6,194.29182
online ai and ml courses,B,Phrase match,0.92,4,194.29182
mit xpro ai,B,Broad match,0.6,5,194.29182
mit artificial intelligence course,B,Phrase match,1.54,2,194.29182
generative ai online program,B,Broad match,2.84,4,194.29182
mit generative ai certificate,B,Broad match,3.5,7,194.29182
generative ai certification online,B,Broad match,0.8999999999999999,3,194.29182
online course generative ai,B,Broad match,9.12,19,194.29182
mit ai course,USA,Phrase match,11.6,8,194.29182
stanford ai professional program,USA,Phrase match,1.26,1,194.29182
