Keyword,Region,Match type,Cost,Clicks,t_Clicks_ActCost
mit professional development,USA,Broad match,74.80000000000001,55,217.02365
generative ai course,USA,Broad match,9.17,7,217.02365
generative ai courses,USA,Broad match,1.11,1,217.02365
generative ai online course,USA,Broad match,2.64,1,217.02365
online ai and ml courses,USA,Phrase match,39.33,23,217.02365
mit xpro ai,USA,Broad match,93.98,74,217.02365
mit artificial intelligence course,USA,Phrase match,12.78,6,217.02365
generative ai certificate course,USA,Broad match,3.02,2,217.02365
generative ai fundamentals course,USA,Broad match,6.58,7,217.02365
generative ai online course,USA,Broad match,6.72,4,217.02365
generative ai online program,USA,Broad match,12.08,8,217.02365
generative ai certificate program,USA,Broad match,0.28,1,217.02365
generative ai foundations course,USA,Broad match,27.6,20,217.02365
mit generative ai certificate,USA,Broad match,7.64,4,217.02365
online course generative ai,USA,Broad match,1.2,1,217.02365
professional certificate in ai,USA,Phrase match,3.53,1,217.02365
online generative ai course,USA,Phrase match,1.09,1,217.02365
mit professional development,A,Broad match,3.1,2,217.02365
generative ai course,A,Broad match,2.88,3,217.02365
online ai and ml courses,A,Phrase match,3.12,3,217.02365
mit xpro ai,A,Broad match,10.56,11,217.02365
generative ai fundamentals course,A,Broad match,0.39,1,217.02365
generative ai online course,A,Broad match,0.23,1,217.02365
generative ai online program,A,Broad match,2.24,4,217.02365
generative ai certificate program,A,Broad match,3.33,3,217.02365
generative ai foundations course,A,Broad match,13.02,7,217.02365
mit professional development,B,Broad match,0.76,2,217.02365
generative ai course,B,Broad match,0.14,1,217.02365
online ai and ml courses,B,Phrase match,0.21,1,217.02365
generative ai online course,B,Broad match,0.33,1,217.02365
generative ai online program,B,Broad match,1.2,5,217.02365
mit generative ai certificate,B,Broad match,0.12,1,217.02365
generative ai certification online,B,Broad match,0.44,2,217.02365
online course generative ai,B,Broad match,2.16,6,217.02365
mit ai course,USA,Phrase match,8.95,5,217.02365
generative ai course mit,USA,Exact match,2.73,1,217.02365
