Location report
All time
Location,Campaign,Bid adj.,Clicks,Impr.,CTR,Currency code,Avg. CPC,Cost,Conv. rate,Conversions,Cost / conv.
Iceland,Program - MLx - Run 13 - Search - Lead Gen - B (exact + phrase), --,3,75,4.00%,USD,1.26,3.79,0.00%,0.00,0.00
Hong Kong,Program - MLx - Run 13 - Search - Lead Gen - B (exact + phrase), --,50,610,8.20%,USD,0.77,38.53,6.00%,3.00,12.84
South Africa,Program - MLx - Run 13 - Search - Lead Gen - B (exact + phrase), --,544,"9,906",5.49%,USD,0.76,413.36,2.03%,11.03,37.46
China,Program - MLx - Run 13 - Search - Lead Gen - B (exact + phrase), --,186,"2,895",6.42%,USD,0.71,132.14,3.76%,7.00,18.88
Qatar,Program - MLx - Run 13 - Search - Lead Gen - B (exact + phrase), --,31,343,9.04%,USD,0.87,27.12,0.00%,0.00,0.00
Taiwan,Program - MLx - Run 13 - Search - Lead Gen - B (exact + phrase), --,62,755,8.21%,USD,0.57,35.46,20.97%,13.00,2.73
Argentina,Program - MLx - Run 13 - Search - Lead Gen - B (exact + phrase), --,836,"51,369",1.63%,USD,0.40,331.28,2.63%,22.00,15.06
Indonesia,Program - MLx - Run 13 - Search - Lead Gen - B (exact + phrase), --,"4,876","73,505",6.63%,USD,0.43,2120.05,2.56%,125.04,16.96
Saudi Arabia,Program - MLx - Run 13 - Search - Lead Gen - B (exact + phrase), --,72,753,9.56%,USD,0.84,60.59,4.17%,3.00,20.20
Bolivia,Program - MLx - Run 13 - Search - Lead Gen - B (exact + phrase), --,237,"2,799",8.47%,USD,0.60,142.02,5.06%,12.00,11.84
Croatia,Program - MLx - Run 13 - Search - Lead Gen - B (exact + phrase), --,30,341,8.80%,USD,0.35,10.47,3.33%,1.00,10.47
Chile,Program - MLx - Run 13 - Search - Lead Gen - B (exact + phrase), --,115,"2,149",5.35%,USD,0.52,59.98,0.87%,1.00,59.98
Russia,Program - MLx - Run 13 - Search - Lead Gen - B (exact + phrase), --,16,173,9.25%,USD,0.46,7.43,0.00%,0.00,0.00
United Arab Emirates,Program - MLx - Run 13 - Search - Lead Gen - B (exact + phrase), --,21,276,7.61%,USD,1.23,25.82,9.52%,2.00,12.91
Poland,Program - MLx - Run 13 - Search - Lead Gen - B (exact + phrase), --,50,491,10.18%,USD,0.43,21.61,0.00%,0.00,0.00
Peru,Program - MLx - Run 13 - Search - Lead Gen - B (exact + phrase), --,636,"8,858",7.18%,USD,0.52,329.11,3.14%,20.00,16.46
Colombia,Program - MLx - Run 13 - Search - Lead Gen - B (exact + phrase), --,233,"3,699",6.30%,USD,0.55,127.05,3.00%,7.00,18.15
Thailand,Program - MLx - Run 13 - Search - Lead Gen - B (exact + phrase), --,668,"8,461",7.90%,USD,0.46,308.82,2.84%,18.99,16.27
Singapore,Program - MLx - Run 13 - Search - Lead Gen - B (exact + phrase), --,34,477,7.13%,USD,0.64,21.70,2.94%,1.00,21.70
Brazil,Program - MLx - Run 13 - Search - Lead Gen - B (exact + phrase), --,"1,247","28,886",4.32%,USD,0.45,562.05,3.05%,38.00,14.79
Portugal,Program - MLx - Run 13 - Search - Lead Gen - B (exact + phrase), --,5,55,9.09%,USD,0.71,3.54,0.00%,0.00,0.00
Greece,Program - MLx - Run 13 - Search - Lead Gen - B (exact + phrase), --,66,472,13.98%,USD,0.52,34.12,1.52%,1.00,34.12
Ghana,Program - MLx - Run 13 - Search - Lead Gen - B (exact + phrase), --,"1,215","15,242",7.97%,USD,0.76,928.84,3.05%,37.00,25.10
Russia,Program - MLx - Run 13 - Search - Lead Gen - B (broad), --,2,17,11.76%,USD,1.06,2.12,0.00%,0.00,0.00
Brazil,Program - MLx - Run 13 - Search - Lead Gen - B (broad), --,"1,015","15,364",6.61%,USD,0.30,303.27,1.58%,16.00,18.95
Bolivia,Program - MLx - Run 13 - Search - Lead Gen - B (broad), --,62,836,7.42%,USD,0.40,24.85,12.90%,8.00,3.11
China,Program - MLx - Run 13 - Search - Lead Gen - B (broad), --,19,281,6.76%,USD,0.44,8.41,0.00%,0.00,0.00
Greece,Program - MLx - Run 13 - Search - Lead Gen - B (broad), --,4,65,6.15%,USD,0.32,1.28,0.00%,0.00,0.00
Poland,Program - MLx - Run 13 - Search - Lead Gen - B (broad), --,7,83,8.43%,USD,0.25,1.77,0.00%,0.00,0.00
Portugal,Program - MLx - Run 13 - Search - Lead Gen - B (broad), --,1,17,5.88%,USD,0.15,0.15,0.00%,0.00,0.00
United Arab Emirates,Program - MLx - Run 13 - Search - Lead Gen - B (broad), --,1,45,2.22%,USD,0.91,0.91,0.00%,0.00,0.00
Saudi Arabia,Program - MLx - Run 13 - Search - Lead Gen - B (broad), --,18,278,6.47%,USD,0.59,10.62,5.56%,1.00,10.62
Hong Kong,Program - MLx - Run 13 - Search - Lead Gen - B (broad), --,5,87,5.75%,USD,0.37,1.85,0.00%,0.00,0.00
Argentina,Program - MLx - Run 13 - Search - Lead Gen - B (broad), --,288,"18,117",1.59%,USD,0.17,47.91,1.05%,3.02,15.84
Austria,Program - MLx - Run 13 - Search - Lead Gen - B (broad), --,1,8,12.50%,USD,0.36,0.36,0.00%,0.00,0.00
Indonesia,Program - MLx - Run 13 - Search - Lead Gen - B (broad), --,684,"11,830",5.78%,USD,0.33,228.10,2.78%,19.00,12.01
Ghana,Program - MLx - Run 13 - Search - Lead Gen - B (broad), --,537,"5,984",8.97%,USD,0.52,280.71,5.03%,27.00,10.40
Chile,Program - MLx - Run 13 - Search - Lead Gen - B (broad), --,48,615,7.80%,USD,0.35,16.60,2.08%,1.00,16.60
Croatia,Program - MLx - Run 13 - Search - Lead Gen - B (broad), --,5,29,17.24%,USD,0.18,0.92,0.00%,0.00,0.00
Taiwan,Program - MLx - Run 13 - Search - Lead Gen - B (broad), --,12,141,8.51%,USD,0.50,5.99,16.67%,2.00,3.00
Peru,Program - MLx - Run 13 - Search - Lead Gen - B (broad), --,162,"2,131",7.60%,USD,0.34,54.66,2.47%,4.00,13.67
Ecuador,Program - MLx - Run 13 - Search - Lead Gen - B (broad), --,54,737,7.33%,USD,0.34,18.43,5.56%,3.00,6.14
Colombia,Program - MLx - Run 13 - Search - Lead Gen - B (broad), --,47,913,5.15%,USD,0.37,17.27,10.64%,5.00,3.45
Morocco,Program - MLx - Run 13 - Search - Lead Gen - B (broad), --,839,"8,137",10.31%,USD,0.49,408.72,5.36%,45.00,9.08
Thailand,Program - MLx - Run 13 - Search - Lead Gen - B (broad), --,41,611,6.71%,USD,0.33,13.67,2.44%,1.00,13.67
Singapore,Program - MLx - Run 13 - Search - Lead Gen - B (broad), --,8,113,7.08%,USD,0.60,4.76,0.00%,0.00,0.00
South Africa,Program - MLx - Run 13 - Search - Lead Gen - B (broad), --,97,"1,413",6.86%,USD,0.44,43.08,3.09%,3.00,14.36
Qatar,Program - MLx - Run 13 - Search - Lead Gen - B (broad), --,2,34,5.88%,USD,0.77,1.53,0.00%,0.00,0.00
United States,Program - MLx - Run 13 - Search - Lead Gen - USA (phrase), --,"1,705","35,589",4.79%,USD,4.56,7770.39,3.37%,57.38,135.41
United States,Program - MLx - Run 13 - Search - Lead Gen - USA (broad), --,"2,636","58,644",4.49%,USD,3.71,9786.24,4.97%,131.14,74.62
Italy,Program - MLx - Run 13 - Search - Lead Gen - A (broad), --,217,"3,468",6.26%,USD,1.16,251.98,2.30%,5.00,50.40
United Kingdom,Program - MLx - Run 13 - Search - Lead Gen - A (broad), --,129,"1,717",7.51%,USD,1.50,193.49,6.20%,8.00,24.19
Japan,Program - MLx - Run 13 - Search - Lead Gen - A (broad), --,270,"4,202",6.43%,USD,1.59,429.63,1.85%,5.00,85.93
Luxembourg,Program - MLx - Run 13 - Search - Lead Gen - A (broad), --,11,160,6.88%,USD,1.17,12.84,0.00%,0.00,0.00
Switzerland,Program - MLx - Run 13 - Search - Lead Gen - A (broad), --,32,335,9.55%,USD,2.42,77.47,0.00%,0.00,0.00
Spain,Program - MLx - Run 13 - Search - Lead Gen - A (broad), --,105,"1,788",5.87%,USD,1.23,129.22,1.90%,2.00,64.61
Denmark,Program - MLx - Run 13 - Search - Lead Gen - A (broad), --,23,400,5.75%,USD,1.29,29.67,4.35%,1.00,29.67
Canada,Program - MLx - Run 13 - Search - Lead Gen - A (broad), --,139,"2,849",4.88%,USD,1.90,264.01,0.72%,1.00,264.01
Israel,Program - MLx - Run 13 - Search - Lead Gen - A (broad), --,303,"3,678",8.24%,USD,1.39,421.60,2.64%,8.00,52.70
Australia,Program - MLx - Run 13 - Search - Lead Gen - A (broad), --,109,"1,490",7.32%,USD,1.90,207.28,4.59%,5.00,41.46
Netherlands,Program - MLx - Run 13 - Search - Lead Gen - A (broad), --,92,"1,635",5.63%,USD,1.48,136.32,6.52%,6.00,22.72
Sweden,Program - MLx - Run 13 - Search - Lead Gen - A (broad), --,44,594,7.41%,USD,1.52,66.87,2.27%,1.00,66.87
South Korea,Program - MLx - Run 13 - Search - Lead Gen - A (broad), --,692,"9,800",7.06%,USD,1.21,835.09,3.18%,22.00,37.96
Germany,Program - MLx - Run 13 - Search - Lead Gen - A (broad), --,137,"2,461",5.57%,USD,1.28,176.04,3.65%,5.00,35.21
Belgium,Program - MLx - Run 13 - Search - Lead Gen - A (broad), --,25,520,4.81%,USD,1.63,40.65,4.00%,1.00,40.65
Norway,Program - MLx - Run 13 - Search - Lead Gen - A (broad), --,15,442,3.39%,USD,1.63,24.46,0.00%,0.00,0.00
Mexico,Program - MLx - Run 13 - Search - Lead Gen - A (broad), --,"1,465","25,223",5.81%,USD,0.99,1452.26,2.05%,30.00,48.41
France,Program - MLx - Run 13 - Search - Lead Gen - A (broad), --,270,"4,398",6.14%,USD,1.18,318.54,2.59%,7.00,45.51
United States,Program - MLx - Run 9 - Search - Lead Gen - US, --,"4,387","64,334",6.82%,USD,3.66,16052.33,2.17%,95.00,168.97
United States,Program - MLx - Run 13 - Search - Lead Gen - USA (testing KWs), --,382,"7,998",4.78%,USD,5.56,2124.02,6.14%,23.47,90.51
"Pennsylvania, United States",Machine Learning Program - xPRO - USA - Search Lead Gen - Run 7 - 2T2022, --,862,"50,357",1.71%,USD,2.89,2488.26,3.25%,28.00,88.87
"Vermont, United States",Machine Learning Program - xPRO - USA - Search Lead Gen - Run 7 - 2T2022, --,42,"2,535",1.66%,USD,3.03,127.43,4.76%,2.00,63.72
"Michigan, United States",Machine Learning Program - xPRO - USA - Search Lead Gen - Run 7 - 2T2022, --,707,"37,920",1.86%,USD,2.63,1861.03,3.54%,25.00,74.44
"New York, United States",Machine Learning Program - xPRO - USA - Search Lead Gen - Run 7 - 2T2022, --,"2,218","121,865",1.82%,USD,2.95,6543.61,2.98%,66.00,99.15
"Illinois, United States",Machine Learning Program - xPRO - USA - Search Lead Gen - Run 7 - 2T2022, --,"1,084","56,114",1.93%,USD,2.84,3073.92,1.94%,21.00,146.38
"West Virginia, United States",Machine Learning Program - xPRO - USA - Search Lead Gen - Run 7 - 2T2022, --,45,"3,266",1.38%,USD,2.60,116.78,0.00%,0.00,0.00
"Virginia, United States",Machine Learning Program - xPRO - USA - Search Lead Gen - Run 7 - 2T2022, --,"1,099","57,724",1.90%,USD,3.04,3344.84,2.37%,26.00,128.65
"Ohio, United States",Machine Learning Program - xPRO - USA - Search Lead Gen - Run 7 - 2T2022, --,615,"34,897",1.76%,USD,2.71,1667.11,1.46%,9.00,185.23
"New Mexico, United States",Machine Learning Program - xPRO - USA - Search Lead Gen - Run 7 - 2T2022, --,118,"6,116",1.93%,USD,2.69,316.83,1.69%,2.00,158.42
"Alabama, United States",Machine Learning Program - xPRO - USA - Search Lead Gen - Run 7 - 2T2022, --,192,"11,038",1.74%,USD,2.41,463.06,4.17%,8.00,57.88
"South Carolina, United States",Machine Learning Program - xPRO - USA - Search Lead Gen - Run 7 - 2T2022, --,189,"11,112",1.70%,USD,2.55,481.71,1.59%,3.00,160.57
"Wisconsin, United States",Machine Learning Program - xPRO - USA - Search Lead Gen - Run 7 - 2T2022, --,243,"14,991",1.62%,USD,2.73,663.73,0.82%,2.00,331.87
"California, United States",Machine Learning Program - xPRO - USA - Search Lead Gen - Run 7 - 2T2022,-10%,"4,859","283,845",1.71%,USD,2.83,13739.79,2.26%,110.00,124.91
"Connecticut, United States",Machine Learning Program - xPRO - USA - Search Lead Gen - Run 7 - 2T2022, --,425,"22,765",1.87%,USD,2.97,1260.50,5.18%,22.00,57.30
"Wyoming, United States",Machine Learning Program - xPRO - USA - Search Lead Gen - Run 7 - 2T2022, --,20,"1,282",1.56%,USD,3.48,69.59,0.00%,0.00,0.00
"Florida, United States",Machine Learning Program - xPRO - USA - Search Lead Gen - Run 7 - 2T2022,-10%,"1,219","66,946",1.82%,USD,2.85,3476.01,2.30%,28.00,124.14
"Washington, United States",Machine Learning Program - xPRO - USA - Search Lead Gen - Run 7 - 2T2022,-10%,"1,067","56,945",1.87%,USD,2.54,2708.72,2.44%,26.00,104.18
"South Dakota, United States",Machine Learning Program - xPRO - USA - Search Lead Gen - Run 7 - 2T2022, --,38,"1,917",1.98%,USD,2.58,97.85,0.00%,0.00,0.00
"Kansas, United States",Machine Learning Program - xPRO - USA - Search Lead Gen - Run 7 - 2T2022, --,133,"7,317",1.82%,USD,2.61,346.86,2.26%,3.00,115.62
"Colorado, United States",Machine Learning Program - xPRO - USA - Search Lead Gen - Run 7 - 2T2022, --,437,"25,922",1.69%,USD,2.87,1254.07,2.06%,9.00,139.34
"North Dakota, United States",Machine Learning Program - xPRO - USA - Search Lead Gen - Run 7 - 2T2022, --,34,"2,271",1.50%,USD,1.98,67.34,2.94%,1.00,67.34
"Missouri, United States",Machine Learning Program - xPRO - USA - Search Lead Gen - Run 7 - 2T2022, --,265,"17,788",1.49%,USD,2.80,740.96,2.64%,7.00,105.85
"Texas, United States",Machine Learning Program - xPRO - USA - Search Lead Gen - Run 7 - 2T2022,-10%,"2,361","133,086",1.77%,USD,2.77,6531.67,2.67%,63.00,103.68
"Nebraska, United States",Machine Learning Program - xPRO - USA - Search Lead Gen - Run 7 - 2T2022, --,77,"5,258",1.46%,USD,2.39,184.37,0.00%,0.00,0.00
"Montana, United States",Machine Learning Program - xPRO - USA - Search Lead Gen - Run 7 - 2T2022, --,38,"2,061",1.84%,USD,2.45,92.98,2.63%,1.00,92.98
"Alaska, United States",Machine Learning Program - xPRO - USA - Search Lead Gen - Run 7 - 2T2022, --,17,"1,795",0.95%,USD,2.65,45.01,0.00%,0.00,0.00
"Tennessee, United States",Machine Learning Program - xPRO - USA - Search Lead Gen - Run 7 - 2T2022, --,297,"17,404",1.71%,USD,2.77,823.71,4.71%,14.00,58.84
"Oregon, United States",Machine Learning Program - xPRO - USA - Search Lead Gen - Run 7 - 2T2022, --,382,"20,829",1.83%,USD,2.70,1032.60,3.40%,13.00,79.43
"Massachusetts, United States",Machine Learning Program - xPRO - USA - Search Lead Gen - Run 7 - 2T2022,-10%,"2,197","84,591",2.60%,USD,2.92,6413.04,2.73%,60.00,106.88
"Maryland, United States",Machine Learning Program - xPRO - USA - Search Lead Gen - Run 7 - 2T2022, --,697,"42,483",1.64%,USD,2.88,2010.54,2.15%,15.00,134.04
"New Hampshire, United States",Machine Learning Program - xPRO - USA - Search Lead Gen - Run 7 - 2T2022, --,139,"6,140",2.26%,USD,2.88,400.38,2.16%,3.00,133.46
Costa Rica,Program - MLx - Run 9 - Search - Lead Gen - B/Developing, --,36,358,10.06%,USD,0.98,35.34,5.56%,2.00,17.67
Bosnia and Herzegovina,Program - MLx - Run 9 - Search - Lead Gen - B/Developing, --,16,191,8.38%,USD,0.34,5.38,0.00%,0.00,0.00
Poland,Program - MLx - Run 9 - Search - Lead Gen - B/Developing, --,16,251,6.37%,USD,0.49,7.79,0.00%,0.00,0.00
Chile,Program - MLx - Run 9 - Search - Lead Gen - B/Developing, --,127,"2,105",6.03%,USD,0.64,80.96,0.79%,1.00,80.96
Qatar,Program - MLx - Run 9 - Search - Lead Gen - B/Developing, --,60,535,11.21%,USD,1.10,66.14,6.67%,4.00,16.54
Taiwan,Program - MLx - Run 9 - Search - Lead Gen - B/Developing, --,49,867,5.65%,USD,0.87,42.39,4.08%,2.00,21.20
Croatia,Program - MLx - Run 9 - Search - Lead Gen - B/Developing, --,11,119,9.24%,USD,0.29,3.17,0.00%,0.00,0.00
Aruba,Program - MLx - Run 9 - Search - Lead Gen - B/Developing, --,2,12,16.67%,USD,0.48,0.95,0.00%,0.00,0.00
Peru,Program - MLx - Run 9 - Search - Lead Gen - B/Developing, --,349,"4,681",7.46%,USD,0.62,215.09,3.44%,12.00,17.92
Colombia,Program - MLx - Run 9 - Search - Lead Gen - B/Developing, --,168,"2,210",7.60%,USD,0.53,88.22,2.40%,4.02,21.92
Slovakia,Program - MLx - Run 9 - Search - Lead Gen - B/Developing, --,6,89,6.74%,USD,0.35,2.07,0.00%,0.00,0.00
Saudi Arabia,Program - MLx - Run 9 - Search - Lead Gen - B/Developing, --,71,"1,035",6.86%,USD,0.79,55.86,0.00%,0.00,0.00
United Arab Emirates,Program - MLx - Run 9 - Search - Lead Gen - B/Developing, --,116,"1,058",10.96%,USD,1.02,118.78,2.59%,3.00,39.59
South Africa,Program - MLx - Run 9 - Search - Lead Gen - B/Developing, --,749,"7,894",9.49%,USD,0.67,500.58,0.96%,7.22,69.29
Ghana,Program - MLx - Run 9 - Search - Lead Gen - B/Developing, --,799,"8,110",9.85%,USD,0.76,604.01,2.38%,19.00,31.79
India,Lifetime Campaign - Machine Learning  - C (SU21 / Run 4), --,"15,762","396,337",3.98%,USD,0.28,4469.08,2.28%,360.00,12.41
Brazil,Lifetime Campaign - Machine Learning  - C (SU21 / Run 4), --,748,"24,953",3.00%,USD,0.38,281.78,4.14%,31.00,9.09
Nicaragua,Machine Learning Program - xPRO - B/Developing - Search Lead Gen - Run 7 - 2T2022, --,459,"24,669",1.86%,USD,0.17,77.38,1.09%,5.00,15.48
Peru,Machine Learning Program - xPRO - B/Developing - Search Lead Gen - Run 7 - 2T2022, --,"1,704","78,742",2.16%,USD,0.39,671.74,2.05%,35.00,19.19
Cambodia,Machine Learning Program - xPRO - B/Developing - Search Lead Gen - Run 7 - 2T2022, --,"2,402","148,952",1.61%,USD,0.14,326.01,0.92%,22.00,14.82
El Salvador,Machine Learning Program - xPRO - B/Developing - Search Lead Gen - Run 7 - 2T2022, --,298,"16,124",1.85%,USD,0.27,81.89,2.01%,6.00,13.65
