Location report
All time
Location,Campaign,Bid adj.,Clicks,Impr.,CTR,Currency code,Avg. CPC,Cost,Conv. rate,Conversions,Cost / conv.
Australia,Machine Learning Program - xPRO - A/Developed - Search Lead Gen - Run 7 - 2T2022,-15%,993,"42,559",2.33%,USD,1.15,1142.05,1.91%,19.00,60.11
Denmark,Machine Learning Program - xPRO - A/Developed - Search Lead Gen - Run 7 - 2T2022, --,436,"22,169",1.97%,USD,0.99,433.10,2.06%,9.00,48.12
Italy,Machine Learning Program - xPRO - A/Developed - Search Lead Gen - Run 7 - 2T2022, --,"4,813","278,701",1.73%,USD,0.87,4164.08,1.85%,89.00,46.79
France,Machine Learning Program - xPRO - A/Developed - Search Lead Gen - Run 7 - 2T2022, --,"3,140","198,672",1.58%,USD,0.98,3064.50,2.13%,67.00,45.74
Norway,Machine Learning Program - xPRO - A/Developed - Search Lead Gen - Run 7 - 2T2022, --,634,"27,690",2.29%,USD,0.98,619.57,1.58%,10.00,61.96
Sweden,Machine Learning Program - xPRO - A/Developed - Search Lead Gen - Run 7 - 2T2022, --,913,"50,474",1.81%,USD,0.94,861.38,1.20%,11.00,78.31
Israel,Program - MLx - Run 13 - Search - Lead Gen - A (exact + phrase), --,779,"9,826",7.93%,USD,1.58,1229.01,2.82%,22.00,55.86
Germany,Program - MLx - Run 13 - Search - Lead Gen - A (exact + phrase), --,402,"6,398",6.28%,USD,1.58,634.14,1.74%,7.00,90.59
Canada,Program - MLx - Run 13 - Search - Lead Gen - A (exact + phrase), --,301,"4,811",6.26%,USD,2.33,702.71,5.32%,16.01,43.90
Sweden,Program - MLx - Run 13 - Search - Lead Gen - A (exact + phrase), --,122,"1,952",6.25%,USD,1.34,163.77,1.64%,2.00,81.89
Luxembourg,Program - MLx - Run 13 - Search - Lead Gen - A (exact + phrase), --,21,430,4.88%,USD,2.20,46.17,4.76%,1.00,46.17
South Korea,Program - MLx - Run 13 - Search - Lead Gen - A (exact + phrase), --,"1,755","25,668",6.84%,USD,1.34,2352.28,2.61%,45.83,51.32
Denmark,Program - MLx - Run 13 - Search - Lead Gen - A (exact + phrase), --,147,"2,000",7.35%,USD,1.90,279.29,4.08%,6.00,46.55
Spain,Program - MLx - Run 13 - Search - Lead Gen - A (exact + phrase), --,253,"3,891",6.50%,USD,1.24,314.55,0.40%,1.00,314.55
Australia,Program - MLx - Run 13 - Search - Lead Gen - A (exact + phrase), --,318,"3,785",8.40%,USD,2.22,705.37,5.97%,19.00,37.12
Norway,Program - MLx - Run 13 - Search - Lead Gen - A (exact + phrase), --,73,"1,251",5.84%,USD,1.22,88.87,5.48%,4.00,22.22
Belgium,Program - MLx - Run 13 - Search - Lead Gen - A (exact + phrase), --,52,"1,114",4.67%,USD,1.38,71.95,0.00%,0.00,0.00
France,Program - MLx - Run 13 - Search - Lead Gen - A (exact + phrase), --,350,"6,067",5.77%,USD,1.34,467.38,1.14%,4.00,116.85
Mexico,Program - MLx - Run 13 - Search - Lead Gen - A (exact + phrase), --,"1,371","23,493",5.84%,USD,1.29,1766.33,1.75%,24.00,73.60
Japan,Program - MLx - Run 13 - Search - Lead Gen - A (exact + phrase), --,565,"8,483",6.66%,USD,1.60,903.16,2.30%,13.00,69.47
United Kingdom,Program - MLx - Run 13 - Search - Lead Gen - A (exact + phrase), --,343,"4,791",7.16%,USD,1.83,628.74,2.33%,8.00,78.59
Italy,Program - MLx - Run 13 - Search - Lead Gen - A (exact + phrase), --,498,"7,197",6.92%,USD,1.33,660.75,2.41%,12.00,55.06
Switzerland,Program - MLx - Run 13 - Search - Lead Gen - A (exact + phrase), --,97,"1,469",6.60%,USD,2.22,215.71,5.50%,5.33,40.44
Netherlands,Program - MLx - Run 13 - Search - Lead Gen - A (exact + phrase), --,172,"2,725",6.31%,USD,1.47,252.71,4.07%,7.00,36.10
France,Program - MLx - Run 14 - Search - Prospecting - A, --,342,"4,655",7.35%,USD,1.12,381.49,4.38%,14.98,25.47
Luxembourg,Program - MLx - Run 14 - Search - Prospecting - A, --,5,66,7.58%,USD,1.70,8.50,0.00%,0.00,0.00
Netherlands,Program - MLx - Run 14 - Search - Prospecting - A, --,93,"1,512",6.15%,USD,1.26,117.51,5.38%,5.00,23.50
Switzerland,Program - MLx - Run 14 - Search - Prospecting - A, --,10,148,6.76%,USD,1.12,11.17,0.00%,0.00,0.00
Germany,Program - MLx - Run 14 - Search - Prospecting - A, --,94,"1,473",6.38%,USD,1.05,99.09,4.26%,4.00,24.77
Israel,Program - MLx - Run 14 - Search - Prospecting - A, --,271,"3,309",8.19%,USD,1.26,340.63,7.38%,20.00,17.03
Belgium,Program - MLx - Run 14 - Search - Prospecting - A, --,21,310,6.77%,USD,1.21,25.40,0.00%,0.00,0.00
Australia,Program - MLx - Run 14 - Search - Prospecting - A, --,127,"1,592",7.98%,USD,1.45,184.42,0.79%,1.00,184.42
Denmark,Program - MLx - Run 14 - Search - Prospecting - A, --,6,112,5.36%,USD,1.16,6.96,0.00%,0.00,0.00
United Kingdom,Program - MLx - Run 14 - Search - Prospecting - A, --,119,"1,451",8.20%,USD,1.12,132.88,5.04%,6.00,22.15
Italy,Program - MLx - Run 14 - Search - Prospecting - A, --,161,"2,247",7.17%,USD,1.08,173.53,4.97%,8.00,21.69
Japan,Program - MLx - Run 14 - Search - Prospecting - A, --,372,"5,287",7.04%,USD,1.29,481.63,4.84%,18.00,26.76
Norway,Program - MLx - Run 14 - Search - Prospecting - A, --,22,305,7.21%,USD,1.00,22.00,0.00%,0.00,0.00
South Korea,Program - MLx - Run 14 - Search - Prospecting - A, --,934,"16,216",5.76%,USD,1.11,1034.35,2.37%,22.12,46.75
Sweden,Program - MLx - Run 14 - Search - Prospecting - A, --,26,363,7.16%,USD,1.05,27.18,0.00%,0.00,0.00
Mexico,Program - MLx - Run 14 - Search - Prospecting - A, --,"1,533","22,260",6.89%,USD,1.02,1561.13,2.87%,43.99,35.49
Canada,Program - MLx - Run 14 - Search - Prospecting - A, --,345,"4,854",7.11%,USD,1.47,508.42,3.77%,13.00,39.11
Spain,Program - MLx - Run 14 - Search - Prospecting - A, --,66,"1,055",6.26%,USD,0.90,59.48,4.55%,3.00,19.83
Ireland,Program - MLx - Run 9 - Search - Lead Gen - A/Developed, --,27,389,6.94%,USD,1.44,38.85,7.41%,2.00,19.43
Netherlands,Program - MLx - Run 9 - Search - Lead Gen - A/Developed, --,114,"1,574",7.24%,USD,1.25,142.19,1.75%,2.00,71.10
China,Program - MLx - Run 9 - Search - Lead Gen - A/Developed, --,755,"11,665",6.47%,USD,1.03,778.36,2.52%,19.00,40.97
Japan,Program - MLx - Run 9 - Search - Lead Gen - A/Developed, --,155,"2,573",6.02%,USD,1.29,199.77,5.16%,8.00,24.97
Israel,Program - MLx - Run 9 - Search - Lead Gen - A/Developed, --,223,"3,079",7.24%,USD,1.08,240.81,1.79%,4.00,60.20
Switzerland,Program - MLx - Run 9 - Search - Lead Gen - A/Developed, --,25,279,8.96%,USD,1.53,38.33,0.00%,0.00,0.00
Norway,Program - MLx - Run 9 - Search - Lead Gen - A/Developed, --,38,521,7.29%,USD,0.91,34.46,0.00%,0.00,0.00
Italy,Program - MLx - Run 9 - Search - Lead Gen - A/Developed, --,149,"2,039",7.31%,USD,0.97,145.26,2.01%,3.00,48.42
Australia,Program - MLx - Run 9 - Search - Lead Gen - A/Developed, --,149,"1,525",9.77%,USD,2.10,313.51,2.68%,4.00,78.38
New Zealand,Program - MLx - Run 9 - Search - Lead Gen - A/Developed, --,74,749,9.88%,USD,1.44,106.82,0.00%,0.00,0.00
France,Program - MLx - Run 9 - Search - Lead Gen - A/Developed, --,108,"1,568",6.89%,USD,1.28,137.84,5.56%,6.00,22.97
Spain,Program - MLx - Run 9 - Search - Lead Gen - A/Developed, --,135,"1,598",8.45%,USD,1.02,137.61,0.74%,1.00,137.61
Denmark,Program - MLx - Run 9 - Search - Lead Gen - A/Developed, --,44,628,7.01%,USD,1.43,62.73,0.00%,0.00,0.00
United Kingdom,Program - MLx - Run 9 - Search - Lead Gen - A/Developed, --,103,"1,477",6.97%,USD,1.24,127.48,2.91%,3.00,42.49
Germany,Program - MLx - Run 9 - Search - Lead Gen - A/Developed, --,103,"1,748",5.89%,USD,1.19,123.01,7.77%,8.00,15.38
Belgium,Program - MLx - Run 9 - Search - Lead Gen - A/Developed, --,30,614,4.89%,USD,1.30,38.94,0.00%,0.00,0.00
Sweden,Program - MLx - Run 9 - Search - Lead Gen - A/Developed, --,39,614,6.35%,USD,1.16,45.30,0.00%,0.00,0.00
Luxembourg,Program - MLx - Run 9 - Search - Lead Gen - A/Developed, --,18,249,7.23%,USD,1.13,20.37,11.11%,2.00,10.19
South Korea,Program - MLx - Run 9 - Search - Lead Gen - A/Developed, --,438,"8,981",4.88%,USD,1.18,517.11,1.83%,8.00,64.64
,,Total: Filtered locations,"186,316","8,900,952",2.09%,USD,1.48,275707.20,2.56%,"4,778.83",57.69
,,Total: Other locations,"58,798","1,068,495",5.50%,USD,0.75,43925.00,2.34%,"1,375.00",31.95
,,Total: Account,"1,090,177","89,308,592",1.22%,USD,0.49,535352.66,0.54%,"26,114.70",20.50
,,Total: Search,"245,114","9,969,562",2.46%,USD,1.30,319632.20,2.51%,"6,159.83",51.89
