Keyword,Region,Match type,Cost,Clicks,t_Clicks_ActCost
mit professional development,USA,Broad match,73.81,61,59.690445
generative ai course,USA,Broad match,1.8,2,0.051151514
online ai and ml courses,USA,Phrase match,47.6,28,26.629595
mit xpro ai,USA,Broad match,79.36,64,61.550995
mit artificial intelligence course,USA,Phrase match,13.95,9,7.648879
generative ai certificate course,USA,Broad match,2.92,2,0.81789064
generative ai fundamentals course,USA,Broad match,1.06,1,0.051151156
generative ai online course,USA,Broad match,9.12,6,5.064745
generative ai online program,USA,Broad match,4.29,3,0.69135857
generative ai certificate program,USA,Broad match,3.04,2,0.41400206
generative ai foundations course,USA,Broad match,7.7,5,4.1352916
mit generative ai certificate,USA,Broad match,16.39,11,8.673
generative ai certification online,USA,Broad match,1.07,1,0.28508246
online course generative ai,USA,Broad match,2.47,1,0.32882798
mit xpro ai course,USA,Phrase match,1.82,1,0.051151335
online generative ai course,USA,Phrase match,1.19,1,0.28508252
mit professional development,A,Broad match,6.15,5,4.149648
generative ai course,A,Broad match,7.21,7,4.505971
generative ai courses,A,Broad match,3.8,2,1.1998053
generative ai online course,A,Broad match,0.77,1,0.051151216
online ai and ml courses,A,Phrase match,0.88,2,0.32370436
mit xpro ai,A,Broad match,0.5,1,0.007077694
generative ai certificate course,A,Broad match,1.16,1,0.051151156
generative ai fundamentals course,A,Broad match,1.0,2,0.051151156
generative ai online course,A,Broad match,1.84,1,0.051151216
generative ai online program,A,Broad match,6.42,6,2.9818377
generative ai foundations course,A,Broad match,2.19,3,0.95353997
mit professional development,B,Broad match,5.0600000000000005,11,9.114494
generative ai course,B,Broad match,2.04,6,1.3844333
generative ai courses,B,Broad match,0.44,1,0.0
online ai and ml courses,B,Phrase match,0.58,2,0.49000108
mit xpro ai,B,Broad match,0.25,1,0.0
generative ai online course,B,Broad match,0.26,1,0.0
generative ai online program,B,Broad match,3.36,7,1.7036085
generative ai foundations course,B,Broad match,0.45,1,0.0
mit generative ai certificate,B,Broad match,1.56,4,0.58202744
online course generative ai,B,Broad match,1.14,3,0.6772554
ai certification mit,USA,Exact match,1.52,1,0.051151335
mit ai course,USA,Phrase match,6.42,6,5.1127257
stanford ai professional program,USA,Phrase match,1.02,1,0.051151335
mit generative ai course,B,Exact match,0.3,1,0.0
