Match type,Region,day_of_week,is_weekend,month,is_public_holiday,days_to_next_course_start,last_month_searches,three_month_avg,six_month_avg,mom_change,search_trend,Competition (indexed value),Top of page bid (low range),Top of page bid (high range),Cost,llm_relevance_score,Clicks
Phrase match,C,Tuesday,0,Sep,0,6,4.709530201312334,4.789273431000946,4.756161648535031,0.0,-0.010311619196482468,18.0,2.13,5.94,2.82,4,3
Broad match,USA,Wednesday,0,Jun,0,103,4.2626798770413155,4.574099757978778,4.449531805603793,0.4379003838613187,0.16203396561492447,62.0,1.63,5.06,17.38,4,3
Broad match,USA,Friday,0,Oct,0,101,2.3978952727983707,3.044522437723423,3.044522437723423,0.0,-1.7964293052139324e-16,21.0,0.0,0.0,3.22,5,1
Broad match,A,Monday,0,Oct,0,103,8.188966863648876,7.2400535566739075,7.274636095754609,-0.2074952344842096,-0.029642176354887532,17.0,7.86,43.44,30.54,4,15
Broad match,B,Wednesday,0,Sep,0,12,2.3978952727983707,2.958801638335647,2.8938908438753597,1.0360919316867756,0.018687700113100437,45.0,0.0,0.0,13.24,4,5
Broad match,USA,Wednesday,0,Feb,0,40,3.713572066704308,4.577083071448677,4.608703197179643,0.19867069479548416,-0.04411374000685946,82.0,2.83,8.0,3.25,4,1
Exact match,USA,Friday,0,Nov,0,129,3.9318256327243257,5.631698771702321,5.1706144865073265,-0.8172956100834048,0.2723153762113979,77.0,2.84,9.17,10.97,4,1
Exact match,USA,Wednesday,0,Aug,0,33,3.9318256327243257,4.789273431000946,4.683178251224811,0.23922968906583453,0.07958611439122948,61.0,2.59,7.15,9.59,4,1
Exact match,USA,Monday,0,Jul,0,63,2.3978952727983707,2.3978952727983707,2.3978952727983707,0.0,-1.7964293052139324e-16,21.0,0.0,0.0,2.11,5,1
Exact match,A,Thursday,0,Dec,0,51,2.3978952727983707,2.3978952727983707,2.678348455567009,0.0,-0.08502781218462684,45.0,0.0,0.0,4.84,4,3
Broad match,B,Thursday,0,Dec,0,37,3.713572066704308,4.494356528290166,4.5755914147137275,0.2481796294755343,-0.02810767364264113,82.0,2.83,8.0,4.72,4,1
Broad match,C,Tuesday,0,Oct,0,104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.65,4,4
Phrase match,USA,Friday,0,Jan,0,87,2.3978952727983707,2.3978952727983707,2.613437661106721,0.0,-0.0739002474200059,63.0,2.4,7.15,4.14,4,1
Exact match,USA,Wednesday,0,Aug,0,47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.9,4,3
Broad match,B,Friday,0,Sep,0,10,5.968707559985366,5.9062498387885976,5.870114173943204,0.4044261469757453,0.04169412174767409,22.0,2.37,9.89,0.81,4,1
Exact match,USA,Wednesday,0,Sep,0,12,5.351858133476067,5.491719130027383,5.457232344059496,0.41958298965394913,0.02956010225818862,46.0,2.69,10.75,31.96,4,5
