Keyword,bert_0,bert_1,bert_2,bert_3,bert_4,bert_5,bert_6,bert_7,bert_8,bert_9,bert_10,bert_11,bert_12,bert_13,bert_14,bert_15,bert_16,bert_17,bert_18,bert_19,bert_20,bert_21,bert_22,bert_23,bert_24,bert_25,bert_26,bert_27,bert_28,bert_29,bert_30,bert_31,bert_32,bert_33,bert_34,bert_35,bert_36,bert_37,bert_38,bert_39,bert_40,bert_41,bert_42,bert_43,bert_44,bert_45,bert_46,bert_47,bert_48,bert_49
aerospace engineering companies,0.5100907,0.18831,-0.65853703,-0.04306625,-0.018079132,-0.091913536,-0.20625982,-0.02834703,0.0013012383,-0.051052514,0.031910155,-0.028734215,0.22088884,0.15159643,0.006074348,-0.14745526,-0.015420304,0.034853566,0.018626884,-0.14985451,0.012786686,0.03948564,0.10614269,-0.06218606,-0.124412194,-0.10140586,-0.008746438,0.0057178396,0.025127335,-0.03266801,0.12884144,0.04027034,0.016676908,-0.016931718,-0.03900536,0.045250013,-0.0065170797,-0.018702652,-0.076322146,0.054971423,-0.020219587,-0.026257658,0.022370884,0.10191584,0.04835348,0.028670428,-0.014466286,-0.034394003,-0.033283047,-0.027794965
propulsion systems,0.3688812,0.25833032,-0.33456293,-0.11362928,0.0581069,0.035317644,0.08428656,0.084836334,-0.109566614,0.66252923,-0.08853974,0.013594733,-0.34988773,-0.005649216,0.0050180205,-0.059446443,0.029928118,0.11884132,0.062113125,0.059804637,0.02246656,0.01486688,-0.009557071,0.018613223,-0.020974495,0.018248565,0.080754526,-0.029160159,0.018189821,0.038226068,0.05107165,0.012241417,0.038557105,-0.042241648,0.026656773,0.013974899,-0.07776797,0.01173801,-0.036821976,-0.02844048,0.033326294,-0.053570703,0.029241912,0.035911873,0.031835753,0.07477898,-0.06730735,-0.039791405,0.02551841,-0.010102674
system engineer responsibilities,0.637816,0.4680529,0.13391271,0.024474792,0.15798292,-0.17594464,0.10825913,0.083649196,0.035293195,-0.068188936,0.19984774,0.008928853,0.031447772,0.22518983,0.019395323,-0.04708559,0.08226653,0.04588197,0.12631245,0.0356305,0.011448661,0.14450294,-0.021911038,0.018163772,0.004792103,0.017193757,0.05767548,-0.11098336,-0.01962836,-0.031305604,0.06337556,-0.02794607,0.03174673,0.00827383,-0.014645694,-0.05714965,-0.036740724,-0.014009537,-0.09518853,0.08239231,0.027806247,0.16535488,0.06109453,-0.10269296,0.1653631,0.0261933,0.064283155,-0.028236018,0.0047776764,-0.1156378
information systems masters,0.6936997,-0.0071463953,0.24837534,0.18923904,-0.3607665,-0.057203714,0.0059458497,-0.10839381,0.025306907,0.12038903,0.26634407,0.01685076,-0.092154466,-0.006308581,0.1449565,-0.17304222,-0.020360703,0.0016867087,-0.18355247,-0.11021027,0.22036092,-0.02364186,-0.062080894,-0.029754765,0.12002843,0.016163373,-0.03312756,-0.042253423,-0.01026701,0.037511922,0.011756019,0.024588026,0.004378789,0.027182145,-0.010499752,-0.02682477,0.01731791,-0.030569125,-0.02361363,-0.013345805,0.0048320633,-0.0032891545,-0.0016939971,0.028782869,-0.0011081052,0.022258457,-0.046579294,-0.00012446406,0.052420605,-0.020417798
it information technology courses,0.6946601,-0.23753224,0.24072435,0.34781152,-0.21228889,-0.16324581,0.10379695,0.04290663,0.08297446,0.16307317,-0.06981663,-0.04795304,0.14682859,0.03141282,-0.15703997,0.0937105,0.08804193,0.040442463,-0.1282691,0.0052969586,-0.036390856,-0.030244416,0.096221566,-0.05170961,0.03742107,-0.07812943,0.063337326,0.058777235,0.10707444,-0.04678658,0.037454393,-0.11145559,-0.039446607,0.031492885,0.04879528,-0.008185531,0.004791699,0.038383942,-0.05190878,0.025448643,-0.041303456,0.020431828,-0.007955379,-0.067599945,0.03421135,-0.0046298173,-0.025535563,-0.0135353785,-0.0027871195,0.0043551745
electronic health records training,0.36471388,-0.28075844,0.13526466,0.12893736,0.03205282,-0.04935469,-0.13627964,0.19381936,0.2092722,0.0060399915,-0.09147693,-0.19078717,0.209852,-0.06711206,0.022626169,0.112117074,0.045927018,-0.0673769,0.21632463,0.07529374,0.3724689,-0.20790245,-0.33612803,0.07974832,-0.010895483,0.112105444,0.15531538,-0.04323779,0.09314982,0.04681285,0.042281836,-0.00025322908,-0.029259438,-0.07171517,-0.13737553,0.14485082,-0.062951565,-0.05776173,-0.023825802,-0.040945336,-0.20178777,0.034241267,0.06361487,0.13131367,0.07444355,-0.05570715,-0.042642046,0.0065866816,-0.026754666,0.043185014
engineering technician,0.6440152,0.025546258,-0.19055305,-0.09999163,-0.012183501,-0.17634709,0.114729695,0.35045436,-0.05648034,-0.19461276,0.20000988,-0.10963413,0.15119214,0.0052469242,0.029343393,0.04961503,0.13446555,-0.12746787,0.05876928,-0.034283627,-0.028592449,0.19581972,-0.094825625,0.121545665,0.11042966,-0.100031234,-0.0023226764,0.035069704,-0.06910672,0.14218196,0.032147367,-0.019620836,0.037672326,-0.098078564,0.018020522,0.043193012,0.05679619,-0.12650423,-0.056992903,0.017758114,0.034637164,-0.058490913,0.18393579,-0.057270683,0.039722454,0.010212434,0.03891088,0.056531947,0.1159987,-0.049222786
top aerospace companies,0.34973004,0.14518155,-0.6417844,-0.047763355,-0.07112159,-0.03884326,-0.27926496,-0.09555365,0.0696805,0.060750503,0.05101739,-0.019202376,0.20339401,0.18737909,0.03539156,-0.20050153,-0.046204593,-0.034336913,-0.052641425,-0.17215525,0.040051047,0.055137403,0.12020347,-0.10218775,-0.13610429,-0.1782387,0.034071427,0.0971049,0.021101456,2.4445666e-05,0.104478784,0.004829981,-0.049292587,-0.11583292,-0.10287788,0.06504788,-0.0732103,0.0149281975,-0.08481095,0.027949577,0.00984607,-0.07632674,-0.024212416,0.12973878,0.03871915,-0.04957573,0.07557434,-0.06228302,-0.02445908,-0.008576668
information technology training,0.648967,-0.20510902,0.21076542,0.31732044,-0.1520055,-0.13005054,-0.009805498,0.20364863,0.17677698,0.13320671,0.05684781,-0.20463093,0.2642894,-0.07950187,-0.03936114,0.15760413,0.11318983,0.12863213,-0.016733274,-0.013269353,0.13029307,0.014284694,0.005330847,0.031383295,-0.054124627,-0.040404152,-0.047062285,0.08796215,-0.12414073,0.016344147,-0.08547946,-0.036828212,-0.051096566,0.005437074,-0.0036111288,-0.044491258,0.06411806,0.007685635,0.046427675,0.080710895,0.03497371,-0.0068762586,0.024682825,0.051508553,-0.0045406627,0.04794168,-0.037083026,-0.006223875,0.023564726,-0.015982367
gis certification courses,0.56467557,-0.312088,0.18651716,-0.07819194,0.091864675,-0.23965524,0.026081521,-0.05723837,0.20411691,-0.019325472,-0.2725725,0.054894753,-0.1269095,-0.07740636,0.20196007,-0.13674915,0.10981526,0.1225782,-0.043513987,-0.11196932,-0.016754648,0.27386197,0.005809491,0.23868285,0.11533681,-0.0055475864,-0.11330644,0.07064117,-0.030241093,0.03212774,0.066401206,-0.05661568,0.07664162,0.07762025,0.032693077,0.066549905,0.021501182,-0.046122525,0.02479585,0.007649314,-0.03532984,-0.015059011,-0.048168685,0.018018331,0.047136016,-0.048962172,0.07827576,0.0009669408,-0.14828774,-0.0062280386
