Region,Opt_Purchases,Act_Purchases,Opt_Clicks,Act_Clicks,Opt_Spend,Act_Spend
A,0.13389040473840041,0.06635722168428752,43.82964,21.722342,124.82999626186265,55.239999999999995
B,0.16569245564896568,0.04675397045366811,213.45845,60.232254,106.5199983282646,31.46
C,0.0,0.0,0.0,0.0,0.0,0.0
USA,0.025509063947456685,0.06096532571044599,7.3231783,17.502012,125.7900054098713,131.37
