day,lambda,budget,n_candidates,n_new_candidates,n_masked,n_real_new,actual_cost,actual_revenue,actual_clicks,actual_profit,profit_old,profit_new,profit_new_raw,profit_total,observed_clicks_total,replay_clicks_total,replay_revenue_total,replay_cost_total,n_old,n_new,profit_improvement,profit_improvement_pct,cost_change,cost_change_pct
2025-12-01,10.0,355.41,637,5,5,5,355.41,3800.0,322.0,3444.59,523.3659924672505,-258.59786664974484,-258.59786664974484,264.7681258175057,322.0,54.169851012868385,537.2116659351392,272.4435401176336,26.0,5.0,-3179.8218741824944,-0.9231350826027174,-82.96645988236645,-0.23343873240023197
2025-12-01,100.0,355.41,637,5,5,5,355.41,3800.0,322.0,3444.59,523.776236364723,-342.52008129501945,-342.52008129501945,181.25615506970354,322.0,69.46253393945739,537.2116659301726,355.9555108604691,26.0,5.0,-3263.3338449302964,-0.9473794689441403,0.5455108604690508,0.0015348776356012798
2025-12-02,0.0,350.34000000000003,637,6,6,6,350.34000000000003,3400.0,292.0,3049.66,765.1832060452114,0.0,0.0,765.1832060452114,292.0,30.42976572888921,772.9211087420031,7.73790269679176,26.0,6.0,-2284.4767939547883,-0.7490922902732725,-342.60209730320827,-0.9779131623657255
2025-12-02,10.0,350.34000000000003,637,6,6,6,350.34000000000003,3400.0,292.0,3049.66,765.1832060452117,0.0,0.0,765.1832060452117,292.0,30.429765728890285,772.921108742004,7.7379026967922915,26.0,6.0,-2284.4767939547883,-0.7490922902732725,-342.60209730320776,-0.9779131623657239
2025-12-02,100.0,350.34000000000003,637,6,6,6,350.34000000000003,3400.0,292.0,3049.66,766.0639399913159,-86.79595149555043,-86.79595149555043,679.2679884957655,292.0,78.22793086688614,1172.921108743154,493.65312024738864,26.0,6.0,-2370.3920115042342,-0.7772643545523876,143.3131202473886,0.4090686768493138
2025-12-03,0.0,359.4600000000001,637,6,6,6,359.4600000000001,3000.0,276.0,2640.54,277.3781910338117,-8.5645433967089e-23,-8.5645433967089e-23,277.3781910338117,276.0,8.683831076629312,278.95805912944957,1.5798680956379223,29.0,6.0,-2363.1618089661883,-0.8949539900801308,-357.88013190436214,-0.9956048848393759
2025-12-03,10.0,359.4600000000001,637,6,6,6,359.4600000000001,3000.0,276.0,2640.54,277.6659000251591,-65.64642961727213,-65.64642961727213,212.01947040788696,276.0,9.665475115901048,278.95805912823147,66.93858872034453,29.0,6.0,-2428.5205295921132,-0.9197060183114489,-292.5214112796556,-0.8137801459958146
2025-12-03,100.0,359.4600000000001,637,6,6,6,359.4600000000001,3000.0,276.0,2640.54,277.673244797968,-221.34895229110097,-221.34895229110097,56.32429250686701,276.0,23.630067636236333,278.95805913016386,222.63376662329682,29.0,6.0,-2584.215707493133,-0.9786694037935926,-136.82623337670327,-0.38064383624521014
2025-12-04,0.0,370.06000000000006,637,7,7,7,370.06000000000006,3200.0,308.0,2829.94,119.884476996874,192.9949780264385,192.9949780264385,312.8794550233125,308.0,25.544396679921554,319.01805520320784,6.138600179895281,27.0,7.0,-2517.0605449766877,-0.8894395446464192,-363.9213998201048,-0.9834118786686071
2025-12-04,10.0,370.06000000000006,637,7,7,7,370.06000000000006,3200.0,308.0,2829.94,119.88447699687187,192.8181057681008,192.8181057681008,312.70258276497265,308.0,26.233868269856085,319.01805520320494,6.315472438232293,27.0,7.0,-2517.2374172350274,-0.8895020450027306,-363.74452756176777,-0.982933923044284
2025-12-04,100.0,370.06000000000006,637,7,7,7,370.06000000000006,3200.0,308.0,2829.94,119.88447699687342,-17.915199361314006,-17.915199361314006,101.96927763555941,308.0,49.63967229726952,734.5882390506623,632.6189614151028,27.0,7.0,-2727.9707223644405,-0.963967689196393,262.5589614151028,0.7095037599716336
2025-12-05,0.0,326.77000000000004,637,6,6,4,326.77000000000004,3000.0,303.0,2673.23,55.46698940207509,137.3156132407219,137.3156132407219,192.78260264279697,303.0,7.055784153427788,194.33576396885564,1.5531613260586723,34.0,4.0,-2480.447397357203,-0.9278840194660404,-325.21683867394137,-0.9952469280348298
2025-12-05,10.0,326.77000000000004,637,6,6,4,326.77000000000004,3000.0,303.0,2673.23,55.46698940207702,101.70067719474034,101.70067719474034,157.16766659681736,303.0,9.05578415342798,194.33576396884808,37.16809737203073,34.0,4.0,-2516.0623334031825,-0.9412068297165536,-289.6019026279693,-0.8862560903019533
2025-12-05,100.0,326.77000000000004,637,6,6,4,326.77000000000004,3000.0,303.0,2673.23,55.466989402074255,354.4625283239561,354.4625283239561,409.9295177260304,303.0,121.05578415342781,1394.3357639688556,984.4062462428253,34.0,4.0,-2263.3004822739695,-0.846653854054447,657.6362462428253,2.012535563983307
2025-12-06,0.0,443.0,637,7,7,4,443.0,4398.13,309.0,3955.13,173.51778479116732,-0.11771830393135747,-0.11771830393135747,173.40006648723596,309.0,18.916479832664244,178.04878049029423,4.648714003058251,32.0,4.0,-3781.729933512764,-0.9561581878504029,-438.3512859969417,-0.9895062889321483
2025-12-06,10.0,443.0,637,7,7,4,443.0,4398.13,309.0,3955.13,173.64222923321134,-140.96261316845494,-140.96261316845494,32.6796160647564,309.0,31.379718621813037,178.04878048788987,145.36916442313344,32.0,4.0,-3922.4503839352437,-0.9917374103848025,-297.63083557686656,-0.6718529019793827
2025-12-06,100.0,443.0,637,7,7,4,443.0,4398.13,309.0,3955.13,173.6422292357367,512.7695427813626,512.7695427813626,686.4117720170993,309.0,144.45989687905626,2174.30878049041,1487.8970084733107,32.0,4.0,-3268.7182279829008,-0.8264502628188961,1044.8970084733107,2.3586839920390763
