Feature,Importance
Feature_37,0.2276459
Feature_67,0.1619505
Feature_53,0.10850872
Feature_27,0.097897835
Feature_8,0.052271843
Feature_11,0.04147595
Feature_51,0.034424946
Feature_31,0.026668448
Feature_33,0.024418464
Feature_3,0.023896353
Feature_62,0.020817501
Feature_65,0.015444005
Feature_26,0.010842726
Feature_45,0.010547469
Feature_29,0.008510264
Feature_14,0.007890214
Feature_16,0.0072753797
Feature_43,0.0072082155
Feature_49,0.0070854477
Feature_13,0.006941431
Feature_2,0.0067203725
Feature_80,0.006498628
Feature_6,0.005434187
Feature_4,0.0054089287
Feature_81,0.004918858
Feature_41,0.0047322847
Feature_68,0.0045451
Feature_20,0.004530117
Feature_28,0.004126484
Feature_30,0.003960828
Feature_24,0.0036693332
Feature_19,0.003604529
Feature_36,0.0032677592
Feature_63,0.0031828354
Feature_66,0.0030444139
Feature_57,0.002741993
Feature_60,0.0026708073
Feature_44,0.0026320745
Feature_85,0.0024694675
Feature_34,0.002316172
Feature_52,0.0022024298
Feature_15,0.00188623
Feature_10,0.0018036243
Feature_9,0.0016686391
Feature_7,0.0015977869
Feature_0,0.0014477153
Feature_82,0.0014469628
Feature_86,0.001295847
Feature_25,0.0012905253
Feature_12,0.00084854895
Feature_17,0.00050414924
Feature_56,0.0004932449
Feature_5,0.0004273309
Feature_61,0.00035580422
Feature_59,0.00019992919
Feature_38,0.00016760998
Feature_50,0.00016682062
Feature_79,0.0
Feature_70,0.0
Feature_78,0.0
Feature_83,0.0
Feature_77,0.0
Feature_76,0.0
Feature_84,0.0
Feature_75,0.0
Feature_74,0.0
Feature_73,0.0
Feature_72,0.0
Feature_71,0.0
Feature_46,0.0
Feature_69,0.0
Feature_55,0.0
Feature_48,0.0
Feature_1,0.0
Feature_42,0.0
Feature_40,0.0
Feature_39,0.0
Feature_54,0.0
Feature_58,0.0
Feature_18,0.0
Feature_35,0.0
Feature_32,0.0
Feature_64,0.0
Feature_23,0.0
Feature_47,0.0
Feature_21,0.0
Feature_22,0.0
