Feature,Importance
Feature_11,0.15789826
Feature_13,0.13960971
Feature_4,0.109788135
Feature_34,0.10691384
Feature_9,0.103577785
Feature_35,0.08084471
Feature_17,0.059652228
Feature_8,0.058585625
Feature_2,0.038097776
Feature_10,0.036350783
Feature_18,0.022427253
Feature_7,0.015828297
Feature_5,0.0133111365
Feature_3,0.01320433
Feature_14,0.012244438
Feature_6,0.010721657
Feature_15,0.0077740108
Feature_16,0.0043664607
Feature_23,0.0034962045
Feature_24,0.0027698295
Feature_12,0.001589962
Feature_20,0.0009475288
Feature_0,0.0
Feature_1,0.0
Feature_19,0.0
Feature_25,0.0
Feature_26,0.0
Feature_22,0.0
Feature_21,0.0
Feature_28,0.0
Feature_27,0.0
Feature_29,0.0
Feature_30,0.0
Feature_32,0.0
Feature_31,0.0
Feature_33,0.0
Feature_36,0.0
