Region,Hour Group,Clicks,Conversions,ConversionRate,AvgConversionRate,BidAdjustment,BidAdjustmentPct,GoogleAdsFormat
B,3 - 5,10197,7.48,0.0007335490830636462,0.00025681733283526337,1.8563067568892815,185.63067568892814,+186%
B,0 - 2,8090,4.0,0.0004944375772558715,0.00025681733283526337,0.9252500280930442,92.52500280930442,+93%
USA,0 - 2,12280,0.0,0.0,0.0005858154040227066,-0.9,-90.0,-90%
B,21 - 23,5710,0.0,0.0,0.00025681733283526337,-0.9,-90.0,-90%
A,18 - 20,11337,1.6600000000000001,0.00014642321601834703,0.00039793237991366995,-0.6320399560093275,-63.20399560093275,-63%
B,18 - 20,8609,1.0,0.00011615750958299454,0.00025681733283526337,-0.5477037772310163,-54.770377723101625,-55%
A,9 - 11,21773,13.27,0.0006094704450466174,0.00039793237991366995,0.5315929937112427,53.15929937112427,+53%
B,9 - 11,14290,2.0,0.00013995801259622114,0.00025681733283526337,-0.45502894586169607,-45.5028945861696,-46%
A,21 - 23,5077,2.92,0.0005751428008666535,0.00039793237991366995,0.4453279750479937,44.53279750479937,+45%
B,12 - 14,13549,2.0,0.00014761236991659902,0.00025681733283526337,-0.42522427015747555,-42.52242701574755,-43%
USA,9 - 11,25914,20.84,0.0008041985027398318,0.0005858154040227066,0.37278483497962167,37.27848349796217,+37%
USA,3 - 5,5301,2.0,0.0003772873042822109,0.0005858154040227066,-0.35596213125937715,-35.596213125937716,-36%
USA,6 - 8,9866,7.82,0.0007926211230488547,0.0005858154040227066,0.3530219888484396,35.30219888484396,+35%
USA,18 - 20,21074,8.93,0.0004237448989275885,0.0005858154040227066,-0.27665797789236035,-27.665797789236034,-28%
A,15 - 17,20391,5.95,0.00029179539993134224,0.00039793237991366995,-0.2667211449476762,-26.67211449476762,-27%
A,0 - 2,12484,4.0,0.0003204101249599487,0.00039793237991366995,-0.19481263367042267,-19.481263367042267,-19%
B,15 - 17,12043,2.5,0.00020758947106202773,0.00025681733283526337,-0.1916843432246571,-19.16843432246571,-19%
USA,12 - 14,29600,20.17,0.000681418918918919,0.0005858154040227066,0.16319733868334185,16.319733868334186,+16%
USA,15 - 17,26869,17.83,0.0006635900107931072,0.0005858154040227066,0.1327629936603476,13.27629936603476,+13%
USA,21 - 23,11786,6.0,0.000509078567792296,0.0005858154040227066,-0.13099149613251937,-13.099149613251937,-13%
B,6 - 8,13176,3.02,0.0002292046144505161,0.00025681733283526337,-0.10751890489595406,-10.751890489595405,-11%
A,6 - 8,20533,8.9,0.00043344859494472317,0.00039793237991366995,0.08925188505333082,8.925188505333082,+9%
A,12 - 14,18722,6.91,0.00036908449951928216,0.00039793237991366995,-0.072494428326356,-7.2494428326356,-7%
A,3 - 5,19881,8.2,0.0004124541019063427,0.00039793237991366995,0.03649293881493931,3.6492938814939313,+4%
