Region,Device,Clicks,Conversions,ConversionRate,AvgConversionRate,BidAdjustment,BidAdjustmentPct,GoogleAdsFormat
USA,Mobile phones,50584,10.93,0.00021607622963783015,0.0005859555680145772,-0.6312412724910659,-63.124127249106586,-63%
A,Mobile phones,55885,11.83,0.00021168470967164715,0.00039808904967088336,-0.46824784593634106,-46.82478459363411,-47%
B,Mobile phones,36417,6.0,0.00016475821731608864,0.0002568203308312807,-0.35846894682054087,-35.846894682054085,-36%
USA,Computers,91409,72.68,0.0007951077027426184,0.0005859555680145772,0.3569419699120224,35.69419699120224,+36%
A,Computers,73964,39.0,0.0005272835433454113,0.00039808904967088336,0.32453666781675694,32.45366678167569,+32%
B,Computers,48545,16.0,0.0003295911010402719,0.0002568203308312807,0.2833528403824006,28.33528403824006,+28%
A,Tablets,348,1.0,0.0028735632183908046,0.00039808904967088336,,,No adjustment (insufficient data)
B,Tablets,701,0.0,0.0,0.0002568203308312807,,,No adjustment (insufficient data)
USA,Tablets,697,0.0,0.0,0.0005859555680145772,,,No adjustment (insufficient data)
