Region,Targeted location,Clicks,Conversions,ConversionRate,AvgConversionRate,BidAdjustment,BidAdjustmentPct,GoogleAdsFormat
B,Taiwan,556,0.0,0.0,0.00022180196586584484,,,No adjustment (insufficient data)
C,Indonesia,0,0.0,0.0,0.00017046100231069358,,,No adjustment (insufficient data)
USA,"Alabama, United States",971,0.0,0.0,0.0005523764786266388,,,No adjustment (insufficient data)
USA,"Arkansas, United States",210,0.0,0.0,0.0005523764786266388,,,No adjustment (insufficient data)
USA,"Boston, Massachusetts, United States",0,0.0,0.0,0.0005523764786266388,,,No adjustment (insufficient data)
USA,"Calgary, Alberta, Canada",312,0.0,0.0,0.0005523764786266388,,,No adjustment (insufficient data)
USA,Canada,118,0.0,0.0,0.0005523764786266388,,,No adjustment (insufficient data)
USA,"Delaware, United States",168,0.0,0.0,0.0005523764786266388,,,No adjustment (insufficient data)
USA,"District of Columbia, United States",0,0.0,0.0,0.0005523764786266388,,,No adjustment (insufficient data)
USA,"Edmonton, Alberta, Canada",141,0.0,0.0,0.0005523764786266388,,,No adjustment (insufficient data)
USA,Georgia,0,0.0,0.0,0.0005523764786266388,,,No adjustment (insufficient data)
USA,"Idaho, United States",175,0.0,0.0,0.0005523764786266388,,,No adjustment (insufficient data)
USA,"Indiana, United States",826,0.0,0.0,0.0005523764786266388,,,No adjustment (insufficient data)
USA,"Iowa, United States",457,0.0,0.0,0.0005523764786266388,,,No adjustment (insufficient data)
USA,"Kansas, United States",322,0.0,0.0,0.0005523764786266388,,,No adjustment (insufficient data)
USA,"Kentucky, United States",344,0.0,0.0,0.0005523764786266388,,,No adjustment (insufficient data)
USA,"Louisiana, United States",357,0.0,0.0,0.0005523764786266388,,,No adjustment (insufficient data)
USA,"Maine, United States",251,0.0,0.0,0.0005523764786266388,,,No adjustment (insufficient data)
USA,"Mississippi, United States",157,0.0,0.0,0.0005523764786266388,,,No adjustment (insufficient data)
USA,"Missouri, United States",945,0.0,0.0,0.0005523764786266388,,,No adjustment (insufficient data)
USA,"Montana, United States",91,0.0,0.0,0.0005523764786266388,,,No adjustment (insufficient data)
USA,"Montreal, Quebec, Canada",592,0.0,0.0,0.0005523764786266388,,,No adjustment (insufficient data)
USA,"Nebraska, United States",190,0.0,0.0,0.0005523764786266388,,,No adjustment (insufficient data)
USA,"Nevada, United States",493,0.0,0.0,0.0005523764786266388,,,No adjustment (insufficient data)
USA,"New Hampshire, United States",562,0.0,0.0,0.0005523764786266388,,,No adjustment (insufficient data)
