Budget,Spend New,Clicks New,Purch New,Spend Existing,Clicks Existing,Purch Existing,Spend Existing searches,Clicks Existing searches,Purch Existing searches
Actual,0.0,0.0,0.0,1.0,1.0,0.9999999999999999,0.0,0.0,0.0
357,0.001597142022819156,4.872244443333524e-05,9.809409467865606e-05,0.2908230584999932,0.4994426974480034,0.4160552937184452,0.7075797994771876,0.5005085667297857,0.5838466085188788
