Keyword,Region,Match type,Origin,Optimal Cost,Gurobi Pred,Gurobi Pred over Base,Actual Model Pred,Diff,Bid
100 page machine learning book,USA,Exact match,existing searches,0.8276392570420219,0.8262418119700008,0.3502354531080776,0.8262418,2.0721679261370696e-08,3.0720220486148553
100 page machine learning book,USA,Phrase match,existing searches,9.8312520350967,2.037021627000001,1.5989784796744848,2.0370214,2.2845568903306915e-07,7.992995408060496
100 page machine learning book,USA,Broad match,existing searches,111.81763838989052,42.76188967197,42.09130511252939,42.761894,-4.5541042155150535e-06,3.4535144376786557
100 page machine learning book,A,Exact match,existing searches,27.617638654680032,17.62519463157,16.797529242985863,17.625193,1.9893580862628824e-06,2.137393525662473
100 page machine learning book,A,Phrase match,existing searches,27.617638654680032,18.39306392427,17.603361806826918,18.393063,1.3327172680988042e-06,2.039549640862361
100 page machine learning book,A,Broad match,existing searches,111.81763838989052,47.33621047117,46.31396685220485,47.336216,-5.5017303921545135e-06,3.1386413167918366
100 page machine learning book,B,Exact match,existing searches,27.617638654680032,40.32434637557,39.28633923541039,40.324345,1.7405602292797084e-06,0.9138782322259046
100 page machine learning book,B,Phrase match,existing searches,27.617638654680032,41.89834289257,40.88280884925793,41.898342,7.600016402875553e-07,0.878191378275021
100 page machine learning book,B,Broad match,existing searches,27.617638654680032,41.89834289257001,40.21222369377087,41.898342,7.600016473929827e-07,0.8928362312041359
2020 machine learning roadmap,USA,Exact match,existing searches,27.617638654680032,5.987209110240002,5.6387806522646144,5.9872093,-2.0982835735594565e-07,6.367144328741519
