Campaign,Conversion action,All conv.
Course - Generative AI - Run 3 - Search - Lead Gen - A [broad],Purchase - Gen AI,1.00
Course - Generative AI - Run 4 - Search - Lead Gen - A [phrase and exact],Purchase - Gen AI,3.00
Course - Generative AI - Run 4 - Search - Lead Gen - B [phrase and exact],Purchase - Gen AI,4.00
Course - Generative AI - Run 4 - Search - Lead Gen - USA [best performing KWs],Purchase - Gen AI,10.00
Course - Generative AI - Run 4 - Search - Lead Gen - USA [mid tier],Purchase - Gen AI,22.00
Course - Generative AI - Run 5 - Search - Prospecting - USA,Purchase - Gen AI,1.00
