Location,Campaign,Bid adj.,Clicks,Currency code,Cost,Conv. rate,Conversions,Cost / conv.
"Quebec, Canada",Course - Generative AI - Run 3 - Search - Lead Gen - USA and CA [broad], --,22,USD,120.07,0.00%,0.00,0.00
"Manitoba, Canada",Course - Generative AI - Run 3 - Search - Lead Gen - USA and CA [broad], --,2,USD,8.12,0.00%,0.00,0.00
"Ontario, Canada",Course - Generative AI - Run 3 - Search - Lead Gen - USA and CA [broad], --,60,USD,420.72,6.67%,4.00,105.18
"Alberta, Canada",Course - Generative AI - Run 3 - Search - Lead Gen - USA and CA [broad], --,3,USD,11.77,0.00%,0.00,0.00
United States,Course - Generative AI - Run 3 - Search - Lead Gen - USA and CA [broad], --,405,USD,5201.39,3.21%,13.00,400.11
"British Columbia, Canada",Course - Generative AI - Run 3 - Search - Lead Gen - USA and CA [broad], --,14,USD,52.44,0.00%,0.00,0.00
United States,Course - Generative AI - Run 4 - Search - Lead Gen - USA [best performing KWs], --,"7,187",USD,49234.58,5.12%,367.86,133.84
Belgium,Course - Generative AI - Run 4 - Search - Lead Gen - A [phrase and exact], --,275,USD,1147.04,4.36%,12.00,95.59
France,Course - Generative AI - Run 4 - Search - Lead Gen - A [phrase and exact], --,799,USD,2947.53,3.38%,27.00,109.17
Germany,Course - Generative AI - Run 4 - Search - Lead Gen - A [phrase and exact], --,811,USD,3106.58,2.84%,23.00,135.07
India,Course - Generative AI - Run 3 - Search - Lead Gen - C [broad], --,325,USD,397.58,0.00%,0.00,0.00
Denmark,Course - Generative AI - Run 4 - Search - Lead Gen - A [phrase and exact], --,191,USD,730.22,0.52%,1.00,730.22
Mexico,Course - Generative AI - Run 4 - Search - Lead Gen - A [phrase and exact], --,"2,261",USD,5411.79,1.77%,40.00,135.29
Brazil,Course - Generative AI - Run 3 - Search - Lead Gen - C [broad], --,27,USD,39.01,0.00%,0.00,0.00
Spain,Course - Generative AI - Run 4 - Search - Lead Gen - A [phrase and exact], --,781,USD,3111.77,2.69%,21.00,148.18
Netherlands,Course - Generative AI - Run 3 - Search - Lead Gen - A [broad], --,4,USD,32.99,25.00%,1.00,32.99
Switzerland,Course - Generative AI - Run 3 - Search - Lead Gen - A [broad], --,13,USD,90.85,0.00%,0.00,0.00
Belgium,Course - Generative AI - Run 3 - Search - Lead Gen - A [broad], --,6,USD,88.21,0.00%,0.00,0.00
Australia,Course - Generative AI - Run 3 - Search - Lead Gen - A [broad], --,14,USD,70.28,0.00%,0.00,0.00
Israel,Course - Generative AI - Run 3 - Search - Lead Gen - A [broad], --,19,USD,32.44,0.00%,0.00,0.00
Denmark,Course - Generative AI - Run 3 - Search - Lead Gen - A [broad], --,8,USD,46.13,0.00%,0.00,0.00
Germany,Course - Generative AI - Run 3 - Search - Lead Gen - A [broad], --,13,USD,40.96,0.00%,0.00,0.00
Ireland,Course - Generative AI - Run 3 - Search - Lead Gen - A [broad], --,2,USD,5.21,0.00%,0.00,0.00
Spain,Course - Generative AI - Run 3 - Search - Lead Gen - A [broad], --,14,USD,43.64,0.00%,0.00,0.00
Italy,Course - Generative AI - Run 3 - Search - Lead Gen - A [broad], --,15,USD,51.42,0.00%,0.00,0.00
Sweden,Course - Generative AI - Run 3 - Search - Lead Gen - A [broad], --,1,USD,2.11,0.00%,0.00,0.00
France,Course - Generative AI - Run 3 - Search - Lead Gen - A [broad], --,15,USD,89.86,13.33%,2.00,44.93
Norway,Course - Generative AI - Run 3 - Search - Lead Gen - A [broad], --,1,USD,1.57,0.00%,0.00,0.00
Mexico,Course - Generative AI - Run 3 - Search - Lead Gen - A [broad], --,34,USD,50.38,0.00%,0.00,0.00
Japan,Course - Generative AI - Run 3 - Search - Lead Gen - A [broad], --,28,USD,89.11,0.00%,0.00,0.00
Italy,Course - Generative AI - Run 5 - Search - Prospecting - A, --,143,USD,155.11,4.90%,7.00,22.16
Mexico,Course - Generative AI - Run 5 - Search - Prospecting - A, --,644,USD,583.32,3.88%,25.00,23.33
France,Course - Generative AI - Run 5 - Search - Prospecting - A, --,190,USD,211.80,0.53%,1.00,211.80
Spain,Course - Generative AI - Run 5 - Search - Prospecting - A, --,313,USD,317.74,4.15%,13.00,24.44
Japan,Course - Generative AI - Run 5 - Search - Prospecting - A, --,279,USD,319.93,4.30%,12.00,26.66
United Kingdom,Course - Generative AI - Run 5 - Search - Prospecting - A, --,95,USD,178.02,0.00%,0.00,0.00
Denmark,Course - Generative AI - Run 5 - Search - Prospecting - A, --,20,USD,22.61,0.00%,0.00,0.00
Switzerland,Course - Generative AI - Run 5 - Search - Prospecting - A, --,54,USD,70.19,3.70%,2.00,35.10
Belgium,Course - Generative AI - Run 5 - Search - Prospecting - A, --,22,USD,28.29,9.09%,2.00,14.14
Norway,Course - Generative AI - Run 5 - Search - Prospecting - A, --,29,USD,28.47,0.00%,0.00,0.00
Australia,Course - Generative AI - Run 5 - Search - Prospecting - A, --,226,USD,300.51,3.10%,7.00,42.93
Germany,Course - Generative AI - Run 5 - Search - Prospecting - A, --,215,USD,243.86,5.58%,12.00,20.32
Israel,Course - Generative AI - Run 5 - Search - Prospecting - A, --,"1,100",USD,1292.42,5.00%,55.00,23.50
Netherlands,Course - Generative AI - Run 5 - Search - Prospecting - A, --,86,USD,110.17,5.81%,5.00,22.03
Canada,Course - Generative AI - Run 5 - Search - Prospecting - A, --,359,USD,551.81,4.18%,15.00,36.79
Sweden,Course - Generative AI - Run 5 - Search - Prospecting - A, --,30,USD,45.40,0.00%,0.00,0.00
Ireland,Course - Generative AI - Run 5 - Search - Prospecting - A, --,45,USD,55.58,0.00%,0.00,0.00
United States,Course - Generative AI - Run 5 - Search - Prospecting - USA, --,"21,260",USD,33087.85,5.17%,"1,098.87",30.11
Brazil,Course - Generative AI - Run 3 - Search - Lead Gen - C [phrase and exact], --,413,USD,292.65,2.66%,11.00,26.60
India,Course - Generative AI - Run 3 - Search - Lead Gen - C [phrase and exact], --,"16,799",USD,5924.13,2.80%,470.14,12.60
Hong Kong,Course - Generative AI - Run 4 - Search - Lead Gen - B [phrase and exact], --,147,USD,321.25,2.72%,4.00,80.31
Saudi Arabia,Course - Generative AI - Run 4 - Search - Lead Gen - B [phrase and exact], --,251,USD,567.02,1.20%,3.00,189.01
Taiwan,Course - Generative AI - Run 4 - Search - Lead Gen - B [phrase and exact], --,127,USD,219.97,0.79%,1.00,219.97
Chile,Course - Generative AI - Run 4 - Search - Lead Gen - B [phrase and exact], --,183,USD,358.54,4.37%,8.00,44.82
Turkiye,Course - Generative AI - Run 4 - Search - Lead Gen - B [phrase and exact], --,"1,342",USD,814.30,1.42%,19.00,42.86
United Arab Emirates,Course - Generative AI - Run 4 - Search - Lead Gen - B [phrase and exact], --,188,USD,627.11,2.66%,5.00,125.42
China,Course - Generative AI - Run 4 - Search - Lead Gen - B [phrase and exact], --,430,USD,472.01,2.56%,11.00,42.91
South Africa,Course - Generative AI - Run 4 - Search - Lead Gen - B [phrase and exact], --,836,USD,1331.83,3.23%,27.00,49.33
Austria,Course - Generative AI - Run 4 - Search - Lead Gen - B [phrase and exact], --,15,USD,62.22,0.00%,0.00,0.00
Portugal,Course - Generative AI - Run 4 - Search - Lead Gen - B [phrase and exact], --,48,USD,114.10,2.08%,1.00,114.10
Egypt,Course - Generative AI - Run 4 - Search - Lead Gen - B [phrase and exact], --,"6,351",USD,4908.42,2.71%,171.95,28.55
Poland,Course - Generative AI - Run 4 - Search - Lead Gen - B [phrase and exact], --,60,USD,106.38,0.00%,0.00,0.00
Colombia,Course - Generative AI - Run 4 - Search - Lead Gen - B [phrase and exact], --,450,USD,593.89,4.44%,20.00,29.69
Hungary,Course - Generative AI - Run 4 - Search - Lead Gen - B [phrase and exact], --,112,USD,130.63,0.00%,0.00,0.00
Singapore,Course - Generative AI - Run 4 - Search - Lead Gen - B [phrase and exact], --,126,USD,339.14,7.94%,10.00,33.91
Romania,Course - Generative AI - Run 4 - Search - Lead Gen - B [phrase and exact], --,199,USD,282.32,4.02%,8.00,35.29
China,Course - Generative AI - Run 3 - Search - Lead Gen - B [broad], --,9,USD,20.58,0.00%,0.00,0.00
Egypt,Course - Generative AI - Run 3 - Search - Lead Gen - B [broad], --,26,USD,27.16,0.00%,0.00,0.00
Portugal,Course - Generative AI - Run 3 - Search - Lead Gen - B [broad], --,2,USD,12.67,0.00%,0.00,0.00
Singapore,Course - Generative AI - Run 3 - Search - Lead Gen - B [broad], --,16,USD,57.15,0.00%,0.00,0.00
Poland,Course - Generative AI - Run 3 - Search - Lead Gen - B [broad], --,3,USD,13.07,0.00%,0.00,0.00
United Arab Emirates,Course - Generative AI - Run 3 - Search - Lead Gen - B [broad], --,11,USD,74.88,0.00%,0.00,0.00
Colombia,Course - Generative AI - Run 3 - Search - Lead Gen - B [broad], --,14,USD,24.31,0.00%,0.00,0.00
Chile,Course - Generative AI - Run 3 - Search - Lead Gen - B [broad], --,3,USD,4.55,0.00%,0.00,0.00
Hong Kong,Course - Generative AI - Run 3 - Search - Lead Gen - B [broad], --,8,USD,33.12,0.00%,0.00,0.00
Romania,Course - Generative AI - Run 3 - Search - Lead Gen - B [broad], --,11,USD,25.07,0.00%,0.00,0.00
South Africa,Course - Generative AI - Run 3 - Search - Lead Gen - B [broad], --,15,USD,45.13,0.00%,0.00,0.00
Hungary,Course - Generative AI - Run 3 - Search - Lead Gen - B [broad], --,3,USD,7.12,0.00%,0.00,0.00
Saudi Arabia,Course - Generative AI - Run 3 - Search - Lead Gen - B [broad], --,14,USD,32.49,0.00%,0.00,0.00
Turkiye,Course - Generative AI - Run 3 - Search - Lead Gen - B [broad], --,70,USD,68.24,0.00%,0.00,0.00
Taiwan,Course - Generative AI - Run 3 - Search - Lead Gen - B [broad], --,2,USD,6.06,0.00%,0.00,0.00
Hungary,Course - Generative AI - Run 5 - Search - Prospecting - B, --,7,USD,2.81,0.00%,0.00,0.00
Saudi Arabia,Course - Generative AI - Run 5 - Search - Prospecting - B, --,66,USD,46.35,3.03%,2.00,23.18
Poland,Course - Generative AI - Run 5 - Search - Prospecting - B, --,4,USD,1.91,25.00%,1.00,1.91
South Africa,Course - Generative AI - Run 5 - Search - Prospecting - B, --,229,USD,152.91,5.68%,13.00,11.76
Portugal,Course - Generative AI - Run 5 - Search - Prospecting - B, --,3,USD,2.63,0.00%,0.00,0.00
China,Course - Generative AI - Run 5 - Search - Prospecting - B, --,70,USD,30.04,1.43%,1.00,30.04
Singapore,Course - Generative AI - Run 5 - Search - Prospecting - B, --,13,USD,9.03,23.08%,3.00,3.01
Romania,Course - Generative AI - Run 5 - Search - Prospecting - B, --,10,USD,2.72,0.00%,0.00,0.00
Egypt,Course - Generative AI - Run 5 - Search - Prospecting - B, --,"3,592",USD,1560.13,8.12%,291.50,5.35
Hong Kong,Course - Generative AI - Run 5 - Search - Prospecting - B, --,3,USD,2.15,0.00%,0.00,0.00
United Arab Emirates,Course - Generative AI - Run 5 - Search - Prospecting - B, --,38,USD,21.95,5.26%,2.00,10.98
Taiwan,Course - Generative AI - Run 5 - Search - Prospecting - B, --,7,USD,2.51,0.00%,0.00,0.00
Turkiye,Course - Generative AI - Run 5 - Search - Prospecting - B, --,297,USD,75.46,4.59%,13.63,5.53
Chile,Course - Generative AI - Run 5 - Search - Prospecting - B, --,22,USD,8.65,4.55%,1.00,8.65
Colombia,Course - Generative AI - Run 5 - Search - Prospecting - B, --,27,USD,11.28,0.00%,0.00,0.00
United States,Course - Generative AI - Run 4 - Search - Lead Gen - USA [mid tier], --,"14,666",USD,120199.61,4.12%,603.89,199.04
,,Total: Filtered locations,"85,798",USD,250326.49,4.04%,"3,468.84",72.16
,,Total: Other locations,"7,710",USD,33405.26,3.09%,237.95,140.39
,,Total: Account,"187,561",USD,356793.55,0.71%,"5,426.46",65.75
,,Total: Search,"93,508",USD,283731.75,3.96%,"3,706.79",76.54
