Budget,Spend New,Clicks New,Conv New,Purch New,Spend Existing,Clicks Existing,Conv Existing,Purch Existing,Spend Existing searches,Clicks Existing searches,Conv Existing searches,Purch Existing searches
Actual,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
847,0.0017656165428649542,0.0005147635776431114,0.000491385333096069,0.00042733508388293926,0.37758376671881494,0.3991112032838592,0.4243984112832837,0.43247091959628714,0.6206506167383202,0.6003740378114693,0.5751101995725171,0.5671017414147502
