Budget,Spend USA,Conv USA,Clicks USA,Purch USA,Spend A,Conv A,Clicks A,Purch A,Spend B,Conv B,Clicks B,Purch B
Actual,0.8461914130373339,0.7404980764113299,0.6816751552969276,0.7822015363363037,0.10239171310192464,0.1495358008704344,0.1907118853043694,0.1556282539714605,0.051416873860741494,0.1099661227182356,0.12761295695129393,0.06217020969223402
847,0.5608547306616617,0.5356600588731091,0.4569515482985077,0.5528328983849781,0.3937382597690943,0.4105301127496732,0.4851822830977463,0.4174439462683965,0.0454070095692442,0.05380982837721751,0.05786618323951732,0.029723155346625212
