Keyword,Region,Match type,Cost,Clicks,t_Clicks_ActCost
mit professional development,USA,Broad match,73.8,60,53.689106
generative ai course,USA,Broad match,8.45,5,3.2963338
online ai and ml courses,USA,Phrase match,28.8,18,16.012447
mit xpro ai,USA,Broad match,41.34,39,37.651016
mit artificial intelligence course,USA,Phrase match,3.78,3,2.0598638
generative ai certificate course,USA,Broad match,1.75,1,0.17299193
generative ai fundamentals course,USA,Broad match,1.19,1,0.17299187
generative ai online course,USA,Broad match,0.92,1,0.0
generative ai online program,USA,Broad match,13.09,11,5.748729
generative ai certificate program,USA,Broad match,1.56,1,0.17299175
generative ai foundations course,USA,Broad match,18.15,11,9.872523
mit generative ai certificate,USA,Broad match,2.37,3,0.5241778
generative ai certification online,USA,Broad match,1.18,1,0.1729917
online course generative ai,USA,Broad match,4.800000000000001,3,1.7597985
mit xpro ai course,USA,Phrase match,1.47,1,0.1729917
online generative ai course,USA,Phrase match,1.34,2,0.30546105
mit professional development,A,Broad match,2.84,4,-0.12125301
generative ai course,A,Broad match,6.48,4,2.5844626
online ai and ml courses,A,Phrase match,2.64,1,-0.121252656
mit xpro ai,A,Broad match,0.44,1,0.0
generative ai fundamentals course,A,Broad match,3.36,4,2.2178502
generative ai online program,A,Broad match,5.53,7,1.8294725
generative ai certificate program,A,Broad match,1.27,1,0.09026319
generative ai foundations course,A,Broad match,4.26,2,1.2066083
online course generative ai,A,Broad match,1.87,1,0.09026337
professional certificate in ai,A,Phrase match,2.4,1,0.09026337
mit professional development,B,Broad match,1.75,5,0.31294632
generative ai course,B,Broad match,0.66,2,0.0
generative ai online course,B,Broad match,1.26,2,0.31294608
online ai and ml courses,B,Phrase match,1.0499999999999998,3,0.48917317
mit xpro ai,B,Broad match,0.22,1,0.0
mit artificial intelligence course,B,Phrase match,0.26,1,0.0
generative ai online program,B,Broad match,1.92,6,0.35543633
mit generative ai certificate,B,Broad match,0.62,2,0.0
generative ai certification online,B,Broad match,0.41,1,0.0
online course generative ai,B,Broad match,1.06,2,0.31294608
mit ai course,USA,Phrase match,9.25,5,3.4280515
stanford ai professional program,USA,Phrase match,0.86,1,0.0
generative ai course mit,USA,Exact match,1.1,1,0.17299187
