Budget,Spend New,Clicks New,Purch New,Spend Existing,Clicks Existing,Purch Existing,Spend Existing searches,Clicks Existing searches,Purch Existing searches
Actual,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
353,0.18435352554023773,0.15775925397493257,0.16331282364682428,0.07000563268444844,0.07987397725565279,0.07854998465893397,0.7456408417753138,0.7623667748914602,0.7581372001954721
