Budget,Spend New,Clicks New,Purch New,Spend Existing,Clicks Existing,Purch Existing,Spend Existing searches,Clicks Existing searches,Purch Existing searches
Actual,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
353,0.2226757945892141,0.16376430332801428,0.16933933386554031,0.08466990080775989,0.08486807982931514,0.08583413523200994,0.6926543046030263,0.7513676191836819,0.7448265319036992
