Keyword,Region,Match type,Cost,Clicks,t_Clicks_ActCost
mit professional development,USA,Broad match,74.24,58,228.93317
generative ai course,USA,Broad match,6.48,6,228.93317
generative ai courses,USA,Broad match,3.4799999999999995,3,228.93317
online ai and ml courses,USA,Phrase match,34.2,19,228.93317
mit xpro ai,USA,Broad match,91.12,68,228.93317
mit artificial intelligence course,USA,Phrase match,19.44,9,228.93317
generative ai certificate course,USA,Broad match,5.79,3,228.93317
generative ai fundamentals course,USA,Broad match,3.84,3,228.93317
generative ai online course,USA,Broad match,6.09,3,228.93317
generative ai online program,USA,Broad match,9.92,8,228.93317
generative ai certificate program,USA,Broad match,1.22,1,228.93317
generative ai foundations course,USA,Broad match,25.62,21,228.93317
mit generative ai certificate,USA,Broad match,4.68,4,228.93317
online course generative ai,USA,Broad match,2.9,2,228.93317
mit professional development,A,Broad match,3.57,3,228.93317
generative ai course,A,Broad match,6.540000000000001,6,228.93317
generative ai online course,A,Broad match,1.81,1,228.93317
online ai and ml courses,A,Phrase match,2.0,2,228.93317
mit xpro ai,A,Broad match,5.2,4,228.93317
generative ai fundamentals course,A,Broad match,1.64,2,228.93317
generative ai online program,A,Broad match,5.67,7,228.93317
generative ai certificate program,A,Broad match,0.38,1,228.93317
generative ai foundations course,A,Broad match,10.8,8,228.93317
mit professional development,B,Broad match,0.09,1,228.93317
generative ai online course,B,Broad match,1.5,3,228.93317
mit xpro ai,B,Broad match,0.75,3,228.93317
generative ai online program,B,Broad match,0.5,2,228.93317
mit generative ai certificate,B,Broad match,0.5,2,228.93317
generative ai certification online,B,Broad match,0.74,2,228.93317
online course generative ai,B,Broad match,10.85,31,228.93317
mit ai course,USA,Phrase match,7.65,5,228.93317
stanford ai professional program,USA,Phrase match,1.13,1,228.93317
